sujet;texte;Unnamed: 0.15;Unnamed: 0.14;Unnamed: 0.13;Unnamed: 0.12;Unnamed: 0.11;Unnamed: 0.10;Unnamed: 0.9;Unnamed: 0.8;Unnamed: 0.7;Unnamed: 0.6;Unnamed: 0.5;Unnamed: 0.4;Unnamed: 0.3;Unnamed: 0.2;Unnamed: 0.1;Unnamed: 0
CONTRE L’ABATTAGE DES LOUPS , le 1er décembre 2023 à 08h49;Quand l’humain va t’il se considérer comme le maître du monde avec le pouvoir de tuer telle ou telle espèce animale sur terre ? Si tous les animaux sont présents ici bas c’est qu’il y a une raison qui dépasse bien  tous les misérables humains que nous sommes. Stop à tous ces carnages d’animaux !!!!;;;;;;;;;;;;;;;;
Contre l’abattage des loups et autres grands carnivores, le 1er décembre 2023 à 08h50;Contre toutes ces dérogations qui permettraient l’abattage inutile des grands carnivores que sont les loups……………Souvenons-nous des conséquences très bénéfiques de la réintroduction des loups dans le parc de Yellowstone………….Qui, mieux que les grands prédateurs, peut redynamiser la nature éteinte par les activités de l’homme ?;;;;;;;;;;;;;;;;
Protection des loups , le 1er décembre 2023 à 08h52;L’administration et ceux qui la représentent et servent sont le vrai problème. Il faudrait y remédier en éclaircissant leurs meutes, trop nombreuses et nocives pour l’environnement, le vrai, celui de la réalité.;;;;;;;;;;;;;;;;
Non aux tirs de loups, le 1er décembre 2023 à 08h52;Les tirs déstructurent les meutes et contribuent, en éparpillant les individus, à l’augmentation de la prédation. Les observations et publications scientifiques l’ont bien démontré, et d’autres solutions, déjà à l’œuvre dans certains endroits, comme l’effarouchement, s’appuyant sur l’intelligence des loups et leur communication, sont bien plus efficaces pour protéger le pastoralisme.;;;;;;;;;;;;;;;;
Pour le tir du loup, le 1er décembre 2023 à 08h52;Je souhaite que le plan national loup intègre • Un volet spécifique sur l’impact du loup sur la faune sauvage • Stabilise la population à 1100 loups sans la dépasser avec une répartition sur l’ensemble du pays • Propose une gestion adaptative du loup par massif ou département en tenant compte des enjeux agricoles, touristiques, cynégétiques. • Fixe un plafond de prélèvement admissible de 25% minimum pour enrayer la hausse des effectifs • Autoriser les éleveurs et les chasseurs à utilier les jumelles mais également les lunettes thermiques • Autoriser les tirs de prélèvements en action de chasse à partir du 1er juin sur les zones concernées par des attaques importantes;;;;;;;;;;;;;;;;
pour la régulation du loup, le 1er décembre 2023 à 08h55;Nous souhaitons que le plan national loup intègre • Un volet spécifique sur l’impact du loup sur la faune sauvage • Stabilise la population à 1100 loups sans la dépasser avec une répartition sur l’ensemble du pays • Propose une gestion adaptative du loup par massif ou département en tenant compte des enjeux agricoles, touristiques, cynégétiques. • Fixe un plafond de prélèvement admissible de 25% minimum pour enrayer la hausse des effectifs • Autoriser les éleveurs et les chasseurs à utilier les jumelles mais également les lunettes thermiques • Autoriser les tirs de prélèvements en action de chasse à partir du 1er juin sur les zones concernées par des attaques importantes;;;;;;;;;;;;;;;;
Contre l’abattage, le 1er décembre 2023 à 09h04;Le loup fait parti de la faune française sauvage, surement plus que le mouton ou la chèvre. C’est à l’humain de s’adapter et de créer de grandes réserves étanches (voir le fronésisme).;;;;;;;;;;;;;;;;
Non au Plan national d’actions 2024-2029 sur le loup en l’état, le 1er décembre 2023 à 13h52;Absence de RETEX sur le PNA précédent, vision systématiquement défavorable au loup, mépris des conventions européennes et internationales, ignorance des comités scientifiques : ce plan est une injure à la biodiversité. Quand nos représentants politiques prendront ils enfin la mesure de l’urgence de la situation écologique et des bénéfices d’une biodiversité retrouvée ? Merci pour votre attention.;;;;;;;;;;;;;;;;
Totalement contre ce projet, le 1er décembre 2023 à 13h53;De quel droit l’homme se permet de tuer/éradiquer d’autres espèces vivantes.  Il faut apprendre à vivre ensemble, la planète est à tout le monde. Quand diriez vous si d’autres espèces avait le pouvoir de réguler la population humaine…;;;;;;;;;;;;;;;;
Défavorable au PNA, le 1er décembre 2023 à 13h56;Le loup est une espèce strictement protégée dont on doit encadrer la cohabitation avec l’homme et ses activités. L’avis négatif du CNPN est totalement ignoré : quid de la place donnée à l’avis des scientifiques en France dans notre réglementation ? Les travaux du Groupe National Loup ne sont pas non plus pris en compte. Le PNA proposé est biaisé et insuffisant notamment au regard des seuls impacts négatifs des loups qui y sont mentionnées, les bénéfices écologiques en sont totalement exclus.  Peut on enfin adopter une approche objective, critique et scientifique quand il s’agit de réglementer la protection de la faune sauvage et la préservation de la biodiversité ?;;;;;;;;;;;;;;;;
Contre ce projet, le 1er décembre 2023 à 13h57;De quel droit? la loi du plus fort, c’est ça ? La planète est à tout le monde, et tout le monde y a sa place, il faut apprendre à vivre ensemble. Que diriez vous si une autre espèce avait le pouvoir de réguler la population humaine.;;;;;;;;;;;;;;;;
Les loups doivent être protégés , le 1er décembre 2023 à 13h58;Il est indigne pour un pays comme la France de tuer des loups. Ces animaux font partie de notre patrimoine et doivent être protégés.;;;;;;;;;;;;;;;;
Contre le massacre des loups, le 1er décembre 2023 à 13h59;Les loups doivent rester des animaux protégés. Ils viennent tout juste d’être réintroduit en France, ce n’est pas pour leur tirer dessus. Laissons led en paix;;;;;;;;;;;;;;;;
Contre le meurtre des loups, le 1er décembre 2023 à 14h00;Stop aux actions menées sans aucun recul sur leurs effets ! Le PNA précédent (2018-2023) n’a pas fait l’objet d’une évaluation de la pertinence ni de l’efficience des actions engagées afin d’en tirer des enseignements pour élaborer le nouveau PNA. En particulier, aucune analyse n’a été effectuée sur les bénéfices apportés par la protection des troupeaux et l’efficacité supposée des tirs létaux, alors que ce sont deux éléments centraux du plan.;;;;;;;;;;;;;;;;
AVIS DEFAVORABLE, le 1er décembre 2023 à 14h01;En quoi abattre les loups va-t-il améliorer la vie des éleveurs ? Il serait temps de penser au vivre ensemble car c’est l’unique voie d’avenir.;;;;;;;;;;;;;;;;
OPPOSITION à ce projet d’arrêté, le 1er décembre 2023 à 14h05;Malgré un précédent arrêté, de nombreux tirs illégaux sont exercés, et cette méthode est souvent largement privilégiée à d’autres méthodes qui pourraient être également utilisées avec un impact moindre sur les loups.  Si un arrêté encore plus laxiste est voté, tel que celui proposé, quelles vont être les conséquences sur les populations de loups, espèce STRICTEMENT PROTEGEE dont la destruction est proscrite d’après la loi….;;;;;;;;;;;;;;;;
JE SUIS CONTRE CE PROJET, le 1er décembre 2023 à 14h05;Le loup fait partie de l’ecosystéme naturel ! arretons de tout réguler, et laissons les équilibre naturels se faire….naturellement;;;;;;;;;;;;;;;;
Non à ce projet , le 1er décembre 2023 à 14h05;Absolument contre ce projet de simplification d’abattage de loups. Le loup n’a pas été réintroduit en France, il est revenu tout seul dans notre pays.;;;;;;;;;;;;;;;;
non au nouveau PNA sur le loup, le 1er décembre 2023 à 14h16;Le loup est une espèce protégée par la Convention de Berne de 1979 et la directive habitats de 1992. Avec ce nouveau plan, qui vise à limiter au maximum la présence du loup dans son aire de répartition naturelle, il ne s’agit plus de cohabiter mais d’accélérer la destruction d’une espèce protégée.          Ce nouveau PNA ne mentionne que les aspects négatifs de la présence du loup, sans tenir compte de son apport dans l’équilibre des écosystèmes naturels. Et il n’établit aucun bilan des actions engagées lors du précédent plan.          Le Conseil National de Protection de la Nature a émis un avis négatif. Or aucune modification n’a été introduite pour tenir compte des critiques de cette instance scientifique.;;;;;;;;;;;;;;;;
Stop au mensonge , le 1er décembre 2023 à 14h16;Je suis absolument contre ce projet qui confirme que la France est incapable de gérer le retour du loup comme le font l’Espagne et l’Italie. Il faut absolument arrêter de tout céder à la démagogie de certains lobby d’éleveurs largement dédommagés du peu de prélèvements que fait le loup dans les troupeaux. Quant aux chasseurs il est urgent qu’ils acceptent un vrai régulateur et qu’ils cessent les engrainages pour attirer les sangliers afin d’avoir de la viande à commercialiser,avec l’aval de lO.n.f…. L’immense majorité des citoyens est pour le retour du loup , les chasseurs représentent à peine un pour cent de la population….. Arrêtez de faire ch…le peuple et allez jouer aux boules.;;;;;;;;;;;;;;;;
Contre ce projet  -  Ecrit le 1 décembre 2023, le 1er décembre 2023 à 14h17;"<span class=""puce"">- En France nous n’avions déjà par réussi à régler le problème de la rage voici plusieurs 10e d’années, malgré les abattages massifs de renards.  Les allemands nous ont donné gratuitement des capsules de vaccins anti-rabiques à mettre dans des têtes de poulets et à larguer par hélicoptère.  Cela a très bien fonctionné, plus de rage !  Merci les allemands. <span class=""puce"">- Maintenant c’est la présence des loups qui dérange.  Les loups sont capables de réguler l’écosystème mieux que tous les chasseurs.  Les loups mangent des marcassins (jeunes sangliers), des chevreuils, des cerfs/biches en trop grand nombre dans certaines régions. <span class=""puce"">- TOUS nos pays voisins arrivent parfaitement à cohabiter avec les loups (et les ours), pourquoi pas en France ???…";;;;;;;;;;;;;;;;
STOP à la maltraitance animale , le 1er décembre 2023 à 14h18;Bonjour,  CONTRE. STOP à la bêtise humaine.  Laissez la faune et la flore exister en toute tranquillité.  Les loups sont des êtres sensibles ressentant peur, douleur, souffrance et stress.  Ils ont toute leur place au sein de la nature et sont d’une grande utilité.  Dans des pays voisins ils sont protégés mais la FRANCE est souvent à la traîne et évolue plutôt à reculon. Quelle ironie, d’un côté le gouvernement se félicite de la réintroduction du loup et de l’autre, autorise les massacres. Il faut dire que ce gouvernement oscille plus souvent vers les lobbies amis du président et de son gouvernement.  Le loup est une espèce protégée, doit-on le rappeler à chaque instant ? A l’humain de savoir cohabiter et de faire tout ce qui est possible concernant la protection des troupeaux, ce qui est rarement fait, pourtant beaucoup d’éleveurs perçoivent des subventions puisées dans les fonds publics. Rappelons, même si l’argument est très léger, que ces pauvres animaux d’élevage finiront, pour l’ensemble aux abattoirs, pour être assassinés dans des conditions, souvent, plus que déplorables.  Cordialement.  Patrick ROL;;;;;;;;;;;;;;;;
les loups, le 1er décembre 2023 à 14h20;sont utiles à la biodiversité, regulent les autres espèces dans la nature , les ovins et bovins des alpages doivent être aussi protegés , pas par des patous plus dangereux que les loups , et surtout proteges d’une mort atroçe pour servir de nourriture à de shumains qui n’en n’ont pas besoin. Donc n’abattont plus ni les loups , ni les autres animaux !;;;;;;;;;;;;;;;;
CONTRE ce projet d’arrêté visant à simplifier les conditions de destruction du loup et POUR une coexistence avec cette espèce protégée. , le 1er décembre 2023 à 14h23;Au mépris des arguments scientifiques, ce projet d’arrêté ne visent plus à favoriser la cohabitation entre le loup et l’Homme. Il est indispensable de changer notre regard sur la faune sauvage et de prendre en compte ce que la biodiversité apporte au fonctionnement des écosystèmes naturels. Respectez l’avis négatif du Conseil National de Protection de la Nature et modifier ce PNA !;;;;;;;;;;;;;;;;
Opposition à ce projet, le 1er décembre 2023 à 14h26;Je suis totalement contre ce projet, destructeur d’une nature un tant soit peu sauvage. Les espagnols, les slovènes, les roumains, les italiens etc etc… arrivent à cohabiter avec le loup et la France n’y arrive pas ?  J’ai vu personnellement en Italie alpine comment les troupeaux sont protégés, pourquoi on ne fait pas pareil ? Certains éleveurs français reçoivent des subventions pour des clôtures hautes et mettent à la place des clôtures de 1m50, qui est fautif, le loup ou l’homme ? J’ai l’impression aussi que les avis de personnes compétentes sont ignorées, surement au profit de lobbys qui intéressent surement davantage que le gouvernement au détriment de la réalité. Je pense que les dérogations pour tuer un ou des loups doivent être au contraire strictement réglementés  et être l’exception dument justifiée. Comme le souligne le CNPN dans son avis de 2023, aucun bilan de la gestion du loup n’a été tiré pour la période précédente, et la réponse basée sur les tirs apportée par les ministères est inadéquate.  Au plan de ce qui existait déjà dans l’arrêté de 2020, je conteste :  la notion de troupeau non protégeable, une spécificité française purement politique et non fondée sur une réalité, permet de supprimer des loups dans des zones très importantes, et contrevient aux deux conditions dérogatoires “il n’existe pas d’autres solutions satisfaisantes et que les opérations ne nuisent pas à l’état de conservation de la population de loups.”. les tirs de prélèvement, certes de moins en moins utilisés, devraient être retirés de l’arsenal létal car ils sont déconnectés des actes de prédation. Assortis des articles 20 et 21, la possibilité d’une chasse au loup  est encore poussée plus loin, sans préalable de protection des troupeaux ni de celle de tirs plus contrôlés la politique visant à clairement empêcher l’installation de loups en dispersion, en les tirant sans autre forme de procès, de façon à cantonner les loups aux massifs alpins Toutes ces mesures, à l’évidence dictées par le Ministère de l’Agriculture, installent la France en tant que destructeur de faune sauvage, et pays méprisant les avis scientifiques et détournant les traités de protection du vivant qu’il a signés.;;;;;;;;;;;;;;;;
opposition formelle, le 1er décembre 2023 à 14h31;Je m’oppose formellement  à l’abattage des loups qui ont toute leur place dans le système de la biodiversité comme d’ailleurs toutes les espèces animales. Cessons de les priver de leurs espaces et cessons d’ailleurs de tout envahir au détriment de la nature. Les loups tuent  une brebis ou plus et, c’est un drame mais lorsque l’bomme tue des animaux en nombre considérable  pour une alimentation qui finit souvent   la poubelle, cela ne coque pas. Moi ça me scandalise. Nous avons besoin de la Nature mais l’inverse n’est pas vrai, prenons arde qu’un jour, elle ne nous ’efface pas de la surface terrestre. Cela pourrait bien être le résultat de notre arrogance.;;;;;;;;;;;;;;;;
AVIS DEFAVORABLE, le 1er décembre 2023 à 14h36;"Je suis CONTRE ce projet de PNA qui n’est pas sérieux car il n’est ni objectif ni réfléchi et se contente de répondre favorablement aux exigences des lobbies. Je pense que le gouvernement doit écouter les scientifiques (CNPN, FERUS, SFEPM…) qui connaissent leur sujet et qui n’ont de cesse de nous mettre en garde contre les mauvaises décisions qui amènent cette planète vers le désastre que l’on voit se profiler. Il y a d’un côté les scientifiques qui, études à l’appui, essaient de nous raisonner et de nous mettre en garde et, de l’autre côté, les exaltés qui réclament ce qu’ils croient être leur dû sur la nature et vont à l’encontre de l’équilibre de la biodiversité. Les humains (chasse en tête, mais aussi activités agricoles et forestières) qui s’approprient les espaces naturels, les modifient et les déséquilibrent, et se plaignent ensuite des conséquences de ce déséquilibre qu’ils ont eux-mêmes créé et réclament au gouvernement qu’il mette en place des actions qui ne vont faire qu’aggraver les choses. Il faut tout reprendre à zéro et se mettre en retrait par rapport à la nature, la laisser se réguler toute seule. Les grands prédateurs ont un rôle de régulation dans l’écosystème. Le problème c’est que l’homme s’est octroyé ce rôle à leur place et prélève leurs proies à leur place (chasseurs). Il ne faut pas s’étonner ensuite si les loups doivent se rabattre sur les moutons que, encore une fois, l’humain leur amène « sur un plateau » lorsque les troupeaux ne sont pas protégés comme il se doit. A ce sujet, il faut subventionner les éleveurs afin de leur permettre de mettre en place toutes les protections qui fonctionnent bien ; et il faut conditionner les subventions à cette mise en place réelle. Deux choses donc : que les chasseurs cessent de prélever (pour leur activité de « loisir ») le gibier qui revient de droit aux grands prédateurs (pour leur simple survie) et que les troupeaux soient gardés efficacement avec, pour cela, des aides conséquentes attribuées à ceux qui les méritent (vérifications sur place à l’appui).";;;;;;;;;;;;;;;;
Avis défavorable projet décret pour tuer une espèce protégée., le 1er décembre 2023 à 13h51;Un scandale et une aberration que ce projet de décret. On ne tire pas et on ne tue pas une espèce protégée. Il existe d’autres moyens bien plus adaptés pour une cohabitation réussie. C’est NON pour ce projet de décret. Merci de prendre en compte ces vives et saines réactions défavorables à ce projet destructeur du vivant.;;;;;;;;;;;;;;;;
NON AU PROJET D’ARRÊTÉ - AVIS TRÉS DÉFAVORABLE , le 1er décembre 2023 à 11h42;Au delà du fait que la France ai ratifié les différents textes de lois Européens classant le loup comme espèce STRICTEMENT PROTÉGÉE ! Il est aujourd’hui clairement et scientifiquement prouvé à travers le monde que les tirs dérogatoires sont a minima non efficace et dans la majorité des cas  néfaste et contre productif ! De plus, de nos jours les techniques de protection du pastoralisme sont largement documentés et connus ! Leur efficacité n’est plus à prouver, celles-ci doivent être mise en place partout où il est nécessaire et rendu obligatoire ! La cohabitation avec le sauvage n’est pas une option c’est une nécessité !;;;;;;;;;;;;;;;;
Partage du sol, le 1er décembre 2023 à 11h42;Bonjour, Dans nos sociétés dites modernes seul semble être important l’homme et ses besoins de propriété. Hors il me semble important de rappeler que nous n’avons pas, sous aucun prétexte UE ce soit, de droit sur la limitation du sol aux autres espèces, en particulier le loup déjà traqué et partiellement éradiqué par les chasseurs pour la soit disant protection des troupeaux. Il est important de faire cesser cette politique de limitation des autres espèces pour notre seul bien être. La terre ne nous appartient pas, malgré l’impression que les propriétaires terriens en ont, n’oublions pas d’où nous venons et retournons. A la terre. Soyons moins cons que nos predessesseurs et partageons l’espace de vie interespece. Ce projet ne doit pas aboutir.;;;;;;;;;;;;;;;;
Non au projet de PNA Loup 2024-2029, le 1er décembre 2023 à 11h42;Le plan national ne tient pas compte des avis scientifiques, émanant notamment du Museum d’histoire naturelle, du conseil national de la protection de la nature, et vient contredire les associations de protection de la nature qui ont développé une véritable expertise sur le loup. De plus, il ne s’appuie nullement sur les enseignements du précédent PNA, qui n’a pas fait l’objet d’une quelconque évaluation.  Ce plan s’appuie sur une vision binaire hélas ancienne, du loup et du pastoralisme. Et ce, sans interroger les causes de la mortalités dans les troupeaux (quid des chiens?) ni les moyens vraiment mis en oeuvre pour les protéger.;;;;;;;;;;;;;;;;
AVIS NEGATIF AU PROJET D’ARRETE, le 1er décembre 2023 à 11h43;1- Aucune évaluation sérieuse et scientifique du PNA 2018-2023 2- Une évaluation partielle et partiale sur les impacts liés à la présence du Loup  3- Incohérence totale de la position de l’Etat par rapport à ses engagements européens, convention de Berne (1979) et directive Habitats (1992) 4- Avis contraire motivé des scientifiques du CNPN;;;;;;;;;;;;;;;;
CONTRE, le 1er décembre 2023 à 11h45;Ce décret est une absurdité qui légitime le massacre d’une espèce protégée et nécessaire à la biodiversité et ce, contre l’avis défavorable émis par le CNPN et au mépris des arguments scientifiques. Le PNA devrait viser l’atteinte du bon état de conservation de l’espèce en France tout en assurant le soutien et l’accompagnement du pastoralisme : au lieu d’indemniser les bêtes tuées (et donc utiliser de l’argent public à perte), pourquoi ne pas financer l’achat de Patous qui permettent d’éloigner les loups et de défendre les troupeaux comme il s’était toujours pratiqué? De telles mesures visant à introduire une régulation de la population lupine française, en contradiction avec le droit communautaire et national, constituent un non-sens en termes de biologie de la conservation. Je suis vigoureusement contre ces dérogations aux interdictions de destruction de loups qui peuvent être accordées par les préfets, avec l’objectif de faciliter et de multiplier les abattages. Je soutiens fermement la mobilisation à l’initiative de la LPO  qui demande l’abandon de ce projet et le retour à un texte plus équilibré, prenant en compte les avis scientifiques et les travaux du Groupe National Loup.;;;;;;;;;;;;;;;;
Avis défavorable, le 1er décembre 2023 à 11h46;La destruction, même limitée et contrôlée, par l’Homme des prédateurs n’a jamais été durablement un succès pour la biodiversité et l’environnement. Il  convient urgemment que l’Homme change de paradigme en s’adaptant à  la nature et non pas le contraire. Ainsi les tirs des loups sont un contresens. Quoiqu’il leur en coûte, les éleveurs (et non pas l’Etat c’est-à-dire le contribuable)  doivent intégrer cette prédation et sa limitation dans leur modèle économique. La population des loups s’adaptera à la disponibilité des proies.;;;;;;;;;;;;;;;;
Avis défavorable, le 1er décembre 2023 à 11h52;Le loup demeure une espèce protégée. Cet arrêté met en péril le maintien de l’espèce en France et on comprend bien que c’est l’objectif réellement poursuivi…L’élargissement de la possibilité de le détruire (même sans nouvelles attaques !) est contraire à nos engagements. Aucune écoute des avis scientifiques, aucune évaluation sérieuse du PNA précédent. On désorganise les meutes en tirant dans le tas plutôt que de mettre les moyens sur des mesures efficaces. Et après on enverra les chasseurs réguler la faune sauvage puisque le loup ne sera plus là pour le faire.;;;;;;;;;;;;;;;;
Avis très défavorable, le 1er décembre 2023 à 11h53;Il n’est pas nécessaire de tuer des loups pour protéger les éleveurs. Il existe d’autres moyens qui, avec l’aide de l’Etat, pourrait permettre la cohabitation avec les loups. L’être humain opte toujours par la solution de facilité, éliminer, alors que nous avons un cerveau assez performant pour trouver d’autres alternatives.;;;;;;;;;;;;;;;;
avis défavorable, le 1er décembre 2023 à 11h53;"Plan de ""régulation"" de grande ampleur alors que l’on ne connaît pas l’impact réel des tirs de loups sur l’espèce et sur la protection des troupeaux. Solution politique de facilité sans réels fondements.";;;;;;;;;;;;;;;;
Contre, le 1er décembre 2023 à 11h55;L’objet de cet arrêté revient à vouloir éradiquer le loup, c’est inacceptable, je ne peux soutenir un tel texte. Que faites-vous des avis scientifiques ?;;;;;;;;;;;;;;;;
Avis défavorable, le 1er décembre 2023 à 11h55;Le tir de la femelle reproductrice ne doit pas être autorisé sur une espèce qui n’a pas reconquis l’intégralité du territoire;;;;;;;;;;;;;;;;
Avis très défavorable, le 1er décembre 2023 à 11h58;"Si j’ai bien compris, les modifications des règles des tirs de ""défense"" sont justifiées par l’augmentation des prédations sur les troupeaux effectuées par les loups en 2022-2023, la cause de cette augmentation étant imputée à l’augmentation de la population lupine, sans proportion, sans qu’on s’interroge sur les autres facteurs pouvant expliquer cette évolution. Pourtant, il est noté une stabilisation des prédations entre 2018 et 2021.  Avant de modifier les règles sur les tirs, il faut étudier davantage les causes de ces attaques et les moyens de s’en prémunir. La modification proposée aboutit à réguler sans contrôle une population animale strictement protégée, c’est inacceptable.";;;;;;;;;;;;;;;;
Non à cette modification., le 1er décembre 2023 à 11h59;Avis defavorable. L’homme et les institutions doivent mettre en place les dispositifs non létals et apprendre à cohabiter. Les solutions existent mais effectivement c’est moins contraignant et ça coûte moins cher de tuer  … S.Perrier;;;;;;;;;;;;;;;;
