sujet;texte
Défavorable , le 28 novembre 2023 à 23h40;Le plan précédent n’a fait l’objet d’aucune évaluation tangible quant aux décisions engagées, ce plan reprends seulement des principes d’influences… qui tape le plus fort sur la table fait entendre raison. Posez des faits tangibles, des actions concrètes, mesurées et financées… alors une discussion sera possible sur comment nous voulons vivre sur nos territoires en harmonie avec la nature
Un peu de bon sens, laissons le peu de loups restants survivre, le 29 novembre 2023 à 09h55;Un pays riche comme la France devrait montrer l’exemple à tous les pays en voie de développement à qui l’on demande de préserver leurs animaux emblématiques (lion, éléphant, tigre…). Si nous ne sommes pas en mesure de cohabiter avec quelques prédateurs, c’est une pitié.
Défavorable, le 29 novembre 2023 à 09h55;Pourquoi mettre en place un plan visant à éradiquer les loups alors que les post-mortem concernant les plans précédents n’ont pas été réalisés et que les scientifiques (Conseil National de Protection de la Nature) pensent ce plan inadapté ?
Pour la sauvegarde des loups en France, le 29 novembre 2023 à 09h55;Ce plan conforte les éleveurs de façon démagogique, et fait encore une fois reculer la sauvegarde des loups. Orr, sauvegarder une espèce, c’est lui permettre de se développer. Dans la nature, qui stagne régresse. Ce plan est donc une sorte d’hypocrisie caractéristique de la politique française et souvent européenne, consistant en une sorte de greenwashing au sujet de l biodiversité. Un vrai plan devrait se faire dans une concertation de fonds entre les partie prenantes de la question, et non sous la pression des lobbies, ce qui, malheureusement, es coutumier dans le contexte es politiques actuelles.
DEFAVORABLE, le 29 novembre 2023 à 09h56;Ce PNA pourrait mettre en place le bon état de conservation de l’espèce en France tout en soutenant le pastoralisme, or il n’est fait mention que des impacts négatifs de la présence du loup et non des bénéfices réels qu’elle apporte.  Et, au contraire, l’élevage est présenté uniquement sous un aspect positif, sans tenir compte des déséquilibres et des problèmes qu’il peut engendrer.  Je demande le retour à un projet plus équilibré, prenant en compte les avis scientifiques et le travail du Groupe National Loup.
Les chasseurs n’arrivent pas à limiter la prolifération du gros gibier, le 29 novembre 2023 à 09h57;Je suis défavorable au nouveau plan anti-loup qui est proposé. Pour commencer, le plan précédent n’a pas fait l’objet d’une évaluation correcte. D’autre part, je m’interroge que ce plan, censé favoriser la biodiversité, prévoit de tuer des animaux sauvages qui sont protégés au niveau européen. Enfin, le loup limite de façon tout à fait naturelle la prolifération du gros gibier (sangliers, chevreuils), dans un contexte où ce dernier augmente de façon démesurée au détriment des installations humaines. Or les chasseurs ne parviennent pas à le faire de façon artificielle, voire même ont tendance à augmenter le phénomène car les populations s’adaptent au chasseurs en mettant bas plus tôt ou avec des portées plus importantes. Pour qua la biodiversité soit favorisée, le loup doit exister sans être limité. L’homme a tout à gagner à avoir des populations de loups présentes, sachant qu’elles sont inoffensives.
avis défavorable, le 29 novembre 2023 à 09h57;le projet de Plan national d’actions sur le loup et les activités d’élevage doit accompagner les éleveurs pour trouver les moyens de cohabiter avec le loup et non tuer les loups.  Nous devons apprendre à co exister et non à détruire tous ceux qui nous dérangent.
Défavorable , le 29 novembre 2023 à 09h57;Les loups ne sont pas des boucs émissaires de la politique
défavorable, le 29 novembre 2023 à 09h57;Les espèces sauvages doivent être protégées. Elles sont nécessaires à un bon équilibre de la vie sur Terre.
avis négatif , le 29 novembre 2023 à 09h58;Ce plan c’est l’horreur ! On n’a rien appris du plan précédent qui n’a fait l’objet d’aucune évaluation de la pertinence des actions engagées.  Ce plan aussi n’a aucun intérêt à viser l’atteinte du bon état de conservation de l’espèce en France, tout en assurant le soutien et l’accompagnement du pastoralisme, il n’est fait mention que des impacts négatifs de la présence du loup et non des bénéfices qu’elle apporte. A l’inverse, l’élevage est présenté uniquement au travers de ses aménités positives, sans tenir compte des problèmes que certaines formes d’élevage peuvent engendrer. Il n’y a pas seulement l’intérêts des éleveurs en France mais c’est quoi cette bêtise ? On ne peut pas revenir vers le Moyen Age !
DEFAVORABLE, le 29 novembre 2023 à 09h59;"Tout à fait contre ce projet ! Nous devons vivre en bonne intelligence avec les loups et autres espèces classifiées ""nuisibles"" (alors qu’il n’en est rien). Que l’on aide les éleveurs à protéger leurs troupeaux d’une manière ou d’une autre !"
Protégeons la biodiversité , le 29 novembre 2023 à 09h59;Ce plan nuit à la biodiversité en favorisant les tirs de suppression des loups, au détriment de la protection de cette espèce (convention de Berne). De plus, il n’y a pas de troupeaux partout où se trouvent les loups. Laissons faire la nature….
AVIS DÉFAVORABLE , le 29 novembre 2023 à 09h59;Chaque espèce est nécessaire au bon fonctionnement de l’écosystème.
Avis défavorable , le 29 novembre 2023 à 10h00;Ce plan c’est l’horreur ! On n’a rien appris du plan précédent qui n’a fait l’objet d’aucune évaluation de la pertinence des actions engagées.  Ce plan aussi n’a aucun intérêt à viser l’atteinte du bon état de conservation de l’espèce en France, tout en assurant le soutien et l’accompagnement du pastoralisme, il n’est fait mention que des impacts négatifs de la présence du loup et non des bénéfices qu’elle apporte. A l’inverse, l’élevage est présenté uniquement au travers de ses aménités positives, sans tenir compte des problèmes que certaines formes d’élevage peuvent engendrer. Il n’y a pas seulement l’intérêts des éleveurs en France mais c’est quoi cette bêtise ? On ne peut pas revenir vers le Moyen Age !
Avis défavorable, le 29 novembre 2023 à 10h00;Le loup était là bien avant sur ces territoires et nous devons apprendre à vivre ensemble.  Il faut aider les éleveurs en leur donnant des clés pour se protéger mais tous ont leur rôle à jouer dans la chaîne alimentaire. Arrêtons de vouloir tout maitriser en supprimant ce qui nous dérange. Ces actions déséquilibrent la nature et ne font que provoquer de nouvelles catastrophes.
Avis très défavorable, le 29 novembre 2023 à 10h00;Le PNA précédent (2018-2023) n’a pas fait l’objet d’une évaluation de la pertinence ni de l’efficience des actions engagées afin d’en tirer des enseignements pour élaborer le nouveau PNA. Aucune analyse n’a été effectuée sur les bénéfices apportés par la protection des troupeaux et l’efficacité supposée des tirs létaux, alors que ce sont deux éléments centraux du plan. Alors que ce PNA (2024-2029) devrait viser l’atteinte du bon état de conservation du loup en France tout en assurant le soutien et l’accompagnement du pastoralisme, il n’est fait mention que des impacts négatifs de la présence du loup et non des bénéfices écologiques qu’elle apporte. A l’inverse, l’élevage est présenté uniquement sous un angle positif, sans tenir compte des problèmes qu’il peut engendrer. Ce projet doit être abandonné en faveur d’un texte plus équilibré, prenant en compte les avis scientifiques et les travaux du Groupe National Loup.  L’engagement de l’Etat en faveur de la modification du statut de protection du loup et son déclassement d’espèce strictement protégée, envisagé à la fois dans la Convention de Berne de 1979 et dans la Directive Habitats de 1992, est contraire à l’objectif d’assurer un bon état de sa conservation. Il s’agit d’un précédent inacceptable dans un PNA, qui ouvre une brèche inquiétante dans le domaine de la protection de la faune sauvage. Le Conseil National de Protection de la Nature a d’ailleurs produit un avis négatif qui met en avant la plupart des points énumérés ci-dessus, sans que cela ait conduit à la moindre modification du texte…
Avis defavorable , le 29 novembre 2023 à 10h00;La CNPN donne un avis défavorable tant sur l’arrêté fixant les conditions que sur celui fixant le nombre de loups qui pourront être tués chaque année. Pourquoi cet avis n’est-il pas suivi ?  Pourquoi ne pas respecter la biodiversité ? Le loup a tout son rôle à jouer dans celle-ci, à l’image de tous les autres animaux. Il faut cesser ces atteintes incessantes à l’environnement. A quand une vraie politique environnementale en France ??
Laissez les vivre et laissons la nature maitre du jeu, le 29 novembre 2023 à 10h02;Dans tous les pays en Europe la cohabitation se passe bien, et les quelques animaux tués ne choquent personne et surtout pas les bergers qui acceptent les règles de la nature, il n’y a qu’en France ou les bergers ou fermiers veulent le beurre et l’argent du beurre, ils sont indemnisés et parfois gagnants, alors arrêtons de tout vouloir gérer on voit ou cela mème le monde, je m’oppose donc fermement à ce plan et vote la pétition.
Contre ce PNA et pour retrouver un savoir vivre ensemble., le 29 novembre 2023 à 10h02;"Ce PNA est trop parcellaire et trop à charge contre le loup, par ailleurs espèce protégée et qui participe largement aux équilibres écologiques. La ""régulation"" de la biodiversité par l’espèce humaine montre malheureusement ses limites : ces équilibres nous dépassent. Il est urgent de changer nos façons de penser pour retrouver le savoir vivre ensemble, notamment au niveau pastoralisme. Il est aussi regrettable qu’il n’y est pas eu d’évaluation du PNA 2018-2023, ne trouvez-vous pas !"
Avis défavorable , le 29 novembre 2023 à 10h02;Je m’oppose au PNA, il est urgent de changer notre regard sur le vivant et notamment la faune sauvage, de réaliser enfin ce que la biodiversité apporte à l’équilibre des écosystèmes naturels.
AVIS DEFAVORABLE PNA Loup, le 29 novembre 2023 à 10h14;Le gouvernement choisit de mettre en œuvre un nouveau plan sans avoir tirer conclusions du plan précédent et en dépit de l’avis négatif (à l’unanimité) du CNPN. On ne peut conduire une politique durable sans engager toutes les parties dans les négociations. La nécessité de maintenir une activité pastorale, rentable et sereine, est évidente mais pas de manière unilatérale. Le stress et les dégâts occasionnés par les loups sont eux aussi une évidence qu’il faut prendre en compte. On ne peut imaginer que le statut de protection des loups soit déclassé, si peu de temps après leur retour durable. Retirer la protection signifie sa disparition, il en va ainsi, hélas, des pratiques de chasse. Les conditions de tirs d défense ont été déjà allégées et ne permettent plus de contrôle préalable. Je m’oppose donc à ce PNA déséquilibré, insincère et quasi-unilatéral.
AVIS TOTALEMENT DÉFAVORABLE, le 29 novembre 2023 à 10h14;Ce PNA est contraire au droit national et communautaire et va à l’encontre des objectifs de conservation que l’État s’était fixé. La présence du loup présente de nombreuses aspects bénéfiques d’un point de vue écologique, les études et avis scientifiques le prouvent.  Pourtant, cet impact positif primordial n’est pas pris en compte dans l’élaboration de ce PNA. À l’inverse, les problèmes et dommages engendrés par l’élevage ne sont quant à eux pas évoqués du tout. L’objectif doit être la recherche de l’équilibre entre le bon état de conservation de l’espèce et le soutien du pastoralisme. Et afin de répondre à cet objectif, tous les aspects positifs et négatifs doivent être pris en considération, ce qui n’est pas le cas ici. De plus, il n’a pas été fait de bilan du dernier PNA (2018/2023) avant de rédiger le nouveau. C’est absurde de ne pas faire le constat de l’efficacité des actions menées dans le passé pour décider de celles à mener dans le futur. Sinon toutes les décisions sont prises à l’aveugle et sur la base de suppositions. La protection des troupeaux a-t-elle été bénéfique ? Et les tirs létaux ? Et comment ces informations sont-elles récoltées ? Sont-elles fiables ? Que disent les rapports scientifiques ? Ce PNA va avoir un vrai impact écologique sur l’équilibre des écosystèmes, il est fondamental de comprendre la situation et de faire des choix justifiés par des arguments scientifiques et des rapports sincères sur la situation sur le terrain.
non, le 29 novembre 2023 à 10h16;encore et toujours on n’écoute pas les scientifiques mais seulement les financiers. A quel moment l’homme comprendra que la planète ne nous appartient pas. J’ai honte de notre race !
AVIS DEFAVORABLE, le 29 novembre 2023 à 10h16;Bonjour,  je suis totalement défavorable à ce plan qui est un simulacre et va à l’encontre de tout bon sens. Au lieu de dresser un bilan honnête entre les loups et l’activité (intensive) humaine, on ne présente que les cotés négatifs du loup. Oui c’est vrai il y a quelques attaques …sur des troupeaux non protégés, les éleveurs sont largement indemnisé (voir plus que leur prix de vente) mais ce plan ne prend pas en compte les cotés positifs : régulation naturelle et entretien de la biodiversité via la chaine alimentaire. Vous basez-vous sur un quelconque avis scientifique ? sur une analyse des effets du précédent PNA ?  Tout est fait encore une fois et comme toujours, malheureusement, pour le profit des lobbies agroalimentaires au détriments de la nature.
Protection des espèces loup y compris, le 29 novembre 2023 à 10h16;On parle d’évolution mais dans sa façon de réfléchir, l’humain est resté sur le quai du 19ème siècle. Il est d’autant plus grave au troisième millénaire de rester dans le déni et l’égoïsme  qu’est la logique de tuer pour seule et unique solution face à tout se qui nous dérange alors même que nous subissons de plein fouet les effets négatifs de nos activités humaines. Il serait temps de réfléchir et surtout d’agir (puisque des gens compétents ont des solutions) sur comment changer notre façon de fonctionner et comment vivre aux côtés des animaux sauvages dont les prédateurs, dont le loup. Si tuer était la solution il n’y aurait plus de problèmes. Hors, on a plus le sentiment que les problèmes  arrangent les addicts de la gâchette. Alors protégeons les loups des prédateurs bipèdes.
Avis défavorable, le 29 novembre 2023 à 10h16;Ce PNA ne me semble pas pertinent : ce n’est pas parce que l’espèce est en croissance qu’il faut nécessairement en réduite la population ! Le manque de prise de recul sur le PNA précédent ne permet pas de prendre une telle décision. Cette croissance de la démographie du loup devrait au contraire être vue comme un signe de meilleure santé des écosystèmes et devrait être encouragée. Le loup est un espèce tout à fait capable de se réguler par elle-même. On parle d’un millier de loups pour combien de troupeaux ? Et comment sont évalués les bénéfices écosystèmiques liés à la présence du loup ? Ne faudrait-il pas plutôt prendre le temps d’évaluer correctement (c’est à dire scientifiquement) les résultats du dernier PNA avant de prendre des décisions à l’emporte-pièce ?
Avis défavorable plan anti loups, le 29 novembre 2023 à 10h16;On réintroduit le loup puis on massacre le loup. On réintroduit l’ours et bientôt on les massacrera. On découvre tout à coup qu’un animal mange, se reproduit, nourrit ses petits. Bref, on joue à l’apprenti sorcier et un jour un animal paiera de sa vie votre connerie. Ce qui est sûr c’est que cela va faire le bonheur des chasseurs, à se demander si tout ce cirque n’était pas orchestré dès le départ par les défenseurs de viandards traditionnels. Je propose surtout qu’on réintroduise un peu de cervelle à nos dirigeants avant qu’ils ne décident d’introduire le tigre de Sibérie dans nos montagnes ou nombre d’espèces en voie de disparition mais à la fourrure si belle et si seyante. Ou encore l’éléphant ? Que de beaux carnages en perspective !!
DEFAVORABLE, le 29 novembre 2023 à 10h16;Persister à éroder la biodiversité ne peut jamais être la bonne voie.    Modifier le statut de protection du loup avant même que les effets de protection des troupeaux et tirs létaux n’aient été mesurés est scientifiquement bancal, et menace inutilement la lente atteinte d’un premier équilibre.     Il est également illogique de restreindre l’évaluation de la présence du loup à ses impacts négatifs, et ceux de l’élevage à leur impacts positifs : c’est se couper de beaucoup de facteurs qui ajustent peut être la balance de part et d’autre.    Le déclassement du loup au statut d’espèce strictement protégée ne permet pas de répondre à l’objectif d’assurer un bon état de conservation.  Le Conseil National de Protection de la Nature, instance scientifique indépendante consultée dans le cadre de l’élaboration de ce PNA, a produit un avis négatif et celui-ci a de fait été ignoré.     Il serait temps de voir au delà des 5 années à venir. Que fera l’élevage lorsqu’il sera submergé par les zoonoses provoquées par l’érosion de la biodiversité ?
