sujet;texte
COMPTAGES LOUPS, le 22 mars 2024 à 17h33;OUI A UNE METHODE DE COMPTAGE FIABLE. AVEC LA PARTICIPATION DU MONDE CYNEGETIQUE AYANT BEAUCOUP PLUS L’HABITUDE.
Comptage loups, le 22 mars 2024 à 17h36;Oui à une méthode fiable de comptage., le 22 mars 2024 à 17h14 Une fois la méthode adoptée, il est essentiel d’associer le monde de la chasse en s’appuyant sur son expertise et sa connaissance fine des territoires.
Comptage des loups, le 22 mars 2024 à 17h38;Si je suis pour le comptage, il faut que ce dernier soit fait selon une methode Fiable et que de plus le monde des chasseurs soit intégré au nombe des acteurs de ce comptage.
Comptage loups, le 22 mars 2024 à 17h40;Oui pour un comptage de la population des loups la plus fiable et donner aux chasseurs le droit et la possibilité de participer à l’établissement d’une charte en adéquation avec leur connaissance du territoire.
projet de comptage CMR du loup, le 22 mars 2024 à 17h43;Avis favorable au comptage CMR du loup en France , seul moyen d’obtenir des resultats fiables ! toutefois les comptages doivent associer des gens de terrain en particulier le monde cynegetique afin d’obtenir des resultats non tronques !
comptage fiable, le 22 mars 2024 à 18h01;je suis favorable à un comptage avec la seule méthode fiable des loups et contre un recoupement avec une méthode aléatoire basée sur des groupes.
Projet d’arrêté relatif à la méthode d’estimation de la population de loups et modifiant l’arrêté du 23 octobre 2020 fixant le nombre maximum de spécimens de loups (Canis lupus) dont la destruction pourra être autorisée chaque année, le 22 mars 2024 à 18h02;"<span class=""puce"">- Je souhaite une méthode de comptage fiable ; Il est nécessaire que le monde cynégétique, de par son expertise et sa connaissance des territoires, soit intégré dans le déploiement de cette nouvelle méthode de comptage."
consultation comptage de la population des loups en France, le 25 mars 2024 à 17h03;je suis favorable pour un comptage fiable en partenariat avec le monde cynégétique , impliquant toutes les fédérations de chasseurs sur le terrain , afin de suivre l’évolution et l’expansion de l’espèce sur le plan national.
mode d estimation du comptage du loup, le 25 mars 2024 à 17h12;je suis favorable a un comptage précis et fiable du nombre de loups et d une possible participation du monde cynégétique
Projet d’arrêté relatif à la méthode d’estimation de la population de loups , le 25 mars 2024 à 17h17;"Pour gérer convenablement un problème reconnu par tous, il est indispensable  de : •	recourir à une méthode de comptage fiable ; •	faire participer la ruralité et le monde cynégétique dans le déploiement de cette nouvelle méthode de comptage."
favorable à un comptage des loups par une structure indépendante du monde de la chasse , le 25 mars 2024 à 17h37;"Chasseur de grand gibier dans le massif des Maures (Var), occupé par plusieurs meutes de loups, je suis favorable à une amélioration des méthodes de comptage. La question est celle de la participation des chasseurs à ces comptages.  Le monde de la chasse dans son ensemble milite en faveur d’une régulation plus forte des populations de loups, voire pour certains d’une élimination du prédateur. Fédérations de chasse et revues spécialisées s’en font régulièrement l’écho. Cette position partisane peut conduire le monde de la chasse à surestimer volontairement le nombre de loup afin que soient augmentés les quotas d’abattage et que leur soit en partie confiée la régulation. Il est donc nécessaire que l’estimation des populations, élément fondateur de toute politique de gestion, soit exclusivement assurée par le monde scientifique ; même l’implication de l’OFB étant désormais sujette à caution en raison des pressions politiques très fortes qui s’exercent sur lui. Jacques DALIGAUX"
Favorable à la méthode comptage loup du 25 mars 2024, le 25 mars 2024 à 17h56;oui pour une méthode plus fiable oui à une possible participation du monde cynégétique dans le dépliement de cette méthode de partage.
Favorable à la méthode comptage loup du 25 mars 2024, le 25 mars 2024 à 17h57;oui à une possible participation du monde cynégétique dans le dépliement de cette méthode de partage.
Projet d’arrêté relatif à la méthode d’estimation de la population de loups, le 25 mars 2024 à 18h03;Favorable à la méthode comptage loup du 25 mars 2024, le 25 mars 2024 à 17h56 oui pour une méthode plus fiable oui à une possible participation du monde cynégétique dans le dépliement de cette méthode de partage.
Favorable, le 25 mars 2024 à 18h15;Oui à une possible participation du monde cynégétique et rural dans le déploiement de cette nouvelle méthode de comptage, permettant l’extension et la fiabilisation des données.
Non à la participation des chasseurs, le 25 mars 2024 à 18h19;"Non à la participation des chasseurs, dont l’intérêt consiste à détruire le loup. On ne peut être à la fois juge et partie, et la "" gestion "" des espèces sauvages par les chasseurs équivaut toujours à leur destruction. La barbarie, ça suffit."
Favorable à un comptage des loups par une structure indépendante du monde de la chasse , le 25 mars 2024 à 18h21;L’estimation des populations, élément fondateur de toute politique de gestion, doit être exclusivement assurée par le monde scientifique, strictement indépendant et prenant en compte des données vérifiées et qualifiées.
Mauvaise foi, le 25 mars 2024 à 18h21;Après avoir été exterminés pendant des siècles, les loups sont revenus en France mais peinent à franchir le seuil, vital, des un millier individus.Malgré les aides de l’État, chasseurs et éleveurs les pourchassent alors que leur espèce est juridiquement protégée. Pourtant, les loups font partie intégrante de la biodiversité de notre pays. Ils participent à sa préservation ainsi qu’à celle de nos territoires et ont toute leur place à nos côtés ! Ils ont accompagné l’histoire des humains depuis la nuit des temps. Leurs ancêtres et les nôtres savaient vivre en harmonie et leur complicité a même donné naissance aux chiens. Aujourd’hui,  éleveurs (encore une vidéo récente d’un éleveur de brebis qui montre un cadavre de brebis imputé au loup,mais on voit bien sur sa vidéo que son enclos n’est pas protégé !) et chasseurs continuent de véhiculer des mensonges à l’encontre des loups. Incapables d’accepter de cohabiter avec les canidés sauvages, ils font pression sur les autorités pour obtenir leur massacre. Ils ne voient les loups que comme des prédateurs de leurs propres proies. Et l’État français cède ! Au lieu de protéger les loups, il ne cesse de promulguer de nouveaux arrêtés pour autoriser les tirs. Chaque année, des dizaines d’individus sont tués et des meutes décimées et encore à venir !
Capture - Marquage - Recapture (CMR), le 25 mars 2024 à 18h24;Favorable à cette méthode de comptage qui apparait la plus fiable. De plus le monde cynégétique doit être impliqué et intégré de part son expérience et la connaissance des territoires dans le déploiement de cette nouvelle méthode de comptage. G.P. Oloron
Favorable, le 25 mars 2024 à 18h24;Favorable à une nouvelle méthode de comptage du loup, ni par les chasseurs, ni par les écolos ni par l’OFB, Il ne faut plus qu’il y ai de doute afin que la régulation se fasse rapidement. Pour les petits éleveur amateur, comme pour les gros éleveur, qui aiment leur bête et en vivent
Favorable , le 25 mars 2024 à 18h26;"Oui je suis pour une méthode de comptage fiable ; Oui à une possible participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage."
Le comptage doit rester basé sur des éléments factuels et vérifiés par des acteurs publics neutres assermentés et non parties dans le débat loup, le 25 mars 2024 à 18h26;défavorable à l’évolution proposée
grosse mobilisation des chasseurs pour orienter les résultats de cette consultation,  ils reprennent tous les mêmes phrases, un peu d’esprit messieurs !  , le 25 mars 2024 à 18h34;grosse mobilisation des chasseurs pour orienter les résultats de cette consultation,  ils reprennent tous les mêmes phrases, un peu d’esprit messieurs ! laissons les loups s’occuper des gibiers, celà fera moins de pollution que tout ce plomb distribué par ces Nemrod !
favorable , le 25 mars 2024 à 18h36;la méthode actuelle sous estime manifestement le nombre de loup . N’attendons pas un dramatique accident avec un humain pour être objectif sur le nombre de loup !
Laissez les vivre , le 25 mars 2024 à 18h40;Je sais pertinemment que seuls les commentaires allant dans le sens du lobby de ka chasse seront retenus, même si la majorité souhaite que l’on fiche la paix aux loups… mais hélas nous sommes en France et nos gouvernants n’obeissent qu’aux lobbies !
modification de l’arreté du 23OCTOBRE 2020, le 25 mars 2024 à 18h44;Je suis pour la modification du 23 OCTOBRE 2020
Oui au projet d’arrêté !, le 25 mars 2024 à 18h46;Cette méthode étant reconnue comme la plus fiable scientifiquement je ne vois même pas l’intérêt d’une consultation de personnes non compétentes.
Contribution de la LPO , le 27 mars 2024 à 18h12;L’estimation de la taille de la population par la méthode Capture-Marquage-Recapture (CMR) est une procédure scientifique reconnue et fiable. L’utilisation de cette méthode, sans recourir à une extrapolation basée sur l’Effectif Minimal Retenu (EMR), ne peut que renforcer la fiabilité de cette estimation. Pour que cette estimation soit reconnue par tous, il est aussi important que les processus de collecte, d’échantillonnage et de traitement soient transparents et puissent être consultés par tous. En particulier, les contributeurs au réseau Loup-Lynx devrait être informés des résultats des analyses des échantillons qu’ils ont transmis. Nous constatons malheureusement que la diffusion des informations est très lacunaire : absence de mise à jour du site loupfrance.fr (carte de présence datant de 2019 à 2021 selon les cas), absence de parution du Flash Info depuis 2021, pas de présentation du processus d’échantillonnage… Il nous parait important que le volet de communication soit aussi mis en avant. Par ailleurs, nous constatons que l’Etat se concentre essentiellement sur l’estimation de la population de loups, afin de permettre à la préfète coordinatrice de déterminer au plus vite le plafond de tirs dérogatoires. Il est tout aussi important de connaître la répartition sur le territoire, tant au niveau des régions bio-géographiques qu’au niveau local. Une connaissance plus poussée de la dynamique des différentes souches présentes en France permettrait de mieux appréhender les échanges entre sous-populations. Ces quelques exemples montrent qu’il est nécessaire de porter les efforts sur les différents aspects de la population, et non uniquement sur sa taille.
STOP aux mensonges sur les effectifs de loups, le 27 mars 2024 à 18h16;"•	Oui à une méthode de comptage fiable ;  •	Oui à une possible participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage."
Pour la participation des chasseurs, le 27 mars 2024 à 18h19;je suis pour des comptages au plus prêt de la réalité et pour se faire je suis pour la participation du monde cynégétique à ces exercices. Les chasseurs sur le terrain ont la perception la plus juste de l’évolution de ce prédateur avec le monde agricole et pastoral
Mode de comptage loups, le 27 mars 2024 à 18h23;Favorable à la façon CMR mais avec le concours des instances cynégétique
Méthode de comptage des loups, le 27 mars 2024 à 18h28;"Oui à une méthode de comptage fiable ; Oui à une possible participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage."
Mode de comptage loups, le 27 mars 2024 à 18h31;"Oui à une méthode de comptage fiable ; Favorable à la méthode CMR mais avec le concours des instances cynégétique     Oui à une possible participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage qui doit aussi associer le monde agricole."
Stop aux mensonges sur le loup, le 27 mars 2024 à 18h35;"Bonjour, Le patron de l’OFB dont les chiffres servaient de base principale pour dénombrer les loups à eu la gentillesse de dire ""nous ne faisons pas de comptage de loup mais un suivi"". Super du temps tout les chiffres fournis n’étaient pas correct bien en deçà de la réalité et nous voyons maintenant le résultat. Des secteurs ont vu leur cheptel de mouflon littéralement disparaitre et de chamois bien régresser, à tel point que les chamois sont obligé de se réfugier dans des lieux inextricable où le prédateur ne peu accéder.  Je ne parle pas du cerf et autre chevreuil ou sanglier qui sont malgré tout son garde manger. Il faut stopper la démographie galopante de cet animal ou nous serons dans quelques temps obligé de laisser nos armes au râtelier et définitivement les écolo doivent jubiler ! Je me suis battue il y a 15 ans pour faire admettre à des gens comme la DDT, les fédéraux, ONF, la fédération de Savoie où je résidais à l’époque, mais nous étions pris pour des c.. Maintenant il faudrait que les chasseurs participent à la régulation après avoir laissé faire durant au moins un décennie, nos anciens l’avait éradiqué cette plaie, quelques uns se sont posés la question pourquoi !? Certainement pas pour le plaisir ! Allez dire cela aux bergers et éleveurs qui en montagne souffre des attaques malgré les chiens dont certains parfois sont dangereux avec les randonneurs dont je suis. Pour endiguer ce prédateur il faudrait donner le feu vert à tous chasseurs de le tirer s’il en voit un et même avec ça ce ne serait qu’un coup d’épée dans l’eau !  Rien n’avancera nous le voyons pour un tas d’autres choses, je ne suis pas défaitiste mais regardez la réalité.  Un jour arrivera où le garde manger par rapport à la population ne sera plus acceptable alors des accidents risquerons d’arriver et là faudra se tourner vers ceux qui ont laissé fair ceux qui ont donner aval à cela. cordialement. RM"
Trop de dégâts liés aux loups, le 27 mars 2024 à 18h36;"Oui à une méthode de comptage fiable ; • Oui à une participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage."
comptage et régulation calcule= gestion, le 27 mars 2024 à 18h37;je suis pour comptage des loups avec une participation des accas qui sont aussi concernees,et pour une régulation contrôlée selon les dégâts commis.on a introduit ces animaux ,maintenant il faudra faire avec eux .
méthode estimation des loups , le 27 mars 2024 à 18h42;"Oui à une méthode de comptage fiable ;     Oui à une possible participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage."
méthode estimation du nombre de loups , le 27 mars 2024 à 18h47;"Oui Pour à une méthode de comptage fiable ;     Pour  à une possible participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage."
Participation a la consultation, le 27 mars 2024 à 18h47;"Oui à une méthode de comptage plus fiable ; Oui à une participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage."
Oui, le 27 mars 2024 à 18h47;Oui a une méthode fiable de comptabilisation, ainsi que le participation du monde cynégétique.
"Arrêtons le massacre, trop de dégâts liés aux loups, le 27 mars 2024 à 18h48

, le 27 mars 2024 à 18h48";". Trop de dégâts liés aux loups, . Oui à une méthode de comptage fiable ; . Oui à une participation du monde cynégétique dans le déploiement de cette nouvelle     méthode de comptage."
Methode clr, le 27 mars 2024 à 18h49;"Oui à une méthode de comptage fiable ; Oui à une possible participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage."
comptage loup, le 27 mars 2024 à 18h51;Oui à une participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage. seul, ceux qui sont au plus près de la nature peuvent avoir une estimation fiable de la population loup qui est sous estimée depuis des décennies : dans une portée de 5 petits, environ  60% seront des femelles : donc si on prends le chiffre de 1104 loups recensés en 2023 , il y a environ( au minimum )  la moitié de femelles : et cette espèce n a aucun predateur : je vous laisse faire le calcul du nombre de petits qu’ il pourrait y avoir : à méditer
STOP aux estimations et au mensonge !, le 27 mars 2024 à 18h53;"<span class=""puce"">- Oui pour les COMPTAGES (1+1+1+1+1…) fiables, y compris avec les hurlements provoqués. <span class=""puce"">- Oui à la participation active du monde pastorale et du monde cynégétique !"
Méthode d’estimation des loups le 27/03/2024 a 18h51, le 27 mars 2024 à 18h53;Oui à une méthode de comptage fiable  Oui à une participation du monde cynégétique
Pour une meilleure méthode de comptage , le 27 mars 2024 à 18h56;"Je suis pour une méthode de comptage plus fiable ; Oui à une participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage."
Comptage des loups , le 27 mars 2024 à 18h58;Oui à une méthode de comptage fiable   Oui à une possible participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage.
Comptage , le 23 mars 2024 à 10h26;Bonjour  Je souhaite que la méthode de comptage soit fiable et que monde cynégétique soit associé au suivi.  Cordialement
Avis favorables, le 23 mars 2024 à 10h57;Avis favorable à la mise en place d’une méthode de comptage fiable pour déterminer les populations de loups en France et avis favorable à la participation des structures cynégétiques à la mise en place et à l’exploitation de cette méthode. L’expertise de ces structures en matière de dénombrements de populations de faune sauvage n’est plus à démontrer.
Projet d’Arrêté relatif à la méthode d’estimation des population de loup, le 23 mars 2024 à 11h20;Je suis favorable à ce projet d’Arrêté qui peut apporter une estimation la plus fiable possible des populations de loups. Il serait souhaitable de s’appuyer sur le réseau des Fédérations Départementales des Chasseurs, agréées au titre de la protection de l’environnement, dont les compétences sont reconnues et avérées et dont le maillage territorial serait une plus value indéniable dans cet exercice d’estimation fiable des populations.
Une modification (décidée unilatéralement) de l’estimation de la population de loup nécessaire mais précipitée…, le 23 mars 2024 à 11h49;Puisque le seul espace disponible pour discuter de l’estimation de la population de loup en France est une consultation sur la modification du-dit suivi (impossible dans le cadre du réseau loup/lynx), voici mon trop long commentaire : Bilan de suivi OFB : Aucun retour de l’OFB aux correspondants du réseau loup/lynx depuis 2 ans (démobilisation des correspondants) :  Dernière publication du bulletin réseau loup/lynx en avril 2022. Pseudo-liste des indices publiée en juin 2022. Peu d’éleveurs impliqués. Perte de confiance « historique ». OFB à la fois « juge et partie », manquant parfois d’impartialité, et ce malgré les tentatives pour rétablir la confiance entre les différentes acteurs entamées dès l’année 2021… avec le résultat de l’on connait ! Peu de chasseurs impliqués. Une gestion des fronts de colonisation qui est catastrophique, et jamais remise en cause depuis 30 ans ! A titre d’exemple, il serait judicieux de supprimer le terme « grand canidé » et enfin d’appeler le loup par son nom… Chiffre national déconnecté de la réalité locale quelque soit la méthode d’estimation. EMR systématiquement sous estimé à hauteur de 15 à 20 % de la population estimée par CMR (qui elle-même est sous estimée). Absence de concertation et de collaboration avec les pays limitrophes (Suisse, Italie,…) pour le suivi des meutes transfrontalières et, de manière plus générale, pour le suivi de la population à l’échelle européenne. Limite CMR : Délai d’échantillonnage Nombre d’échantillons biologiques en baisse : * Diminution voir absence des remontées des APN (Associations de Protection de la Nature) et des Naturalistes car tout simplement en désaccord avec la politique de tirs (et probablement de certains organismes d’état comme l’ONF…) . Avec le nouveau PNA, cette tendance va très probablement se confirmer. * Absence de neige. Impossible de suivre une piste pour découvrir « facilement » des échantillons biologiques Aucune publication de la part de l’OFB : pas de liste consultable. Pas de vérifications possibles. Date de fin de suivi au 31 mars (historiquement, suivi hivernal : 01 novembre – 31 mars essentiellement pour déterminer l’Effectif Minimum Retenu avec les traces dans la neige… Méthode décrétée désuète fin 2023 unilatéralement par l’OFB) : déconnectée du cycle biologique du loup. Pourrait être décalée entre le 30 avril et le 30 juin (avant la sortie des louveteaux de la tanière) ce qui permettrait de couvrir une période plus importante et d’augmenter le nombre d’échantillons. De plus, certaines zones reculées de moyenne et haute montagne sont difficiles à prospecter en période hivernale (engagement des personnes, temps d’approche rébarbatif, etc.) ce qui diminue d’autant l’aire géographique des recherches d’échantillons biologiques. Sur les 3 dernières années, on constate une croissance  de la population de loups selon la méthode CMR en décalage total avec les 2 années précédentes alors que le nombre de ZPPtotales et ZPPmeutes est en augmentation (et les tirs plafonnés à 17 % du nombre de loups)… : *ZPPmeutes hiver 2020/2021 et 2021/2022 + 25 % *Population de loup méthode CMR en sortie des hivers 2020/2021 et 2021/2022 : + 35 à 40 % *Hiver 2022/2023 : ZPPmeutes + 14 % et CMR +0,7 % Hypothèses : *diminution de la détection du nombre de meutes (distinction entre les groupes de plus en plus difficile dans les territoires historiques) *diminution du nombre d’échantillons biologique entre les hiver 2021/2022 et 2022/2023 *date de recherches des échantillons biologiques pas assez étendue dans le temps *conditions météorologiques défavorables (conservation des échantillons biologiques avant récolte) Modification du suivi : C’est donc un aveu d’échec du suivi des 10 dernières années a minima Nécessaire mais sans période de tuilage entre les 2 méthodes afin de valider la pertinence et l’efficacité de la nouvelle méthode de suivi = ANNÉE 2024 TRANSITOIRE ! Aucune évaluation de la nouvelle méthode n’est prévue. Pour le pays qui se vente d’avoir la meilleure méthode d’estimation de la population de loup, et qui à chaque fois qu’elle est critiquée évoque l’argument de la sacro-sainte « rigueur scientifique » de l’OFB, je trouve cette situation ubuesque ! Suppression des indices géographiques historiques : ZPP meutes, ZPP non meutes, territoires à surveiller qui permet un suivi local intéressant et son évolution dans le temps, mais aussi d’avoir un regard critique (voir ci-dessus). Correspondants du réseau loup-lynx : La formation des correspondants au réseau loup/lynx, qui dure 2 jours, n’est pas indispensable pour identifier et ramasser des échantillons biologiques de loups, principalement les fèces. Tous les acteurs des mondes agricole et cynégétique devraient par défaut intégrer le réseau. Conclusion : Les services de l’état (OFB / DDT) et les organismes agricoles sont complètement dépassés par l’ampleur de la situation. Le changement de méthode tel que présenté en consultation est tributaire de la bonne volonté des membres du réseau loup/lynx, avec comme limite le désengagement des APN et naturalistes en protestation de la politique de tirs ou du déclassement du loup de strictement protégé à protégé. Au-delà de la simplification proposée par l’arrêté, on a l’impression que tout est fait pour rendre encore plus opaque la méthode de suivi de la population de loup en France, avec un seul organisme au manette, à savoir l’OFB qui sera capable de faire la pluie et le beau temps… Bref de l’enfumage ! Quel que soit la méthode d’estimation de la population, il y aura toujours débat autour du nombre de loups en France. Je pense qu’un suivi local (par département voir par massif ou pays cynégétique) devrait être mis en place indépendamment de l’OFB. Le contexte historique en France fait que l’OFB a perdu de sa légitimité pour le suivi du loup. Il serait temps de faire confiance aux personnes du terrain (qui ont elles aussi les compétences requises pour le suivi d’un prédateur tel que le loup) ! PS : 1/. Le plan national d’action loup 2024-2029 stipule que le chiffre de la population national de loup soit publié au plus tard au 31 mars. La fin du nouveau protocole de suivi restant inchangée au 31 mars (ce qui semble incohérent), l’arrêté modificatif indique que le chiffre de l’année n+1, sera publié en fin d’année n soit 6 mois après la fin du suivi hivernal. 2/. Pour l’année transitoire 2024, la date de publication de la population de loup en France est fixée à la mi-mars 2024. Pour l’heure, aucun chiffre n’a été publié ! Habitude quand tu nous tiens…
Méthode de comptage, le 23 mars 2024 à 11h51;"Oui à une méthode de comptage fiable ; <span class=""puce"">- Oui à une possible participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage."
Favorable à ce projet d’arrêté d’estimation de la population du loup , le 23 mars 2024 à 12h59;Je suis favorable à une méthode de comptage la plus fiable et la plus économique possible, afin d’avoir une réelle estimation de la population de loups en France et surtout de son évolution. Il me semble également indispensable d’y associer les différentes associations du monde rural, à savoir éleveurs, agriculteurs, chasseurs, qui sont directement impacté par la présence du loup dans nos alpages.
Yes, le 23 mars 2024 à 13h04;Oui à une méthode de comptage fiable. Oui à une possible participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage…
Comptage du loup, le 23 mars 2024 à 13h10;Oui à un comptage fiable du loup et oui à une participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage.
Estimation des loups, le 23 mars 2024 à 13h11;Oui à une méthode de comptage fiable avec reprise et marquage en présence de représentants des chasseurs.
Réponse , le 23 mars 2024 à 13h17;"Oui je suis favorable à une méthode de comptage fiable ; Oui à une possible participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage."
un comptage fiable et une participation du monde cynégétique, le 23 mars 2024 à 13h20;Oui à une méthode de comptage fiable Oui à une possible participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage.
Comptage , le 23 mars 2024 à 13h25;Oui je suis favorable à un comptage fiable, en prenant en compte le monde cynegetique, et les faire participer au comptage.
Comptage des loups , le 23 mars 2024 à 13h46;Je souhaite la méthode la plus fiable possible pour le comptage des loups. Je souhaite que les autorités cynégétiques soient associées à ce comptage.
Arrêté relatif au comptage des loups, le 23 mars 2024 à 13h48;Je souhaite que la méthode de comptage employée soit la plus fiable possible. Je considère que tous les acteurs du monde cynégétique soient associés à ce comptage.
Dénombrement des loups, le 23 mars 2024 à 13h53;Oui à une méthode de comptage fiable     Oui à une participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage.
comptage loup, le 23 mars 2024 à 13h57;oui à un comptage fiable avec la participation du monde cynégétique , les chasseurs doivent être partie prenante dans ces comptage par solidarité au monde agricole .
Comptage des loups, le 23 mars 2024 à 14h08;Oui pour une méthodes de comptage fiable. Un prédateur comme le loup est utile en forêt pour faire face au développement anarchique des populations de sangliers et de chevreuils que les chasseurs ne parviennent plus à  maîtriser.
Oui une methode fiable, le 23 mars 2024 à 14h10;"Oui à une méthode de comptage fiable ; Oui à une possible participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage."
oui je suis pour un comptage des loups fiable , le 23 mars 2024 à 14h22;et j aimerai  que le monde cynégétique, de par son expertise et sa connaissance des territoires, soit intégré dans le déploiement de cette nouvelle méthode de comptage.
Estimation population loups, le 23 mars 2024 à 14h22;Il est nécessaire d’intégrer les chasseurs dans ce type d’opération. Qui connait mieux la nature, la biodiversité que ceux qui y vivent?
Comptage loups, le 22 mars 2024 à 11h56;je suis favorable à une méthode de comptage fiable et je souhaite qu’y soit associé le monde cynégétique et plus particulièrement les fédérations des Chasseurs. C. Pinel
favorable à la nouvelle methode de comptage, le 22 mars 2024 à 12h13;oui je suis favorable à la nouvelle methode de comptage en intégrant les chasseurs dans le recueil des données car ils font partis des personnes que l’on trouve très souvent au contact de la nature quel que soit la saison
COMPTAGES DES LOUPS, le 22 mars 2024 à 12h32;FAVORABLE EN Y INCLUANT LES FEDERATION DE CHASSE
Méthode d’estimation de la population de loups, le 22 mars 2024 à 12h53;Avis favorable pour une meilleure méthode de comptage plus fiable (CMR) et de par son expertise et sa connaissance des territoires, je demande que soit intégré dans le déploiement de cette nouvelle méthode de comptage le monde cynégétique (fédérations des chasseurs et chasseurs).
Comptage des loups, le 22 mars 2024 à 13h02;Favorable à une méthode de comptage fiable
Très favorable, le 22 mars 2024 à 13h05;Favorable à la mise en place d’une méthode de comptage des loups plus fiable. Le monde cynégétique qui apporte un quadrillage sans équivalent du territoire doit être associé à ces comptages.
