titre;texte
Avis défavorable , le 4 juin 2025 à 00h10;arrêtons le massacre des vivants
Sturtzer Anne, le 4 juin 2025 à 00h10;DÉFAVORABLE. Il serait temps de réfléchir avec la nature et non contre la nature.
Avis défavorable, le 4 juin 2025 à 00h15;Je m’oppose strictement à ce projet d’arrêté qui vise à élargir les possibilités de destruction du loup, espèce encore protégée au niveau européen malgré son déclassement partiel dans la Convention de Berne. Ce texte affaiblit encore la protection de l’espèce sans apporter de garanties sérieuses ni données scientifiques solides sur l’efficacité de ces mesures. • Il privilégie des tirs souvent inefficaces plutôt que de renforcer les moyens de protection des troupeaux. • Il banalise la régulation létale, au risque de désorganiser les meutes et d’aggraver les conflits. • Il ne s’appuie pas sur un consensus scientifique, ni sur une évaluation rigoureuse de l’impact écologique. Il est urgent de fonder les politiques de gestion du loup sur les connaissances scientifiques et non sur des pressions locales ou politiques. La coexistence est possible si elle repose sur la science, la transparence et le dialogue.
DÉFAVORABLE, le 4 juin 2025 à 00h17;Trop de patous dans les campagnes et montagnes. Cessez l’élevage, laissez vivre les loups
Défavorable , le 4 juin 2025 à 00h18;Non je ne souhaite pas d’un arrêté permettant d’abattre davantage les loups.
Avis défavorable , le 4 juin 2025 à 00h19;Arrêtons de massacrer les animaux, la biodiversite et la planète. Réfléchissez que vous mettez l’avenir de la planète en danger et celui de vos descendants
Avis défavorable , le 4 juin 2025 à 00h20;Arrêtons de décimer toutes les espèces vivantes de notre planète. Le loup doit rester protégé.  Il serait temps de proposer des solutions alternatives et efficaces aux éleveurs que le massacre de certaines espèces.
DÉFAVORABLE , le 4 juin 2025 à 00h24;DÉFAVORABLE  Un seul constat d’attaque sur 12 mois dont la responsabilité du loup n’est pas exclue suffit pour obtenir une dérogation de tir létal ! Prôner la biodiversité en tuant le seul grand prédateur n’est pas concevable ! Seules les protections des troupeaux évitent les prédations de chiens ou de loups !
Défavorable , le 4 juin 2025 à 00h26;Il faut aider les éleveurs sans avoir besoin de tuer les loups .
Defavorable, le 4 juin 2025 à 00h33;Mieux vaut payer des chaumeurs que des bergers ???
destruction du loup, le 4 juin 2025 à 08h40;comme d’habitude l’homme se prends pour l’espèce supérieur mais il finira par s’exterminer tout seul.
Défavorable, le 4 juin 2025 à 08h42;De nos jours de bien trop nombreuses espèces ont disparues par notre faute et menacer cette espèce déjà en disparition serai une honte de plus pour l’espèce humaine
Je ne suis pas favorable , le 4 juin 2025 à 08h44;Non et non, nous devons apprendre à vivre ensemble ! Les animaux ont leur place à nos côtés.
DÉFAVORABLE , le 4 juin 2025 à 08h44;Les solutions non létales telles que la présence humaine (éleveurs, bergers, bénévoles), les clôtures, les chiens de protection ou l’effarouchement, soutenus par une aide financière adaptée, doivent être privilégiées avant toute autorisation de destruction. Aucun bilan des
Avis défavorable, le 4 juin 2025 à 08h44;"Je ne comprend même pas que cette question soit encore d’actualité en 2025… Une espèce endémique, naturellement revenue en France alors qu’on a tout fait pour l’exterminer… Il faut, au contraire, tout faire pour laisser la nature se rééquilibrer d’elle-même. J’espère que cette fois-ci, ce ne sera pas une ""consultation par principe"" et que vous allez vraiment écouter ce que le peuple veut. Parce qu’il paraît qu’on vit dans une démocratie…."
Avis défavorable, le 4 juin 2025 à 08h45;Les loups sont indispensables pour régulier les gros mammifères, en prolifération comme le sanglier par exemple. Je m’oppose à toute action humaine contre le loup.
du n’importe quoi , le 4 juin 2025 à 08h47;L’homme se prend pour l’espèce supérieure alors qu’il n’est qu’un maillon dans la biodiversité. En France, on crie au loup alors que dans d’autres pays la cohabitation fonctionne bien avec les bergers, les troupeaux, etc… Je suis contre la destruction du loup et de son habitat. Il faut arrêter et laisser la biodiversité exister. L’homme un jour se retrouvera tout seul sur une planète en décomposition.
STOP au massacre des loups., le 4 juin 2025 à 08h48;La  protection des troupeaux avec les Patous fonctionne très bien contre les innombrables attaques de chiens  errants, sur des  troupeaux non gardés et non protégés, en grand nombre des chiens de chasseurs et d’ éleveurs / chasseurs. Et également pour faire face aux attaques de loups. Les faux éleveurs qui ne  font pas ce travail de protection, n’ ont rien à faire dans cette corporation. L’ Italie et l’ Espagne élèvent des millions de moutons, gardés et protégés, avec la présence de milliers de loups. Prenons exemple.
Avis défavorable , le 4 juin 2025 à 08h50;Le loup doit rester dans notre faune sauvage.
Défavorable , le 4 juin 2025 à 08h50;La destruction de la vie au profit d’intérêts économiques particuliers ne doit pas être permise. Des solutions de protection du bétail existent qui permettent en outre de créer des emplois.
Défavorable, le 4 juin 2025 à 08h52;Il existe d’autres solutions que les éleveurs français n’ont pas encore mis en place. Le loup joue un vrai rôle dans la protection de notre écosystème, merci d’en tenir compte et de ne pas vous contenter de satisfaire des lobbys.
DEFAVORABLE à l’abattage du loup, le 4 juin 2025 à 08h54;Le loup a un rôle important pour la conservation de la bioversite.  Le loup est un animal sauvage implanter sur notre territoire et on lui doit notre respect.  Pour la prédation sur les troupeaux des solutions existent, elles sont reconnues efficaces, il suffit de mettre les moyens pour les mettre en place…alors non ne choisissez pas de donner le pouvoir au préfet de vie ou de mort du loup. Merci.
Défavorable, le 4 juin 2025 à 08h54;La population de loups n’est pas stabilisée (baisse encore en 2023). Malgré cela son statut de protection a été abaissé et on veut encore en remettre une couche même en l’absence de menace sur les troupeaux ? Cela n’a pas de sens. On continue de jouer aux Apprentis sorciers avec la biodiversité en général, et avec les loups dans ce cas précis. Il est plus que temps de changer de vision et de méthodes, de sortir du tout létal sans réfléchir aux conséquences pour les écosystèmes et nous-mêmes à court et moyen-terme
Toujours peur du loup… pourquoi ? , le 4 juin 2025 à 08h57;Serions-nous encore au moyen âge pour vouloir à tout prix autoriser l’abattage des loups ?  Rien ne justifie ces tueries pudiquement rebaptisées « prélèvements » qui menacent une espèce que nous avons déjà éradiquée par le passé.  N’apprenons nous pas de nos erreurs ?  Pourtant ils ont été la cause de bien moins de morts humaines que… les humains eux mêmes.  Ils sont utiles à la biodiversité, participent à la régulation des espèces et s’autoregulent en fonction des ressources en nourriture. Les éleveurs d’Italie côtoient les loups depuis toujours et n’en font pas un drame. Ils prennent toutes les mesures nécessaires à la protection de leurs troupeaux, chiens, alarmes, bergeries pour la nuit, nos cousins seraient-ils plus avisés que nous ?  Que les chasseurs laissent lapins, sangliers et chevreuils tranquilles et les loups se chargeront de réguler leurs populations, laissant de côté les troupeaux puisque seuls les humains ont le privilège de massacrer ces derniers discrètement dans les abattoirs.  Ou serait-ce le simple plaisir de « zigouiller » comme le dit la chanson d’Alain Souchon ?  Rien ne justifie que l’on mette de nouveau cette espèce magnifique et péril.  Protégeons la, protégez la s’il vous plait. Merci de l’attention que vous voudrez bien porter à cet avis qui ne doit pas être le seul dans son genre. Cordiales salutations. Genevieve Romain  France
Défavorable, le 4 juin 2025 à 08h57;Le loup participe à la biodiversité, il est opportuniste, s’il avait à sa disposition les gros gibiers qui sont actuellement soit chassés soit enclos pour le plaisir des chasseurs, il ne s’attaquerait pas sauf marginalement, aux troupeaux. De plus des moyens existent pour protéger les troupeaux, ils sont payés par nos impôts, et je suis d’accord pour y participer sans pb si cela protège et le loup et les troupeaux, mais en ôtant la protection au loup on participe à la poursuite du déséquilibre . La nature sait très bien s’auto-réguler si on la laisse tranquille. Laissez le loup tranquille et protégeons-le.
Pourquoi tant de haine envers le loup, le 4 juin 2025 à 08h59;En Corrèze nous avons un malheureux couple de loup que les opposants veulent tuer, car il ne peuvent pas protéger les troupeaux.  Comment font les Italiens et les Espagnoles qui ont toujours eu des loups chez eux, les Français sont-t-ils moins malins…  Il y a quelques jours un patou, sortant de son enclos à mordu à la cuisse une dame qui passait à  vélo lors d’une  sortie en groupe, ces chiens sont réputés efficaces contre le loup mais agressif envers les humains, si des clôtures suffisantes les empêche de sortir elles empecheront le loup de rentrer, et surtout qu’on arrête d’ensencer ce chien en faisant des articles pour nous expliquer quoi faire quand on le rencontré, actuellement il a fait plus de dégâts humain que le loup .   A QUAND LES TIRS DE DEFENSE SUR LES PATOUX.
Avis défavorable, le 4 juin 2025 à 09h01;Aucun bilan suite aux arrêtés précédents n’a été fait sur la conservation du loup et sur les dommages aux troupeaux.   La présence humaine, les clôtures, les chiens de protection ou l’effarouchement, soutenus par une aide financière adaptée, doivent être privilégiées avant toute autorisation de destruction.  Des moyens de protection  fonctionnent très bien ailleurs en Europe, comme le montre l’étude « Parangonnage sur la politique publique du loup ». (https://agriculture.gouv.fr/parangonnage-sur-la-politique-publique-du-loup)
Avis défavorable , le 4 juin 2025 à 09h04;Il faut privilégier des solutions telles que la présence humaine (éleveurs, bergers, bénévoles), les clôtures, les chiens de protection ou l’effarouchement, soutenus par une aide financière adaptée, avant toute autorisation de destruction.  Le seuil d’autorisation de destruction est ridiculement bas, c’est une foutaise.
Défavorable , le 4 juin 2025 à 09h05;L’attribution des autorisations de tir par les Préfets se base uniquement sur les dommages, sans évaluation de l’état de conservation du loup. Il faut privilégier les solutions non  létales. Tirer des bilans sur les différents effets répercutés. Cesser d’agir en réaction mais avec respect du vivant et de la majesté de la nature. Éradiquer ne devrait pas être une perspective de vie.
Avis défavorable, le 4 juin 2025 à 09h06;Les loups sont nécessaires à l’équilibre écologique.  Pourquoi s’acharner contre eux alors que les agriculteurs sont dédommagés? Il faut effectivement protéger les troupeaux par des barrières électriques , rentrer les animaux en cas de danger mais ne pas céder au lobby des chasseurs et autres pouvoirs .
Avis plus que favorable , le 23 mai 2025 à 21h43;Sauvons l’élevage français pour le peut d’éleveur de qu’il reste sur notre territoire. N’oublions pas que nos anciens toujours raison il avait éradiquer  continuons
Arrêté de destructions des loups, le 23 mai 2025 à 21h53;Avis très favorable, il faut que les hommes puissent continuer de vivre dans la nature et élèvent des animaux domestiques sans craindre qu’ils soient tués par des prédateurs. Les gens des villes qui sont pour les loups devraient se dévouer pour aller surveiller les troupeaux et les protéger des loups. Il faut avoir le courage de ses idées. Le loup n’a pas de prédateurs naturels alors il est indispensable de le réguler afin de limiter son expansion sinon il va tout détruire dans la nature comme c’est déjà le cas avec les oiseaux qui disparaissent du fait qu’il y a trop de prédateurs.
Avis très favorable OUI il faut protéger les troupeaux par la seule vraie méthode efficace : les tirs, le 23 mai 2025 à 22h01;"L’élevage bovin est de plus en plus atteint par les attaques de loups, c’est insupportable et décourageant pour les éleveurs, ils doivent  bénéficier des tirs de défense et de prélèvement comme   leurs collègues éleveurs ovins ou caprins mais sans les mêmes contraintes inadaptées et souvent inefficaces compte-tenu du nombre de victimes.  Les équidés sont aussi de plus en plus la proie des loups et sans protection leur avenir est aussi sombre que celui des bovins . Pourquoi faudrait-il  attendre une attaque de loup ? Pourquoi ne pas déclencher des tirs des que la menace est présente, Pourquoi ne pas prévenir ? La vie d’un bovin ou d’un équin a-t-elle moins de valeur que celle d’un loup ??  Les loups doivent être énergiquement régulés  ( bien plus que les quotas attribués basés sur le nombre de loups annoncé par l’OFB qui minimise drastiquement. ) La faune sauvage est dramatiquement et sauvagement attaquée pour nourrir de plus en plus de loups sans prédateur eux-mêmes. Il faut être irresponsables,  idéologues, ou poursuivre des buts qui n’ont rien à voir avec la protection des loups ( ensauvagement des territoires, financiarisation de la nature, liquidation des éleveurs) ? Il faut être  très mal informé ou volontairement aveugle pour ne pas se rendre compte de ce qu’il est en train d’arriver !  De plus il faut cesser de répéter à l’infini que les tirs sur les loups sont contre productifs, c’est faux et de nombreuses études le prouvent (   Brainerd et AL., Elisabeth Harper et ses confrères (-Minésota- , Mylène Le CAN – France-, étude Suisse de 2004 à 2019 etc….) et même de la part de fervents partisans des loups ( David Mech, Boitani) Dans livre ""Behavior, Ecology and Conservation"", publié en 2005 aux Etats-Unis, de David Mech et Luigi Boitani,  ces deux chercheurs, ardents défenseurs du loup depuis 30 ans, s’y livrent, notamment, au ""démontage"" de préjugés en vogue chez les inconditionnels de Canis lupus, après que ces deux éthologues les ont eux-mêmes instillés naguère. Extraits : ""La société dans son ensemble gagnerait à utiliser davantage, à mieux connaître les données scientifiques relevant du loup, lequel plus que toutes autres espèces est idéalisé, incompris. Pour le dire crûment, de plus en plus de gens aiment le loup, mais de moins en moins comprennent et mesurent son contexte écologique. Après des décennies de plaidoyer en faveur de la conservation du loup, nous sommes maintenant au défi de réorienter cette adhésion vers un raisonnement plus rationnel, contextualisé enfin,en prenant en compte non seulement le loup, mais aussi tout son environnement, y compris les intérêts légitimes de l’homme."" À propos du loup taxé ""espèce parapluie"", ""clé de voûte de la biodiversité"", ""indicateur de la qualité ou de l’intégrité d’un habitat"" et autres idées reçues qu’ils ont inspirées eux-mêmes, les deux auteurs constatent ceci : ""Les loups ne méritent pas de tels labels. Si ceux-ci ont été de formidables moyens pour déclencher les émotions, obtenir et réunir rapidement des soutiens au rétablissement des loups, il nous faut prendre conscience que ce furent là des raccourcis pour « vendre  un produit’’, plutôt que de bonnes bases scientifiques. Ils ajoutent enfin : ""La gestion des populations en expansion doit recourir désormais à des arguments solides, cohérents, plutôt que des poussées émotionnelles."" Et de conclure : ""Le loup devra être contrôlé partout où il revient. Dans la plupart des cas, le contrôle direct par destruction est habituellement l’unique voie possible."" Association des Éleveurs et Bergers du Vercors"
Avis défavorable , le 23 mai 2025 à 22h30;Laissons le loup tranquille ! Il suffit de faire comme en Italie ou comme dans les Pyrénées avec l’ours. Les troupeaux et peu importe leurs tailles peuvent être répartis et parqués la nuit
non 23 mai, le 23 mai 2025 à 22h34;Laissons les loups tranquilles !
Avis défavorable , le 23 mai 2025 à 22h49;Stop à la persécution du loup ,réintroduit en France pour la biodiversité il doit être maintenant tuè car aucune autre mesure est envisagée ! La France est à la ramasse pour la protection des espèces !
Protégeons nos troupeaux, le 23 mai 2025 à 23h11;Au lieu de demander à parquer nos animaux d’élevage, parquons les loups ! En France les éleveurs ont beaucoup de contraintes pour que nous mangions une viande de qualité, ce n’est pas pour la laisser au loup ! Quand les éleveurs seront dégoûtés de travailler pour rien et qu’ils laisseront tomber, on mangera quoi ? De la viande importée ? Et si les loups n’ont plus de troupeaux à attaquer, ils attaqueront qui ? Les personnes âgées et les enfants… comme dans le Petit Chaperon Rouge 😡
Le loup est indispensable à la biodiversité , le 23 mai 2025 à 23h46;Encore une fois ! la France est un des seul pays a vouloir éradiquer une espèce.Di il n’y avait pas de chasseurs,il y aura plus de gibier pour le loup et il ne s’attaquerait pas aux troupeaux d’élevage ! Tuer le loup n’est pas une solution,les jeunes loups reforment instinctivement une meute quand un loup dominant est tué.Le loup a sa place dans notre société,il était là avant vous et moi ! Marre de ses bureaucatres qui prennent des décisions sans rien connaître de la biodiversité !!!
Avis defavorable, le 24 mai 2025 à 00h49;Les loups ont colonisés naturellement notre territoire dans les années 90. Après 35 ans de colonisation et des présence, les eleveurs ont ete informés des risques de predations sur leurs troupeaux. L’état a défini certaines règles à respecter pour la protection : clotures electriques, parcs fermés, chiens de protections, surveillance accrue par des bénévoles d’associations. Les eleveurs ne peuvent argumenter sur le fair qu’ils sont abandonnes.  De plus, l’état, pour répondre aux attentes des syndicats agricoles (FNSEA entre autres) à défini un cota annuel de prélèvements dans des conditions strictes, qui représente 20% de la population lupine soit plus de 200 loups pour 2025. La proposition de décret pour étendre les prélèvements n’est pas justifiée et n’ira gravement au maintien d’une population viable pour l’espece Canis Lupus. C’est pourquoi je valide un avis défavorable.
Favorable , le 24 mai 2025 à 06h09;Le loup tue la biodiversité. La biodiversité est bien le maintien de multiples espèces. Aujourd’hui les défenseurs du loup sont prêts à tout et n’importe quoi pour protéger une seule espèce. L’élevage nourrit la planète et entretient les paysages c’est ça qu’il faut protéger ! Arrêtons de croire que le loup ne sautera pas les filets ou des clôtures électriques. Les chiens d’exploitation les sautent point arrêtons la surprotection la surenchère des moyens de protection de gaspillage d’argent public. J’espère que le prochain arrêté fixera des règles de régulation de l’espèce lupine.
NON : il faut laisser le Loup vivre et étendre son implantation, le 24 mai 2025 à 06h42;Il est LE régulateur parfait. Les agriculteurs se plaignent des dégâts occasionnés par les Sangliers et grands ongulés donc laissons le Loup tranquille ! Les chasseurs qui se plaignent d’indemniser seront contents aussi. Les éleveurs se plaignent des attaques de Loup : les parades existent qui sont prouvées efficaces. Les appliquer permettrait de faire des économies là-aussi…
Avis defavorable, le 24 mai 2025 à 06h54;Le loup,  seul vrai régulateur indispensable à une biodiversite équilibrée et naturelle. Obligation de surveillance des troupeaux par les éleveurs et régulation des du nombre de chasseurs…
Avis défavorable : Le loup doit rester une espèce protégée , le 24 mai 2025 à 07h00;Contrairement à ce que veulent nous faire croire les éleveurs et chasseurs le loup est en diminution sur notre territoire. Sa disparition entraînerait un déséquilibre dans la faune sauvage en tant que prédateur naturel. Il est plus facile de tenir le loup coupable de tous les maux de la filière ovine et bovine plutôt que de chercher les vraies causes qui sont le résultat de la mondialisation
Avis défavorable , le 24 mai 2025 à 07h05;Laissons le loup tranquille garant de la biodiversité. Protégeons les troupeaux.
Favorable mais aller plus loin encore, le 24 mai 2025 à 07h41;"Encourageons nos agriculteurs. Aidons les, plutôt que de les obliger  à mettre en place des moyens de protection qui les surchargent encore plus de travail ! C’est la catégorie d’actifs qui travaille le plus en France( 12 à 14h de travail par jour et des nuits aussi pour les naissances,1 semaine de vacances par an) et nous voudrions encore leur imposer de faire des heures de surveillance des troupeaux jours et nuits toute l’année,  d’avoir 1 chien par pré et donc avoir une 15aine de chiens( dans certaines régions de bocages) autant dire un élevage de patous en plus des animaux dont ils s’occupent déjà tous les jours, doubler tous leurs près (regions de bocages) de clôtures 4 fils et tout le travail d’entretien de ces clotures au cours de l’année en plus? Mais n’avons nous pas honte de leur demander ce travail de TITAN !  N’avons nous pas honte de leur faire assumer la gestion du loup? Dans les régions de bocages, ce sont nos agriculteurs qui font les paysages et qui permettent de garder toute une biodiversité grâce à leurs haies et leurs surfaces enherbées, souvent en extensif grâce à  la mise en place (contraignantes aussi ) des mesures agroenvironnementales qu’ils choisissent de mettre en place pour le bien justement de l’environnement,pour le bien de tous. La gestion du loup devrait être totalement assumée par les associations pro-loups et l’état, financièrement et physiquement. Arrêtons de demander l’impossible aux agriculteurs, ils vont craquer et abandonerons leur métier…nous n’aurons plus que des friches et les loups…tout n’est pas bon dans la "" nature"". Les exemples donnés des abbruzes et de Yellowstone sont tellement loin de notre problématique française.c’est ridicule. Tres favorable pour toutes mesures en faveur des agriculteurs qui sont des victimes. Le loup est fascinant et surtout malin…et opportuniste…pourquoi aller courir après des sangliers ou des chevreuils alors que de paisibles moutons ou veaux leur sont offerts…Iriez vous chasser avec vos flèches si vous aviez faim plutôt que vous servir dans un garde manger grand ouvert? Cette nature fantasmé est un problème de pays riche dont la population n’a plus la sensation de faim ,ou toute l.alimentation est à profusion dans nos supermarchés.  Ne lâchons pas nos agriculteurs, gardons notre indépendance alimentaire en les protegeant"
Le loup, le 24 mai 2025 à 09h34;Avis défavorable. Il semble que la cohabitation se passe mieux chez nos voisins, pourquoi ne pas étudier leurs solutions ? Partout dans le monde où le loup a été éradiqué, il a été réintroduit car il fait partie de la chaîne alimentaire et sans lui, plus de végétation car les herbivores mangent toutes les jeunes pousses. Si les chasseurs ne prélevaient pas autant de gibier, le loup pourrait se nourrir sans attaquer les troupeaux.
Non, le 24 mai 2025 à 09h34;Avis défavorable ! Le loup est garant de la biodiversité a droit de vivre. En Italie les bergers réussissent la cohabitation tout simplement en faisant leur job ! Il n’y a pas de bergers 2.0 ni d’autre façon que d’être présent pour protéger le troupeau ! C’est un travail dur et harassant, mais si noble !! Aimez vos bêtes, protégez les autres lieu d’encaisser primes pour chaque carcasse retrouvée et militer pour l’extinction du loup. Donc, non, non et définitivement NON.
Avis favorable bien sûr il faut tenter de protéger le pastoralisme sous toutes ses formes. , le 24 mai 2025 à 10h25;Il faut aussi cesser de classer presque systématiquement les attaques sur bovins en  « indéterminé » qu’elles soient indemnisables est la moindre des choses mais quel est l’objectif que de ne pas reconnaître clairement que c’est une attaque de loup ?
défense du pastoralisme, le 24 mai 2025 à 11h05;oui, il faut tenter de sauver le pastoralisme, sous toutes ses formes, y compris par le tir, seul moyen efficace, contrairement à quelques idées reçues
Dérogations aux régulations de canis  lupus concernant les animaux d’élevage, le 24 mai 2025 à 11h44;Tout à fait favorable à un renforcement de la régulation de canis lupus pour la protection de l’élevage ovin bovin équin caprin et porcin,  notamment en plein air.  Également en prévention d’attaques pouvant survenir sur les êtres humains qui résulteraient  d’une population devenant excessive.
DEFAVORABLE, le 4 juin 2025 à 09h29;Arretons de penser que l’homme peut décider de la survie ou pas d’une espèce simplement parce que cela gène son interet économique. Il n’y a pas d’espèce nuisible c’est un non sens et cela nuit à l’équilibre général de la nature. Prenons exemple sur d’autres pays qui accepte l’évidence : il faut vivre avec la nature et accepter tout ce qui en découle.
Aider les éleveurs à faire les investissements nécessaires à leur activité en zone de présence du loup, le 4 juin 2025 à 09h30;Dans les zones géographiques où le loup n’a pas disparu, les infrastructures et itinéraires techniques de l’élevage y sont adaptées depuis toujours, les éleveurs n’ont pas, à l’installation par exemple, à investir, tout est déjà adapté. En France, après avoir vécu presque 100 ans sans loup, ces investissements et adaptations des itinéraires techniques n’ont pas été faits. Au lieu de tirer à vue, pour donner bonne conscience, montrer que l’on fait quelque chose (ici de contre-productif, toutes les études le démontrent), accompagnons nos éleveurs pour qu’une fois pour toute leur activité deviennent compatible avec la présence d’un grand prédateur indispensable à l’équilibre de notre biodiversité. Cela permettra d’économiser en gestion réparatrice des populations d’ongulés, de nos forets, de la santé même du cheptel d’élevage. Bref, au lieu de satisfaire les électeurs en faisant de grands gestes visibles mais inutiles, faisons confiance à la science et aidons les éleveurs à investir dans leur nouveau métier : élever des animaux domestiques en présence de grands prédateurs comme cela se fait dans presque tous les pays du monde.
Défavorable, le 4 juin 2025 à 09h30;Quand allons-nous cesser de jouer aux exterminateurs ? N’avons-nous pas suffisamment commis d’erreurs en voulant tout gérer ? Cessons une bonne fois pour toute la destruction de tout ce que nous ne maîtrisons pas, voire plutôt ne comprenons pas. Chaque individu a sa place et des études ont démontré que le loup, très intelligent, est capable de gérer sa population. A nous de nous organiser afin de vivre avec lui et non contre lui. D’autres l’ont fait avec succès. Ne choisissons pas la facilité d’appuyer sur la gâchette !
DEFAVORABLE, le 4 juin 2025 à 09h35;Il est largement temps que nous nous intégrions à la nature et que nous arrêtons le massacre Quel monde voulons nous laisser à nos enfants ? Les animaux ont tout autant le droit de vivre que nous et nous nous devons de resoecter le vivant,  de préserver la biodiversité et les habitats naturels
DÉFAVORABLE, le 4 juin 2025 à 09h35;Les attributions d’autorisation de tir doivent être revues et mieux fondées (une seule attaque en 12 mois ? !) elles doivent aussi tenir compte de l’état de la population de loups localement pour ne pas les fragiliser davantage. D’autres solutions existent et elles ont prouvé leur efficacité, notamment l’emploi de patous et le gardiennage.  Il faut laisser le loup trouver sa place, il participe à l’équilibre de son écosystème et c’est une espèce PROTÉGÉE !!
Avis défavorable, le 4 juin 2025 à 09h35;Le loup fait parti intégrante de la biodiversité, il est revenu de lui même sur le territoire alors que nous l’avions complétement éradiqué. C’est à nous de protéger nos élevages, les mesures existent et sont performantes.
Avis Défavorable , le 4 juin 2025 à 09h35;La biodiversité( sans laquelle  nous ne pouvons pas survivre ) disparaît toujours plus et l’on continue encore et encore à  massacrer. Le loup a un rôle  crucial et il existe des moyens et des protections éprouvées pour  cohabiter. Arrêtons de marcher sur la tête !!
Défavorable, le 4 juin 2025 à 09h36;Les arrêtés s’enchainent mais aucun bilan n’est tiré des effets des arrêtés précédents sur les dommages aux troupeaux. Ces tirs n’achètent-ils pas la paix sociale ?
AVIS DEFAVORABLE, le 4 juin 2025 à 09h36;Le loup est nécessaire aux écosystèmes. Il faut réfléchir à aider les agriculteurs à se protéger.
DEFAVORABLE, le 4 juin 2025 à 09h37;Le loup a sa place dans notre écosystèmes. L’élevage est devenu trop intensif. On ne doit pas sacrifier la biodiversité au profit d’intérêts individuels et bouleverser le frêle équilibre de la Nature. Il faut aider les éleveurs en regardant ce qui marche chez nos voisins qui ont appris la cohabitation avec ce superbe prédateur.
