opinion,sujet,checked_text
Défavorable," Consternation , le 17 juin 2023 à 16h38","Consternation . C’est absolument choquant que l’homme s’approprie d’une telle manière le droit de vie ou de mort pour les espèces vivantes. ,Je dis NON à cette liste noire qui classe certains animaux qui ne sont nuisibles que pour nous, pas pour le reste de la biodiversité.,Et puis quoi encore ???,Pourquoi vous ne faites pas de projet de loi portant sur l’habitat, sur la protection des forêts… Etc ???,Les personnes qui ont écrit cette chose sont inutiles à la société en proposant une liste pour massacrer des animaux. ,Vous perdez juste votre temps en faisant cette loi complètement hors sujet, surtout étant donné la situation aujourd’hui. ,Je vous dis au revoir, mais je ne vous salue pas. ,Signé : une ado qui se demande si quelqu’un dans le gouvernement français possède plus de trois neurones."
Défavorable," Totalement défavorable , le 17 juin 2023 à 16h38","Totalement défavorable . La surproduction intensive détruit les écosystèmes c’est un fait, les politiques agricoles depuis les années NOMBRE vont à l’encontre de ces écosystèmes pourtant essentiels à la survie de l’homme. Les politiques de copinages et de « dragues électorales » envers les chasseurs ont conduites ces derniers à se laisser aller à des pratiques contre nature de plus en plus aberrantes et délétères. Quand allonsnous arrêter cette guerre systémique contre la nature, dont, in fine, l’homme est victime autant que le rite de la nature."
Favorable," Favorable , le 17 juin 2023 à 16h38","Favorable . Pour la protection du gibier, la régulation doit se faire surtout en période de reproduction du gibier au printemps et la chasse est fermée à cette époque. »"
Favorable," Projet d’arrêté pris pour l’application de l’article R. 427-6 du code de l’environnement et fixant la liste, les périodes et les modalités de destruction des espèces susceptibles d’occasionner des dégâts, le 17 juin 2023 à 16h39","Projet d’arrêté pris pour l’application de l’article R. NOMBRE - NOMBRE du code de l’environnement et fixant la liste, les périodes et les modalités de destruction des espèces susceptibles d’occasionner des dégâts. Je soutien la demande de la FDC et Je demande le maintien de la totalité de la liste compris putois et toutes les buses , des périodes et des modalités de destruction,,actuellement en vigueur de toutes les espèces susceptibles d’occasionner des dégâts.,,"
Défavorable," Opposé à la liste ESOD, j’en demande son retrait aux motifs évoqués dans mon commentaire si dessous., le 17 juin 2023 à 16h39","Opposé à la liste ESOD, j’en demande son retrait aux motifs évoqués dans mon commentaire si dessous.. J’émets un avis défavorable à l’existence d’une liste ESOD définissant certaines espèces comme étant des êtres nuisibles et donc autorisant juridiquement les hommes à les éliminer ou à en limiter leur nombre.,Cette liste n’a pas pour objectif de garantir la santé, la protection de la flore et de la faune, de prévenir les dommages sur les activités agricoles, forestières et aquacoles ; son but est de céder au lobby de la chasse, ces individus qui n’ont rien compris au fonctionnement de la nature mais qui utilisent de façon jouissive leurs beaux joujoux destructeurs (tuer un animal avec un fusil équipé d’une lunette de visée ne demande pas beaucoup de courage et d’intelligence…) et à celui des agriculteurs (du moins, une grande majorité d’entre eux) dont les membres par leur manque de connaissance en « écologie » (au sens scientifique et non politique du terme) et leur appât du gain ont contribué à la destruction de NOMBRE des insectes, à la disparition directe ou indirecte de beaucoup d’espèces d’oiseaux, à la pollution des sols et des cours d’eau. Un bel exemple dans le département du Doubs avec la fabrication du comté… En matière de nuisance, les renards et autres animaux « nuisibles » sont des petits joueurs au regard des ces deux espèces d’individus (à noter qu’ils sont souvent les mêmes !).,Oui, je suis tout à fait opposé à l’existence de cette liste aux motifs suivants :,- Estce que les espèces citées dans la liste ESOD menacent la santé et de la sécurité publique ? NON ; si « oui » le ministère devra l’argumenter par des études scientifiques indépendantes et sérieuses…,- Assurer la protection de la flore et de la faune en éliminant des espèces ? C’est un acte paradoxal. L’homo-sapiens dit « civilisé » serait plus intelligent que la nature cependant que nous vivons dérèglement et réchauffement climatiques, destruction de la flore et de la faune ! Et alors que ce même homo-sapiens, auteur d’écocide avéré, est incapable d’apporter des solutions à ces fléaux !,- Prévenir des dommages importants aux activités agricoles, forestières et aquacoles ? Les agriculteurs sont assez grands et irresponsables pour détruire leur propre environnement. Ils n’ont pas besoin des espèces citées ! Pesticides, insecticides, herbicides, monocultures, disparition des haies, déboisement, anthropisation des espaces naturels, etc… Là aussi, ces pauvres espèces « nuisibles » ne doivent pas avoir un impact très important dans ce domaine. Je suis même persuadé que leur utilité pour le bon fonctionnement de la biodiversité est bien supérieure aux dégâts qu’elles peuvent occasionner !,- Quant à la prévention de dommages importants à d’autres formes de propriété ? Historiquement ces espèces apparues bien, bien avant « l’homme moderne » ne seraient pas chez elles ? Nous les avons dépossédées de leur territoire et comme elles cherchent à retrouver celui-ci, nous nous octroyons le droit de les éliminer ! Le moins que l’on puisse faire, serait d’accepter de partager cet environnement qui nous est de facto commun (ceci dit, nous ne leur avons pas demandé leur avis, nous nous sommes imposés)…,Signé : un amoureux de la nature, non opposé au progrès, mais sensible à l’environnement dans lequel il vit et soucieux du respect du vivant…"
Défavorable," Pour qui vous prenez vous ?, le 17 juin 2023 à 16h37","Pour qui vous prenez vous ?. Cette consultation est une absurdité, elle fait croire que nous avons le droit de détruire. Alors que les états du monde entier ont un discours de protection envers la biodiversité, l’état français propose de réguler des espèces ""nuisibles"", mais nuisibles pour qui ? A l’échelle de l’environnement, ce ne sont pas ces quelques oiseaux et petits mammifères qui mettent en péril la planète ou la société, soyons sérieux ! Et l’homme est suffisamment intelligent pour adapter ses pratiques à leur présence non ? Abandonnez ce projet !,N. Andrė"
Favorable," Agriculteur ras le bol des dégâts , le 17 juin 2023 à 16h41","Agriculteur ras le bol des dégâts . Des surfaces de maïs, tournesol, soja et pois détruites par les pigeons et corvidés. Malgré l’utilisation d’effaroucheurs et de canons sonores ces oiseaux viennent prélever chaque jour notre gagne pain. Imaginez NOMBRE a NOMBRE graines consommés par jour et par individu. Avec une densité de semis de NOMBRE graines ha si vous avez NOMBRE corbeaux, votre hectare est mangé en NOMBRE jours soit NOMBRE euros de perte. Je suis favorable à l’arrête par nécessité et non par lobbyisme. Les agriculteurs devraient pouvoir les réguler sans autorisation, sans formalités administratives pour défendre leur récolte et leur revenu."
Défavorable," espèces susceptibles d’occasionner des dégâts, le 17 juin 2023 à 16h40","espèces susceptibles d’occasionner des dégâts. Je suis contre ce projet. Beaucoup d’espèces sont considérées comme des nuisibles (renards, geai des chênes…) alors qu’ils sont tous utiles.,Estce qu’on régule l’être humain qui est le plus gros destructeur de tous les temps? l’l est en train de s’auto-détruire en sachant mais en ne faisant pas grand chose à part défendre quelques poches très pleines."
Défavorable," Non au classement et à la destruction d’espèces jugées nuisibles qui ne le sont pas autant que les humains !, le 17 juin 2023 à 16h40","Non au classement et à la destruction d’espèces jugées nuisibles qui ne le sont pas autant que les humains !. Dans ma région (Franche Comté) ou ailleurs en France, je m’oppose vigoureusement à l’application de ce texte qui n’a pas de fondement scientifique.,A l’heure de la NOMBRE extinction de masse des espèces, il est irresponsable d’encourager la destruction d’êtres vivants qui sont des espèces clé des écosystèmes (voir travaux sur la présence des Renard et la contamination des tiques par la Borrelia, un exemple parmi tant d’autres)."
Défavorable," Présumés coupable, le 17 juin 2023 à 16h39","Présumés coupable. Je ne comprends pas cet acharnement à détruire (ou limiter) ces espèces dites nuisibles.,Elles font partie de la vie sur nos territoires, comme les autres.,Et y jouent aussi un rôle, par exemple en régulant les populations de petits rongeurs qui causent des dégradations dans les cultures.,Il appartient à chacun, éleveur, agriculteur ou particulier, de protéger son territoire contre les prédateurs qui s’y introduisent. ,Mais cela ne veut pas dire par destruction, il y a d’autres moyens de protection.,Il faut en particulier interdire le déterrage pour les renards.,Et laisser vivre ce qui reste de vie sauvage autour de nous …"
Défavorable," Avis défavorable, le 17 juin 2023 à 16h40","Avis défavorable. Il manque des données fiables sur la réalité des dommages . ,L’ état réel des populations des Esod est mal connu.,Ces espèces jouent un rôle dans le fonctionnement des écosystèmes naturels .,Ils sont des auxiliaires des activités agricoles et forestières, les oiseaux participant à la régénération de la végétation en dispersant les graines.,Il existe des alternatives à la destruction des Esod, comme l’enfouissement plus profond des semences et une meilleure stratification du paysage rural."
Défavorable," Non à la destruction des animaux, le 17 juin 2023 à 22h39","Non à la destruction des animaux. Je m’oppose fortement à cette stupidité d’éliminer les animaux ""dits nuisibles""…,Alors que nous traversons un écocide, il est anormal de participer à un animalisme en plus,NON NON NON à ce classement ESOD qui est un drame pour la biodiversité très malmenée."
Défavorable," Non, le 17 juin 2023 à 22h42","Non. Cessons de détruire la biodiversité, nous devons changer de modèle économique, arrêter la monoculture et produire des espèces adaptées aux enjeux d’aujourd’hui et encore plus de demain."
Défavorable," Contre, le 17 juin 2023 à 22h44","Contre. Arrêtez de massacrer la nature et la biodiversité.,,Arrêtez de gaspiller nos ressources dans des combats très l’oins des enjeux de notre époque.,,Arrêtez de laisser croire que les lobbies et les intérêts économiques de certains viendront améliorer la situation de notre pays."
Défavorable," Nuisible ? , le 17 juin 2023 à 22h44","Nuisible ? . Comment en NOMBRE pouvons nous encore classer des animaux ""nuisibles"",En Franche-Comté, la population de renard à chuté de NOMBRE suite à une maladie ""gale"" et on vient encore le classer nuisible.,Et qui va tuer les renards ? Les chasseurs ! Sans aucune aucune gestion et suivi de la population.,Il est temps d’avancer pour la biodiversité et non le contraire.,Je suis ancien chasseur, oui ancien car dans la vie on se doit évoluer tout comme les lois.,Cordialement"
Défavorable," Longue vie aux rats taupiers !, le 17 juin 2023 à 22h46",Longue vie aux rats taupiers !. La destruction des renards et autres prédateurs naturels des rats taupiers est une des causes de leur prolifération. Il ne faut pas pleurnicher ensuite sur la destinations pâturages.
Défavorable," Stop, le 17 juin 2023 à 22h48","Stop. Bonjour, j’habite en Beauce, nos champs sont vides. Vidés des oiseaux, des renards et plus généralement de toute vie sauvage. Même les chasseurs s’en plaignent…… Il est temps d’arrêter de détruire notre environnement au nom des cultures, élevage et néo ruraux qui découvre la campagne."
Défavorable," arreter le massacre, le 17 juin 2023 à 22h48","arrêter le massacre. la france est la patrie des droits de l homme et l homme ne peut vivre sans la nature et l animal ,,face a sa politique autorisant cette tuerie de masse face a des animaux soit disant nuisibles ( selon les lobby de Chasse ) elle est à contre courant de la lutte pour la bio diversité et ce décret et ceux qui l ont mis rédigé resteront dans l histoire comme ceux qui ont permis une des plus grande erreur du NOMBRE siècle et se seront laisser manipuler par différents lobby….,les scientifiques démontrent régulièrement l’utilité de ces animaux de part leur participation à la chaîne alimentaire et l équilibre naturel deja bien mis à mal par l homme,…,triste aveuglement"
Défavorable," CONTRE, le 17 juin 2023 à 22h48",CONTRE. Je m’oppose à la destruction de la petite faune régulatrice de nos campagnes
Défavorable," Méthode de classement à revoir, le 17 juin 2023 à 22h49","Méthode de classement à revoir. Il n’est pas acceptable que les classements en espèces nuisibles se basent sur les données invérifiables et biaisées des chasseurs. Si ESOD il doit y avoir (pas sûr !), au moins que les décisions se basent sur des statistiques de dégâts, des inventaires faunistiques et des études d’impact effectués par des spécialistes du service public. ,Si le service public est démuni (budget…), qu’il s’appuie donc sur les évaluations de toutes les parties prenantes et pas seulement sur celles de la petite minorité des chasseurs."
Défavorable," Espèces menacées , le 17 juin 2023 à 15h54","Espèces menacées . Je suis très inquiète et farouchement opposée à cette liste d’espèces soit-disant nuisibles. Tous les animaux ont le droit de vivre et même si l’on constate de temps en temps des nuisances occasionnés par ces animaux, il existe d’autres moyens de réduire ces dégâts que de les tuer ! ,Il faut s’appuyer sur des données scientifiques fiables et récentes et mettre tout en œuvre pour que les humains tolèrent mieux le reste du monde vivant. En région Bourgogne où je vis, je constate comme ailleurs, la diminution importante des oiseaux et renards pourtant très utiles dans la chaîne alimentaire."
Défavorable," Non à cette liste, le 17 juin 2023 à 15h55","Non à cette liste. Chaque espèce sur Terre mérite le respect et joue un rôle important dans l’équilibre de son écosystème. L’homme veut s’imposer en grand dominant de la nature. Mais à l’heure de la 6ème extinction de masse, il n’est plus d’actualité de détruite, tuer, chasser. L’homme devrait protéger toutes espèces vivantes pour la seule raison, qu’il est lui même une espèce, et qu’aucune espèce ne survit sans son écosystème vivant.,Stoppons le massacre !,Nous n’étions pas informés, encore il y a quelques années. Mais aujourd’hui, qui peut affirmer qu’il n’est pas au courant de l’extinction massive en cours.,Cette liste est juste une aberration."
Défavorable," Non à ce projet destructeur de la nature !, le 17 juin 2023 à 15h55","Non à ce projet destructeur de la nature !. Je suis totalement opposée à ce projet basé sur des arguments mensongers : non ! ces animaux ne sont absolument pas nuisibles, mais au contraire indispensables pour préserver la biodiversité. Je vis dans une région viticole et ce sont les pesticides largement utilisés qui sont nuisibles pour la santé de tous les êtres vivants (humains compris !). Stop à la destruction programmée de la nature ! Stop aux mensonges servant les intérêts de certains au détriment de tous !"
Défavorable," Changer de regard sur les animaux et développer les méthodes alternatives à l’abattage, le 17 juin 2023 à 15h56","Changer de regard sur les animaux et développer les méthodes alternatives à l’abattage. Monsieur le ministre,,,Nous partageons la terre avec les animaux. Tant qu’ils ne menacent pas notre survie, au nom de quoi nous permettons nous de les tuer ou d’autoriser certaines personnes à le faire ? C’est particulièrement choquant quand la motivation est de ""protéger"" un gibier destiné au final à être tué pour satisfaire la plaisir que certains prennent à tirer sur des animaux.,,Beaucoup d’études montrent aussi que ces animaux considérés comme ""nuisibles"" - même si le terme a changé pour une formulation plus édulcorée, la signification reste le même - ont un rôle important pour préserver l’équilibre des écosystèmes.,,Il existe des alternatives à l’abattage de ces animaux, des expériences l’ont montré. Plutôt que de l’autoriser à nouveau pour une longue liste d’espèces, je vous prie de rendre obligatoire le développement des méthodes alternatives qui ont fait leur preuve.,,Comptant sur votre engagement à aller vers des pratiques à l’égard des animaux plus dignes de notre société qui se dit civilisée.,,Denis Prost"
Favorable," Un vieux  chasseur (écolo), le 17 juin 2023 à 15h57","Un vieux chasseur (écolo). Je suis pour ce projet de loi concernant la régulation , par l’homme , des animaux classés ESOD de deuxième catégorie. Ces espèces n’ont plus de prédateurs et leur surnombre dans certain cas devient inquiétant pour la survie d’autres espèces.,Je profite de cet occasion pour demander le classement ESOD des chats errants."
Défavorable," Non à la destruction, d’autres solutions sont possibles, le 17 juin 2023 à 15h57","Non à la destruction, d’autres solutions sont possibles. Des solutions alternatives à la destruction existent et ne sont presque jamais mises en œuvre. Il est ainsi possible de concilier la présence de corvidés et les pratiques agricoles : enfouissement plus profond des semences, meilleure stratification du paysage rural (haies, structures boisées, perchoirs naturels pour rapaces, effarouchement…). Des solutions efficaces existent aussi pour limiter la prédation sur les volailles d’élevage (grillage à mailles étroites suffisamment haut et profondément ancré dans le sol, répulsifs, surveillance…)."
Défavorable," Que dit la science ? , le 17 juin 2023 à 15h52","Que dit la science ? . Une consultation publique ne peut pas décider de la vie ou de la mort d’un être vivant de la même manière qu’on fait pas justice soi même.,Laissez répondre la science (les écologues, biologistes, etc…) à ces questions."
Défavorable," Non à l’arrêté permettant le piégage des animaux sauvages, le 17 juin 2023 à 15h57","Non à l’arrêté permettant le piégeage des animaux sauvages. Le projet d’arrêté, révélé ce NOMBRE juin, est soumis à consultation publique jusqu’au NOMBRE juillet NOMBRE . S’il est adopté tel quel, il permettra aux chasseurs et piégeurs de continuer à massacrer des millions d’animaux sauvages quasiment toute l’année et sans limite de nombre dans tous les départements où s’appliquera le texte…,NOMBRE des Français se disent pourtant opposés au classement des espèces “nuisibles”, selon le sondage IFOP commandé par nos associations le mois dernier, et NOMBRE n’approuvent pas la méthode utilisée pour établir ce classement… Alors que tous les efforts devraient se concentrer dans la lutte contre le dérèglement climatique et l’effondrement de la biodiversité – deux crises planétaires intimement liées et générées par les activités humaines – nos gouvernants préfèrent hélas céder une fois de plus aux seuls intérêts des puissants lobbies de la chasse et de l’agriculture intensive, en portant davantage atteinte à la vie sauvage !,,IL EST DONC URGENT DE DIRE NON à cette hérésie sans queue ni tête, qui ne prend aucunement en compte la place essentielle occupée par tous ces animaux dans les écosystèmes, tout en faisant l’impasse sur les mesures alternatives à la destruction, dont l’efficacité est pourtant largement démontrée !"
Défavorable," Contre une liste des nuisibles , le 17 juin 2023 à 15h58",Contre une liste des nuisibles . Pour la majorité de la population ceux sont les chasseurs les nuisibles Cette liste sans référence scientifique n’a aucune légitimité La régulation est un prétexte contredit par la réalité du terrain
Défavorable," Non a cet arrêté , le 17 juin 2023 à 15h59",Non a cet arrêté . La nature se régule toute seul. Seul les profits de l homme la défi.
Favorable," Projet ESOD?
Peut mieux faire, le 17 juin 2023 à 15h59","Peut mieux faire. Ce projet a au moins le mérite d’exister.,Il est néanmoins notoirement insuffisant. Trop de complexité dans la mise en œuvre et absence de prise en compte de certaines espèces tout aussi nuisibles.,Putois et blaireaux méritent aussi une politique de régulation sérieuse. Quand s’attaquera ton au problème pour en limiter la multiplication?,,Ne laissons pas les citadins imposer leur ignorance de la vie sauvage juste pour se donner bonne conscience et suivre la vague écolo si facile à enfourcher sans raison ni connaissance…,Alors oui à une liste ESOD raisonnablement ciblée et encore élargie…"
Défavorable," Contre ce projet, le 17 juin 2023 à 15h59",Contre ce projet. Non aux massacres d’animaux sauvages . Les espèces mentionnées jouent toutes un rôle indispensable dans le fonctionnement des écosystèmes naturels
Défavorable," Non au maintien de la destruction d’espèces considérées comme susceptibles d’occasionner des dégâts, le 17 juin 2023 à 16h00","Non au maintien de la destruction d’espèces considérées comme susceptibles d’occasionner des dégâts. Je m’oppose de manière générale à la destruction illimitée d’espèces animales autochtones. En plus d’être inutiles, ces abattages portent atteinte aux équilibres écosystémiques et sont à l’origine de souffrances eu égard aux modes d’abattage et aux périodes d’abattage autorisées (pièges non sélectifs et mutilants, déterrage pour le renard, abattage en période d’élevage des jeunes, etc.).,,Concernant ce projet en particulier, je demande a minima :,, l’interdiction du déterrage du renard à l’échelle nationale ;, la reconnaissance du rôle bénéfique de toutes les espèces dans les écosystèmes et vis-à-vis des activités humaines ;, une refonte de la procédure de classement qui est une instruction à charge menée par les chasseurs et dont les données sont invérifiables ;, l’interdiction de tuer ces espèces pour satisfaire les intérêts liés à la chasse ;, la mise en œuvre obligatoire de méthodes alternatives à la destruction pour toutes les espèces, , un zonage par espèce prenant en compte les dégâts constatés et la présence d’exploitations agricoles, et l’interdiction de tuer ces espèces en dehors des activités sensibles à leur présence."
Défavorable," Non pour la destruction de vie animale inocente, le 17 juin 2023 à 16h01","Non pour la destruction de vie animale innocente. Non au massacre de Corneille de corbeaux freux, de pie bavarde, de vrai des chêne, de renard , de marge, d’étourneaux, et pour tous les animaux, ils ont aussi le droit de vivre, donc stop, merci."
Favorable," Eau et biodiversite , le 17 juin 2023 à 15h58","Eau et biodiversité . Aucune espèce animale n’est nuisible, c’est sa surdensité qui la rend ”nuisible ” La surpopulation de martres a un effet désastreux sur les écureuils, les nichées d oiseaux, les lapereaux, les levrauts et bien d autres animaux La surpopulation de pies , de corneilles, nuit grandement aux nichées en prélevant les œufs . Elles attaquent les levrauts et lapereaux en leur crevant d abord les yeux . Pour le renard , le constat est sans appel : il s en prend à toute la petite faune sauvage ou domestique et en plus , peut transmettre à l homme une maladie incurable !! A mes yeux , il a une seule qualité : croquer les chats qui vagabondent toutes les nuits et dévorent beaucoup de petits animaux. ,En conséquence, cet arrêté reste plus qu ’ indispensable."
Défavorable," avis défavorable à la classification des ""ESOD "" et au sort qui leur est réservé., le 17 juin 2023 à 16h03","avis défavorable à la classification des ""ESOD "" et au sort qui leur est réservé.. Nous devons vivre avec toutes les espèces (qui s’auto-régulent très bien) et non sans. Je suis contre le fait qu’on se place comme seule espèce ayant le droit de vie et de mort sur les autres. Plein de choses sont possibles pour vivre ensemble, l’extermination est un non sens."
Défavorable," Refus de cet arrêté , le 17 juin 2023 à 16h02","Refus de cet arrêté . Non à ce classement arbitraire des animaux nuisibles. Les arguments à traits à la préservation de la faune permise grâce à la destruction de ces “nuisibles” sont mensongers. Cet arrêté n’est établi que pour protéger les cultures agricoles et avicoles et aucunement la faune, qui n’a évidemment pas besoin de l’homme pour se réguler."
Défavorable," espèces en danger, le 17 juin 2023 à 16h02","espèces en danger. Tous les animaux sont plus ou moins utiles dans la nature mais tous ensembles ,ils forment une grande chaîne que les humains ne doivent pas casser ! Stop à la destructions espèces intraduisible…..sachons que l’espèce la plus nuisible à la vie de la nature est : l’humain !!!!!!"
Défavorable," Avoir juste un autre regard , le 17 juin 2023 à 16h01","Avoir juste un autre regard . Pourriezvous avoir l’espace d’un instant juste un autre regard que celui d’un humain qui s’estime supérieur aux autres espèces animales et végétales et qui, sous couvert de la protection des populations, a droit de vie ou de mort sur la biodiversité qui nous entoure… Quand cesserezvous de penser et d’agir comme si vous étiez les maîtres du monde que rien ne peut arrêter… Laissons faire la nature, arrêtons ce massacre, respectons ces êtres vivants qui ont autant le droit de vivre comme nous…"
Défavorable," Consultation publique sur la liste des esod, le 17 juin 2023 à 16h02","Consultation publique sur la liste des esod. Non à la destruction de ces espèces sauvages au seul profit et plaisir des chasseurs. ,Arrêtons les lobbies de la chasse et protégeons enfin la faune pour les générations futures. Nous sommes en NOMBRE . Arrêtons ces pratiques d un autre temps et apprenons à protéger le Vivant. Seul l humain est nuisible pour la Nature et la biodiversité…."
Défavorable," Contre cette liste , le 17 juin 2023 à 22h50","Contre cette liste . C’est une aberration de continuer dans cette voie alors que la biodiversité se meurt. ,La destruction de ces espèces ne repose sur aucune vérité scientifique. ,Chaque espèce est bénéfique au milieu qu’elle occupe. ,La destruction sans réel contrôle ne vise qu’à satisfaire un loisir mortifère d’une autre époque. ,Je suis contre une telle liste et pour que vivent ces espèces. ,D’autres solutions existent."
Défavorable," ESOD, le 17 juin 2023 à 22h53",ESOD. Non à cet arrêté qui ne contribue pas à sauver la biodiversité dans un contexte d’effondrement de celle-ci.Nos pratiques de cultures et d’élevage aviaires doivent intégrer notre responsabilité sur le maintien du vivant qui nous entoure.
Favorable," Favorable, le 17 juin 2023 à 18h12","Favorable. Avis très favorable à ce projet d’arrêté.,,Il est indispensable de maîtriser les populations de certaines espèces qui se développent trop aux détriments d’autres qui sont fragilisées par le changement climatique, c’est une question de bon sens !,,C’est nécessaire aussi pour protéger notre agriculture et maîtriser les dégâts afin qu’ils gardent une proportion raisonnable.,,Écoutons les gens qui vivent réellement au contact de la nature et qui y participent activement et qui sont bien sur pour cet arrêté. N’écoutons surtout pas les avis de ceux qui ont une vision idéologique complètement fausse qui s’opposent par principe sans réfléchir un instant !"
Défavorable," Non au projet d arrêté , le 17 juin 2023 à 18h12",Non au projet d arrêté . Pourquoi classerait on certaines espèces en nuisibles ou esod? Et l’homme moderne? N’est il pas nuisible à la biodiversité ? Pourquoi s’effondre t elle?
Défavorable," Je suis contre !, le 17 juin 2023 à 18h13","Je suis contre !. cette hérésie sans queue ni tête, ne prend aucunement en compte la place essentielle occupée par tous ces animaux dans les écosystèmes, tout en faisant l’impasse sur les mesures alternatives à la destruction, dont l’efficacité n’a plus besoin d’être démontrée !"
