sujet;checked_text;opinion
CONTRE, le 16 novembre 2023 à 10h32;CONTRE. Un Plan National d’Actions est fait pour préserver les populations d’espèce protégée à forte valeur patrimoniale. Se servir de cet outil pour proposer plus de destructions de l’espèce en question, voir un déclassement de son statut d’espèce protégée, est complètement antinomique. Le rôle des grands prédateurs est essentiel pour nos écosystèmes. De meilleures mesures de protection des troupeaux, ce qui passe notamment par la réduction de leur taille pour un meilleur suivi, seraient à prévoir dans ce type de plan pour favoriser la cohabitation plutôt que de décider d’éliminer tout ce qui peut poser problème.;Défavorable
Défavorable, le 16 novembre 2023 à 10h00;Défavorable. Un Plan National d’Action ne doit pas inclure des prescriptions de destructions, ceci va à l’encontre d ale nature d’un PNA. Le loup cohabite avec les éleveurs de dizaines et dizaines pays du monde. Les éleveurs français, de par l’éradication du loup encore récente, n’ont pas apprit à vivre avec ce risque et ne respecte donc aucune mesure de protection des troupeaux qu’ils jugent contraignantes. Beaucoup de solutions existes pour abaisser drastiquement le taux de prédations des meutes sur les troupeaux. Au lieu de vouloir une nouvelle fois éradiquer le loup, pourquoi ne pas réintroduire des grands herbivores qui étaient présent encore il y a peu de temps en France (élan, bison, …) ? Les meutes de loups auraient alors autre chose à se mettre sous la dent que les troupeaux et cela permettrait un retour de la biodiversité intéressant. Pour ceux qui pense que le loup et les super prédateur en général n’ont aucune utilité, je vous conseil de vous documenter sur le cas de la réintroduction dans le parc naturel de Sémite par exemple.;Défavorable
Plan loup 2024-2029 : le loup, essentiel aux écosystèmes, le 16 novembre 2023 à 09h51;"Plan loup NOMBRE - NOMBRE : le loup, essentiel aux écosystèmes. Le loup comme tout superprédateur est un maillon clé des chaînes trophiques. Il est aberrant de vouloir ""prélever"" (terme politiquement correcte pour ne pas écrire ""tuer"") une espèce protégée ayant un intérêt aussi fort. D’autant plus que partout où les populations de loup sont grandes et bien portante et l’élevage développé, la cohabitation se passe sans problème puisque les éleveurs surveillent réellement leurs troupeaux et ne se contentent pas de jeter des centaines de brebis dans un endroit. Les bergers des siècles précédents ont toujours cohabité avec le loup et ont développé des méthodes et sélectionné des chiens pour garder et surveiller le troupeau. Je suis pour la sauvegarde du loup et l’arrêt des massacres. Il faut aussi prendre en compte qu’une population de prédateurs bien établie c’est l’arrêt des besoins de régulation de certaines espèces (la notion de chaîne trophique revient) et donc la fin des accidents de chasse, des excès de certains chasseurs en termes de violence et de terreur et un partage plus juste des espaces. Le loup permettrait de faire revenir la chasse à son origine : sa fonction nourricière. Le loup c’est plusieurs problèmes écologiques réglés et ceci est aussi valable pour le lynx et l’ours. La réintroduction de grands herbivores sauvages est aussi un facteur essentiel.";Défavorable
Avis favorable le 16.11.2023, le 16 novembre 2023 à 08h43;Avis favorable le NOMBRE .2023. Le dénombrement d’une espèce sauvage n’est qu’un leurre qui satisfait sans doute les politiques. Le seul protocole qui vaille est celui des impacts causés par l’espèce. En l’occurrence impacts sur les élevages, sur les finances des collectivités, de l’État, des éleveurs et impacts indirects sur les jeunes peuplements forestiers. Ces suivis sont valables pour toutes les espèces sauvages compris le loup quelque soit son statut. Avec NOMBRE d’attaques supplémentaires et NOMBRE animaux indemnisés en NOMBRE auxquels il faut ajouter les dégâts collatéraux… animaux disparus, blessés, avortements Ne pas oublier non plus les investissements en protections consentis par les éleveurs-agriculteurs, les heures et les nuits de surveillance… En conséquence je suis favorable à la facilitation et à une hausse des prélèvements afin de revenir au niveau de prédation de NOMBRE - NOMBRE tout en approuvant une extension géographique du loup qui va diluer les dégâts dans des territoires plus vastes. Cette extension raisonnable du loup est favorable à la réduction des cervidés et bovidés sauvages notamment en période hivernale. Les forestiers ne peuvent que s’en réjouir tout en affirmant leur solidarité rurale avec le monde agricole.;Favorable
Quel bilan des politiques actuelles?, le 16 novembre 2023 à 09h58;Quel bilan des politiques actuelles?. Le CNPN demande à ce que des analyses plus poussées soient faites de l’efficacité des politiques de gestion du loup. Si le nombre d’attaques augmente, ce n’est pas forcément parce que le nombre de loups augmente, mais peut-être aussi parce que les mesures mises en place sont inefficaces. La hausse des déclarations de prédations n’impliquent pas nécessairement que les dégâts soient toujours imputables aux loups. Avec l’arrivée de néo-ruraux dans les campagnes qui n’envisagent pas leur animal de compagnie comme un prédateur potentiel, les attaques de chiens sur les animaux d’élevage se multiplient. L’État est alors un interlocuteur bien pratique pour compenser les pertes. Un bilan des politiques actuelles basé sur des analyses fines des données semble indispensable avant d’envisager une évolution des réglementations.;Défavorable
Avis défavorable , le 24 novembre 2023 à 20h01;Avis défavorable . Avis défavorable, tout comme le Conseil National de Protection de la Nature, je suis contre ce plan. Merci de bien vouloir permettre à la biodiversité de perdurer.;Défavorable
NON, le 24 novembre 2023 à 19h55;NON. Non à l’augmentation des tirs létaux .;Défavorable
NON AU PROJET , le 24 novembre 2023 à 19h57;NON AU PROJET . Laissons vivre les loups, et protégeons plutôt les moutons de leurs attaques, comme de celles des chiens !;Défavorable
Laissez vivre le loup , le 24 novembre 2023 à 19h58;Laissez vivre le loup . Le loup fait partie des écosystèmes. Ce n’est pas une espèce nuisible.;Défavorable
NON à ce plan loups, le 24 novembre 2023 à 19h59;NON à ce plan loups. Où est la protection des loups, où est le soutien au petit élevage : nulle part ! Encore une porte grande ouverte à l’industrialisation de l’agriculture et aux chasseurs ! Oui à la cohabitation pour maintenir l’équilibre des milieux naturels !;Défavorable
Non à ce plan , le 24 novembre 2023 à 20h00;Non à ce plan . Il faut arrêter de continuer ce massacre des loups. Ils sont essentiels dans l’écosystème. Laissons un peu tranquille la nature. Ils doivent déjà vivre en cohabitation avec nous qui détruisons tout.;Défavorable
Pour que vivent les loups, le 24 novembre 2023 à 20h01;Pour que vivent les loups. Suivons l’exemple du Canada et des bienfaits de la ré-introduction des loups dans le parc de Yellowstone;Défavorable
NON, le 24 novembre 2023 à 20h01;NON. Le développement durable ne passe pas par l’extinction des espèces.;Défavorable
Non Non et encore Non au Plan d’action sur le loup. Quel ineptie !, le 24 novembre 2023 à 20h18;Non Non et encore Non au Plan d’action sur le loup. Quel ineptie !. Je réfute totalement ce plan inique. Nous sommes en NOMBRE , il est tant de changer les choses pour sauver notre planète et ses êtres exceptionnels.;Défavorable
Non, toujours non !!! , le 24 novembre 2023 à 20h06;"Non, toujours non !!! . Les loups ont leur place dans l’écosystème ! Si l’être humain pouvait ne plus s’en occuper, le loup fera l’équilibre parfait ! C’est un non sens absolu de vouloir les ""réguler"" ! C’est l’humain qu’il faut réguler a tout prix !!!";Défavorable
Protégeons les troupeaux plutôt que tirer sur les loups, comme font tous les pays civilisés., le 24 novembre 2023 à 20h07;Protégeons les troupeaux plutôt que tirer sur les loups, comme font tous les pays civilisés.. Protégeons les troupeaux plutôt que tirer sur les loups, comme font tous les pays civilisés.;Défavorable
Non au plan Loup , le 24 novembre 2023 à 20h10;Non au plan Loup . Quand arrêterez vous le massacre, le saccage. Que direz vous à vos enfants quand la terre sera devenue un champ de ruine ? Que vous ne saviez pas ? Mais VOUS savez !! Tous les spécialistes, les scientifiques et les protecteurs de la Faune et la Flore le vous le crient depuis des années. Vous êtes des inconscients, des manipulateurs manipulés, des assassins.;Défavorable
Soutien aux éleveurs , le 24 novembre 2023 à 20h14;Soutien aux éleveurs . Je donne un avis favorable pour ce projet et apporter mon soutien à tous les éleveurs qui exercent leur métier avec passion jour après jour.;Favorable
Non aux tirs de loups., le 24 novembre 2023 à 20h14;"Non aux tirs de loups.. Les tirs ont commencé en NOMBRE avec NOMBRE loups …depuis le nombre augmente et les "" soucis"" avec certains éleveurs sont toujours les mêmes… Pourquoi certains parviennent à élever leur troupeau sans attaque et d’autres non ! Tous les rapports montrent que les tirs ne sont pas une solution. Le loup a son utilité dans la nature. S’il a réinvesti nos montagnes et nos forets c’est que celles ci sont saines, alors laissons les vivre, ils se régulent et gèrent la faune sauvage. Cela est bien plus naturel et viable que les soient distantes régulations des chasseurs. Laissons notre faune sauvage vivre tranquille c’est le seul lien avec le sauvage qui nous reste sachant que la pression humaine est de plus en plus importante. Aidez plus fortement les éleveurs qui ont besoin mais laissez le loup vivre et gérer notre nature.";Défavorable
Non au plan loup, le 24 novembre 2023 à 20h16;Non au plan loup. L’espèce est revenue naturellement, il faut la laisser vivre et se développer. Des aménagements sont possibles pour les professionnels du pastoralisme et les particuliers, cela se fait dans beaucoup d’autres pays comme l’Italie;Défavorable
Honteux, le 24 novembre 2023 à 19h53;Honteux. Laissez les vivre. Les loups sont nécessaires pour réguler les espèces. Nous avons besoin d eux plus que eux de nous. Respectez-les et laissez-les VIVRE.;Défavorable
NON  au massacre des loups, le 24 novembre 2023 à 20h22;NON au massacre des loups. Que les troupeaux des bergers soient protégés correctement comme dans les autres pays européens. Les loups sont nécessaire… Ils aident à réguler intelligemment le trop d chevreuil et autres. Les déséquilibres sont toujours dus aux interventions humaines ! Arrêtons de massacrer et de faire plaisir aux lobbys qui se moquent de ce qu’il va rester de cette terre aux enfants à venir….. Que l’avenir ne soit pas l’enfer !;Défavorable
Non Non et encore Non au Plan d’action sur le loup , le 24 novembre 2023 à 20h02;Non Non et encore Non au Plan d’action sur le loup . Je réfute totalement ce plan inique.;Défavorable
Les loups, le 24 novembre 2023 à 19h51;Les loups. Les loups ont toutes leur place dans notre écosystème, si on veut bien leur accorder un peu d intérêt;Défavorable
Contre le plan , le 24 novembre 2023 à 19h55;Contre le plan . Je suis contre ce plan qui me paraît insuffisant et ne considère pas la fragilité et la pérennisation du loup en France. Les solutions pour concilier pastoralisme et préservation de l’espèce loup sont très insuffisantes;Défavorable
Non au plan Loup du gouvernement, le 26 novembre 2023 à 22h25;"Non au plan Loup du gouvernement. Alors que la biodiversité s’effondre et malgré les beaux discours du gouvernement et du chef de l’état sur le sujet, le ""en même temps"" frappe encore. Stop. Les loups sont utiles. Le rôle de ces derniers est bien connu. Ils sont capables de redonner souffle à une biodiversité locale. Aidons le loup en aidant les agriculteurs à se protéger des éventuels dégâts. Des solutions existe, il faut les financer et les mettre en œuvre. Stop au massacre.";Défavorable
l’Homme, cet animal social, disait Aristote….??, le 26 novembre 2023 à 09h24;l’Homme, cet animal social, disait Aristote….??. L’homme, ce super super prédateur veut toujours tout réguler, contrôler, maitriser…c’est triste et fatigant ! TOUT VIVANT A UNE PLACE UTILE POUR TOUS.;Défavorable
Non à l’abattage des loups, le 26 novembre 2023 à 09h25;Non à l’abattage des loups. La faune sauvage, et particulièrement les grands prédateurs, ont un rôle important dans la régulation de toutes les espèces. Nous ne pouvons pas nous arrêter au seul angle du pastorales.;Défavorable
Un projet rétrograde , le 26 novembre 2023 à 09h26;"Un projet rétrograde . Écoutez les scientifiques et pas les lobbies ! La biodiversité doit être respectée (elle est garante de notre propre survie), le loup en France en fait pleinement partie. NON à ce ""plan loup"".";Défavorable
N’importe quoi ce plan, le 26 novembre 2023 à 09h29;N’importe quoi ce plan. Quand allons nous arrêter de tuer la biodiversité et quand allons nous enfin réussir à cohabiter avec nos voisins les animaux ? NON à ce plan d’abattage des loups.;Défavorable
Les loups ont une importance trop grande , le 26 novembre 2023 à 09h31;Les loups ont une importance trop grande . Les loups ont une place en ce monde, ils font parti de notre biodiversité, vous voulez détruire cela ? Se serait un acte criminel. Non à l’abattage des loups !;Défavorable
Non, le 26 novembre 2023 à 09h57;Non. C’est honteux, non à cette absurdité Arrêtez de vouloir régir la nature;Défavorable
Non au plan d’action loup , le 26 novembre 2023 à 09h32;Non au plan d’action loup . Le loup est en éléments essentiel de l’écosystème. Il régule la population de cervidés et protège ainsi la forêt. En tirant le loup, vous désorganisez la meute et augmenter alors le problème avec des loups isolés qui ne peuvent chasser en groupe et s’attaquent alors au bétail. Ce projet de plan est un total contresens ! De plus, il est totalement scandaleux de déclasser le loup qui est toujours considéré comme une espèce menacée en France par l’UICN. Je suis contre ce plan !;Défavorable
Défavorable à cette modification , le 26 novembre 2023 à 09h35;Défavorable à cette modification . Après tout les efforts fait ces dernières années pour rétablir cette espèce nécessaire à l’écosystème français, vous voudriez faire marche arrière et tout ruiner. C’est une mesure sans appuies scientifiques que vous tentez de passer, qui va nous faire perdre du temps et de l’argent dans la sauvegarde de nos territoires. Il est urgent d’arrêter de prendre des mesures sans études d’impacts au préalable car il en va de l’avenir de notre pays. Que diront les générations futures de votre politique précipitée ? Avezvous ne seraitce que consulté les instituts et associations compétents dans le domaine avant d’écrire par soucis d’objectivité ?;Défavorable
CHOQUANT, le 26 novembre 2023 à 23h47;CHOQUANT. Les loups, gardiens silencieux des forêts, témoins ancestraux de la nature sauvage, sont menacés par la main de l’homme. Leurs hurlements sont des échos de l’équilibre écologique que nous détruisons. Chaque coup porté à leur meute est une cicatrice dans le tissu fragile de notre monde naturel. Leur sang sur nos mains devrait peser lourd sur la conscience de ceux qui prétendent protéger notre environnement. Réveillonsnous, avant que les bois ne demeurent silencieux à jamais.;Défavorable
Contre l’abattage des loups., le 26 novembre 2023 à 23h37;Contre l’abattage des loups.. Bonjour. Ayant pris connaissance de cette consultation, je reconnais en effet qu’il est très compliqué pour les électrolyseurs de pouvoir faire leur travail. Cependant, je ne pense pas que l’abattage soit la solution. Le loup, comme le renard, est essentiel à l’équilibre de la biodiversité et encore en trop faible nombre. Il serait préférable de chercher d’autres mesures que celle de l’abattage comme rembourser les bêtes attaquées et ou tuées à leurs électrolyseurs comme le font d’autres pays ou mettre en place des mesures de protection autour des troupeaux et faire des recherches si les solutions actuelles ne sont pas concluantes. De plus, l’abattage de quelques loups dans les meutes désorganisent complètement ces dernières car ceux tués sont bien souvent ceux formés à la chasse et responsables de cela. Les loups restant attaqueront davantage les troupeaux car ceux-ci seront des proies faciles pour les novices restant. Bien à vous. Respectueusement.;Défavorable
CONTRE !!! , le 26 novembre 2023 à 23h33;CONTRE !!! . Contre ce projet pour la simple et bonne raison qu’il n’est en rien utile pour la biodiversité. Oui pour des solutions plus respectables de la nature et des être vivants. Message d’une personne qui a peur de l’avenir et de ce que certaines personnes peuvent faire au nom d’une « nécessité » qui n’est pas.;Défavorable
Avis défavorable au projet loup, le 26 novembre 2023 à 23h21;Avis défavorable au projet loup. Il serait temps d’arrêter cet avis clignotant concernant le loup… Il devrait être protégé et interdit à l’abattage. Combien d’exemple supplémentaires avant d’enfin comprendre qu’il est essentiel de le protéger pour le bien être de l’équilibre de la faune et la flore? D’autant que bon nombre de solutions alternatives existent pour cohabiter avec lui si seulement on prenait le temps de les examiner… Ce sont des animaux sensibles, moraux et profondément attachants quand on connaît leur fonctionnement.;Défavorable
Une espèce à protéger , le 26 novembre 2023 à 09h22;Une espèce à protéger . Le loup est une espèce menacée en France. Il joue un rôle dans l’écosystème et pas des moindres. Il est nécessaire de le réhabiliter plutôt que de faire des lois qui vont dans le sens inverse. L’écologie une grande cause du quinquennat ?;Défavorable
Non à l’abattage des loups , le 26 novembre 2023 à 23h18;Non à l’abattage des loups . Les loups est un animal essentiel à la biodiversité et à son équilibre. Les tirs désorganisent les meutes et augmentent le nombre d’attaques car les loups doivent chasser seul.;Défavorable
Non à l’abattage du loup, le 26 novembre 2023 à 23h04;Non à l’abattage du loup. Je suis défavorable à ce projet de plan contre le loup. Il est indispensable de préserver cet animal pour l’équilibre du vivant. Il est temps que l’humain comprenne que la nature sait se réguler elle-même (je vous invite à regarder l’expérience menée sur un troupeau de bisons pendant NOMBRE ans aux US) et que les hommes apprennent à vivre en harmonie dans un milieu non pas qu’ils possèdent mais qu’ils PARTAGENT avec d’autres espèces. Quand arrêteronsnous de décider du droit de vie ou de mort des autres animaux ?;Défavorable
Plan national Loup 2024-2029, le 26 novembre 2023 à 23h03;"Plan national Loup NOMBRE - NOMBRE . C’est NON ! Le loup bouc-émissaire, ça suffit ! N’y voyez pas un mépris des éleveurs. Regardez plutôt du côté des accords commerciaux dans une mondialisation débridée : le traité de libre échange avec la Nouvelle-Zélande (importations accrues de viande ovine en particulier) est bien davantage préjudiciable à la filière ovine que notre notre loup national. ""Business as usuel""…";Défavorable
Plan national Loup 2024-2029, le 26 novembre 2023 à 23h00;"Plan national Loup NOMBRE - NOMBRE . C’est NON ! Le loup bouc émissaire, ça suffit ! N’y voyez pas un mépris des éleveurs. Regardez plutôt du côté des accords commerciaux dans une mondialisation débridée : le traité de libre échange avec la Nouvelle-Zélande (importations accrues de viande ovine en particulier) est bien davantage préjudiciable à la filière ovine que notre notre loup national. ""Business as usuel""…";Défavorable
Non à l’abattage des loups , le 26 novembre 2023 à 22h59;Non à l’abattage des loups . Je suis contre le projet d’ abattage des loups pour favoriser l’ élevage. Je pense que les éleveurs doivent s’ adapter, avant tous les animaux arrivaient à cohabiter ensemble donc pourquoi qu’ à l’heure actuelle ce n’ est plus possible ? Les loups sont comme les vaches, les moutons etc. des êtres vivants et sensibles aussi ils ont absolument le droit de vivre !;Défavorable
Avis défavorable , le 26 novembre 2023 à 22h51;Avis défavorable . Il est ridicule de ne pas écouter les spécialistes environnementaux qui mettent en garde contre les décisions menant à la détérioration des écosystèmes;Défavorable
Avis défavorable, le 26 novembre 2023 à 22h48;Avis défavorable. Non à ce plan. La biodiversité est prioritaire si l’on veut continuer à nous même pouvoir vivre sur Terre terre.;Défavorable
avis défavorable, le 26 novembre 2023 à 22h43;"avis défavorable. non à ces allers et retours sans fin, le loup est protégé ; c ’est simple et sans appel. Tout démontre que ce plan est fait pour les chasseurs et les éleveurs. C ’est insensé.";Défavorable
Non à l’abattage des loups !, le 26 novembre 2023 à 22h42;Non à l’abattage des loups !. Le loup est une espèce menacée, il n’y a aucune raison valable pour tuer les loups !;Défavorable
Non à ce projet de PNA, le 26 novembre 2023 à 22h41;Non à ce projet de PNA. L’humain pour pouvoir survivre doit s’allier aux autres vivants et comprendre que sans eux et toutes les interrogations qui existent entre chaque espèce,il n’est rien et n’a pas d’avenir. Le loup a de nombreux impacts bénéfiques dans les équilibres écosystémique comme toutes les espèces clefs de voûtes.;Défavorable
Avis défavorable , le 26 novembre 2023 à 22h39;Avis défavorable . Il est grand temps d’évoluer pour permettre à cette planète de souffler et se remettre sur pied. Remettre en péril des espèces animales par simple décision humaine est un non sens complet. Les scientifiques ne sont pas écoutés, l’écosystème est en danger et nous continuons par des décisions de non sens à se diriger droit dans le mur. Posons nous les bonnes questions. L’homme est le pire des prédateurs.;Défavorable
Tout le vivant , le 26 novembre 2023 à 22h39;Tout le vivant . Le loup fait partie intégrante de notre univers. Quand nous l’aurons détruit, comme l’homme a détruit tant d’espèces , nous pleurerons sur un monde qui ne tournera plus rond. Chaque espèce a sa place et son utilité. Stop aux visions à court terme.;Défavorable
"NON au prochain ""plan loups"", le 26 novembre 2023 à 22h39";"NON au prochain ""plan loups"". L’état des connaissances aujourd’hui est clair : la biodiversité est indispensable à la survie de l’humanité. Le loup encore trop peu répandu en France participe de façon positive à la robustesse de la biodiversité et de la vie sauvage Il est urgent d’en finir avec notre vision anthropocentrés et avoir l’humilité de ne pas maîtriser le vivant à chaque instant, sur chaque m² La biodiversité ne se maîtrise pas et c’est pour ça que ça marche L’humain en prenant toute la place est en train de franchir un équilibre qui nous mène vers un monde très incertain Cessons de nous croire supérieur.es";Défavorable
Avis défavorable , le 26 novembre 2023 à 23h07;Avis défavorable . Il est impensable qu’en NOMBRE , alors que l’on ne cesse de parler de protéger la biodiversité, que la France, elle, ne fasse que le contraire de ce qu’elle préconise ailleurs ! Le loup fait intégralement partie de notre biodiversité locale et spécifique. Il reste jusqu’à présent une espèce menacée de part sa faible population. Par ailleurs, le Conseil National de la Protection de la Nature, après avoir été consulté sur le nouveau PNA a émis un avis négatif. Enfin, que le gouvernement ne cède pas à la pression des lobbys et qu’il protège le vivant en trouvant des solutions pour une cohabitation intelligente et efficace entre les intérêts économiques des éleveurs et la survie d’une espèce en danger.;Défavorable
Avis défavorable concernant le changement de statut du loup, le 26 novembre 2023 à 22h38;Avis défavorable concernant le changement de statut du loup. Le loup est une espèce strictement protégée et fait partie du patrimoine de notre pays : l’État doit s’engager positivement dans la protection de l’équilibre de notre biodiversité, en favorisant les mesures de protection des troupeaux, scientifiquement prouvées, qui limitent fortement les pertes d’élevage (chiens, gardiennage,…). De plus, dans la nature, le loup permet la régulation des espèces herbivores, tout en prélevant les animaux faibles malades, et permet ainsi également la sauvegarde de la biodiversité végétale. Enfin, rien ne prouve aujourd’hui la bonne santé de la population des loups au niveau de sa diversité génétique : toute décision hâtive pourrait être irrémédiable.;Défavorable
Non au plan loup, le 26 novembre 2023 à 09h20;Non au plan loup. Je suis contre ce plan , le loup fait parti de la chaine alimentaire en enlevant une maille de cette chaine vous déstabiliser l’écosystème.;Défavorable
Sylvie JUGAND membre de Vivarmor, le 26 novembre 2023 à 09h14;Sylvie LUGANDA membre de Vivarium. Je m’oppose avec la plus grande vigueur à ce plan loup et à toutes ses conséquences néfastes pour cet animal avec qui il faudra apprendre à vivre.;Défavorable
