sujet;checked_text;opinion
AVIS FAVORABLE !, le 15 novembre 2023 à 22h07;"AVIS FAVORABLE !. Bien sur qu’il faut réguler le loup comme toutes les espèces qui se développent à outrance en menaçant les activités humaines ! que la limite soit à NOMBRE , NOMBRE , NOMBRE loups il faudra limiter à un moment donné et ceux qui s’y opposent aujourd’hui s’y opposeront à n’importe quel moment puisque leur ""problème"" est qu’ils ne peuvent pas supporter qu’un humain tue un animal alors cessons de les écouter pour assurer la sécurité des animaux domestiques et celles des habitants de nos campagnes.";Favorable
NON AUX DEROGATIONS, le 15 novembre 2023 à 21h35;NON AUX dérogations. Au vu de l’avis défavorable du CNPN à propos du bilan du Plan National Loups NOMBRE - NOMBRE , qui a été rendu en juillet NOMBRE et qui relève l’absence de réel bilan avec indicateurs pour procéder à une véritable évaluation…et sachant que le loup est strictement protégé au niveau européen ( dans la convention de Berne relative à la vie sauvage et à la conservation des milieux naturels de l’Europe et dans la directive Habitats Faune Flore ) il me semble évident de ne pas accorder de dérogations aux interdictions de destructions de loups Ce sujet n’a pas lieu d’être sauf si l’on veut anéantir le monde sauvage et sa biodiversité;Défavorable
Défavorable, le 15 novembre 2023 à 21h02;"Défavorable. Le loup est une espèce protégée sauf dérogation. Certains agriculteurs ne ""jouent pas le jeu"" et ne tente même pas de protéger leur troupeaux. Pourquoi auraitil droit à des faveurs ? Par ailleurs, tuer un loup n’est pas une solution à long terme et augmente le nombre de dégâts comme l’atteste la littérature et les études sur le sujet. Cela est contre productif et coûte aux contribuables. Les dérogations et prélèvements ne doivent pas être systématiques dans le seul but d’apaiser les éleveurs de nos campagnes et exciter les adeptes de la gâchette. D’une part, parce qu’ils ne sont pas seuls sur le territoire, d’autres part car le loup est pour eux (les éleveurs ) ""une goutte d’eau"" résultant d’un mal-être bien plus ancien et profond du monde agricole (voir les cas de suicides, non imputés au loup… ). Certains dommages sont indemnisés alors qu’il s’agit de chiens errants. Aucune mesure n’est prise pour tuer ces chiens et exclure le loup. Cet argent public pourrait être alloué ailleurs ! L’augmentation du nombre de tireurs de nuit augmente aussi le risque d’accident et ne favorise pas la sécurité des intervenants. Par ailleurs, je suis contre l’intervention des lieutenants de louveterie chasseurs et pour une action NOMBRE MI de l’OFB. La suppression de l’éclairage peut augmenter le risque de tuer d’autres animaux ; la caméra thermique ne permettant pas toujours d’identifier à coup sûr l’espèce visée. Je suis contre la suppression de ""la suspension des tirs de défense renforcée après la destruction d’un loup"". Le CNPN a émit un avis défavorable. Le nouveau Plan National Loup n’est pas à la hauteur de mes attentes en tant que contribuable car il n’a pas tenu compte des éléments scientifiques apportés par les spécialistes. Il est grand temps que l’État mûrisse dans sa manière de gérer les problèmes et ne cèdent pas à la pression ou lobby de quelques individus mentalement réduits ou jas bene. Comme dans tout management, la France doit être agile et accompagner les éleveurs non pas dans la bêtise ou la facilité mais dans des mesures sensées. Prendre le problème à la racine !";Défavorable
Avis défavorable à cet arrêté, le 15 novembre 2023 à 19h15;Avis défavorable à cet arrêté. Le loup a un rôle écologique important et son retour dans les forêts françaises est une chance pour la préservation de la biodiversité. La France applique déjà une politique sévère de régulation vis-à-vis du loup et d’autres animaux sauvages. Si dérogation il y a, les tirs doivent être confiés à des employés de l’État et non à des bandes d’amateurs prêts à exterminer tout animal sauvage considéré comme nuisible.;Défavorable
Avis défavorable , le 15 novembre 2023 à 20h16;Avis défavorable . L’absence de progrès palpable depuis le dernier plan national d’action, malgré une multiplication des tirs létaux, frise le ridicule. Consultez l’avis du CNPN (Conseil National de la Protection de la Nature ) pour éclairer la manière dont l’État présente ses projets pour avis, entre autres choses. Il faut indiscutablement aider les éleveurs (et seulement eux, noter que par exemple les mesures de protection sont accessibles à tous les agriculteurs enregistrés à la MAS et disposant du minimum de moutons requis ) et les tirs dérogatoires justifiés sont parfois nécessaires fautes de mieux sur des troupeaux pourtant protégés (bergers, chiens, clôtures ). Le risque zéro n’existe pas face à un prédateur. Une fois de plus, l’État semble s’incliner devant les lobbies les plus influents et continue de faire de l’affichage plutôt que d’être constructif.;Défavorable
Dérogations aux interdiction de destruction des loups, le 15 novembre 2023 à 19h38;Dérogations aux interdiction de destruction des loups. La seule méthode efficace pour que les loups redeviennent une espèce sauvage c’est de les chasser avec des chiens spécialisés afin de leurs donner la peur des hommes et des chiens sinon on va tout droit à une catastrophe écologique qui commence déjà à exister dans certains départements. Il va falloir frapper vite et fort avant le déclin et la disparition de nombreuses autres espèces prédatées par le loup.;Favorable
Avis favorable, le 15 novembre 2023 à 20h42;Avis favorable. Bien trop insuffisant mais c’est déjà un progrès. Il faut que l’espèce ne soit plus protégée ou que sa protection soit limitée aux seuls parc nationaux. La France a vécu sans loups pendant de très nombreuses années sans le moindre inconvénient. Ses nuisances justifient son éradication sauf à démontrer son utilité. Aujourd’hui sa présence menace de disparition une espèce bien plus utile : le mouflon, mais aussi le pastoralisme.;Favorable
TOTALEMENT CONTRE , le 16 novembre 2023 à 13h50;TOTALEMENT CONTRE . Je suis totalement contre ce projet qui va à l’encontre de la biodiversité et a pour seul but de satisfaire des éleveurs qui souhaitent avoir des animaux sans les inconvénients de la vie de bergers. Il faut arrêter de détruire la biodiversité, d’ignorer les avis scientifiques pour faire plaisir à des Lobbys.;Défavorable
CONTRE le projet d’abattage de loups, le 16 novembre 2023 à 18h04;CONTRE le projet d’abattage de loups. CONTRE un projet qui autorise encore un peu plus l’accroissement de la pression humaine sur tout le vivant qui nous entoure. Il est grand temps d’apprendre à laisser de la place et vivre AVEC les autres animaux (ainsi que toute la flore );Défavorable
Ecoterroristes, le 16 novembre 2023 à 13h52;Écoterroristes. Vous nous prenez vraiment pour des demeurés. En buttant les loups, vous nécessitez et donc légitimez la chasse contre les cerfs et les sangliers. Vous croyez qu’on est trop bêtes pour comprendre que vous bossez pour le lobby de la chasse ?;Défavorable
CONTRE, le 16 novembre 2023 à 13h53;CONTRE. Il est totalement anormal dans le monde de NOMBRE de continuer à abattre des animaux dont il a en plus été prouvé qu’ils étaient utiles à la régulation des espèces, et surtout meilleurs régulateur que les chasseurs qui prétendent participer l’équilibre de la biodiversité. Un tel projet est totalement anachronique et contre toute logique scientifique;Défavorable
Contre ce projet d’arrêté modificatif, le 16 novembre 2023 à 13h53;Contre ce projet d’arrêté modificatif. Je suis contre ce projet qui vise à faciliter les conditions d’abattage des loups qui, comme cela est rappelé en préambule, est une espèce protégée. Par ailleurs, la possibilité de réaliser des tirs sans éclairage empêche tout effet d’effarouchement ou de fuite, et met en grave danger les populations.;Défavorable
Défavorable à l’augmentation du nombres de destructions du loup, le 16 novembre 2023 à 13h54;"Défavorable à l’augmentation du nombres de destructions du loup. Bonjour, Il est clairement indiqué que le loup est une espèce protégée. Il n’est pas concevable que ""Des dérogations à la protection de l’espèce sont prévues par les textes pour prévenir les dommages importants aux troupeaux domestiques, à la double condition qu’il n’existe pas d’autres solutions satisfaisantes et que les opérations ne nuisent pas à l’état de conservation de la population de loups."" alors qu’AUCUN contrôle n’est effectué sur la mise en place de solutions ""satisfaisantes"" ni sur les opérations de destruction (qui se font sur déclaratif ). C’est une chasse aux loups en bande organisée, nuisible pour la biodiversité et une manœuvre politique à destination de certaines personnes…";Défavorable
CONTRE ce projet, le 16 novembre 2023 à 18h21;CONTRE ce projet. Le gouvernement français, à son plus haut niveau, veut la peau du loup ! Il serait plus honnête de dire que l’on se dirige tout droit vers une nouvelle extinction, par extermination, du loup en France, sous la pression du lobby agro-cynégétique. Et tout le monde gagnerait du temps, de l’énergie et de l’argent car plus besoin de plan loup !;Défavorable
Abbattage loups, le 16 novembre 2023 à 18h18;Abattage loups. Non à l’autorisation d’abattage des loups, des solutions autres doivent être proposés aux éleveurs De toutes façons, il est impératif de réduire notre consommation de viande donc laissons vivre les loups;Défavorable
".Participation à la consultation

Projet d’arrêté fixant les conditions et limites dans lesquelles des dérogations aux interdictions de destruction peuvent être accordées par les préfets concernant le loup (Canis lupus)
, le 16 novembre 2023 à 18h16";. Pour les dérogations comme indiquées dans le texte.;Favorable
Défavorable, le 16 novembre 2023 à 18h14;Défavorable. Destruction d’une espèce utile à l’équilibre de la biodiversité. Cet animal sait parfaitement bien raisonner et limiter sa population en fonction de son espace et de ses ressources alimentaires. Le tuer est juste un prétexte pour satisfaire le loisir mortifère de certains.;Défavorable
Contre le projet d’abattage des loups, le 16 novembre 2023 à 18h10;Contre le projet d’abattage des loups. Je suis absolument contre le projet de tuer des loups. Cette barbarie n’a aucune légitimité;Défavorable
Scandalisé , le 16 novembre 2023 à 13h50;Scandalisé . Je suis contre cette proposition. Les loups sont primordiaux pour la biodiversité. Christian Robert;Défavorable
CONTRE, le 16 novembre 2023 à 13h50;CONTRE. Le loup est un exemple d’espèce qui contribue à l’équilibre de la biodiversité et peut servir de solution à certains des problèmes auxquels notre nature est confrontée !;Défavorable
Contre , le 16 novembre 2023 à 16h56;Contre . Cessons de détruire la nature qui doit retrouver son équilibre naturel;Défavorable
Défavorable , le 16 novembre 2023 à 17h57;"Défavorable . Comme le défini la première phase. Le loup est une espèce protégée. Le plus efficace serait je pense d’accompagner les éleveurs pour une cohabitation pacifiste avec le loup. Le gouvernement devrait plutôt penser à mettre en place une ""cellule d’aide"" qui accompagnerais les éleveurs a clôturer leurs terrains. Les éleveurs pourraient aussi adopter des chiens de berger et le problème serait règle.";Défavorable
Défavorable, le 16 novembre 2023 à 12h34;Défavorable. Défavorable. Protégeons les loups;Défavorable
Non à l’abattage des loups, le 16 novembre 2023 à 12h31;Non à l’abattage des loups. Le texte commence ici par un rappel du contexte légal : le loup est une espèce protégée. Dès lors, tout ce qui s’en suit n’a ni queue ni tête : une espèce protégée n’a pas à être détruite, c’est le principe. La nature se régule d’elle même, les prédateurs ont leur place dans les écosystèmes. Encourageons la prévention passive plutôt que de vouloir tuer à tout bout de champ : clôture des prés, chiens de troupeaux, d’autres solutions existent et sont bien moins dommageables à la biodiversité.;Défavorable
Défavorable ! Intolérable ! , le 16 novembre 2023 à 12h26;Défavorable ! Intolérable ! . Non à ces meurtres ! Oui à la préservation de ces espèces !;Défavorable
"Ce n’est pas à l’être humain de ""contrôler"" les populations animales, le 16 novembre 2023 à 12h24";"Ce n’est pas à l’être humain de ""contrôler"" les populations animales. Avis défavorable : L’être humain doit trouver un mode de cohabitation pacifique avec les prédateurs (par exemple, en changeant son alimentation ). Le reste de la nature (dont il fait partie ) n’a pas à s’adapter à lui.";Défavorable
Défavorable , le 16 novembre 2023 à 12h23;Défavorable . Je suis contre, le loup fait partie intégrante de la biodiversité et à ce titre doit être protégé.;Défavorable
Non à ces dérogations , le 16 novembre 2023 à 12h23;Non à ces dérogations . Non à ces dérogation. Il faut préserver la biodiversité. Les prédateurs ont toute leur place dans nos montagnes. Nous devons nous inspirer par exemple du modèle le italien encours dans les Abruzzes, par ex. Encore une fois on fait plaisir à la cruauté des prédateurs sur deux pattes.;Défavorable
Non à ces dérogations , le 16 novembre 2023 à 12h21;Non à ces dérogations . Non à ces dérogations totalement anachroniques. Vive la biodiversité mise à mal par le surpaturage et retour aux pratiques ancestrales de pastoralisme. Les prédateurs ont toute leur place dans nos montagnes. Nous devons nous inspirer par exemple du l’édelweiss italien encours dans les Abruzzes, par ex. Encore une fois on fait plaisir à la cruauté des prédateurs sur deux pattes.;Défavorable
Non, le 16 novembre 2023 à 12h07;Non. Pas d’accord pour autoriser des dérogations.;Défavorable
Non , le 16 novembre 2023 à 12h06;Non . Non à ces dérogations totalement anachroniques. Vive la biodiversité mise à mal par le surpaturage et retour aux pratiques ancestrales de pastoralisme. Les prédateurs ont toute leur place dans nos montagnes.;Défavorable
NON aux dérogations préjudiciables aux loups, le 16 novembre 2023 à 11h52;NON aux dérogations préjudiciables aux loups. Pourquoi sembler ignorer l’avis défavorable du CNPN au vu des conclusions du Plan National Loups NOMBRE - NOMBRE , parues en juillet NOMBRE et qui relève l’absence d’indicateurs pour procéder à une véritable évaluation, et pourquoi sembler ignorer que le loup est strictement protégé au niveau européen ( dans la convention de Berne relative à la vie sauvage et à la conservation des milieux naturels de l’Europe et dans la directive Habitats Faune Flore ) ? Il ne faut pas accorder de dérogations aux interdictions de destructions de loups. Il existe des moyens largement étudiés de cohabiter les élevages avec les loups. Refuser les mesures qui ne font qu’aggraver l’effondrement du monde sauvage.;Défavorable
Avis défavorable, le 16 novembre 2023 à 11h51;"Avis défavorable. Le loup est un élément essentiel de la chaîne alimentaire. L’espèce est en train de revenir spontanément sur les territoires qui avaient été les siens depuis des milliers d’années. A ce titre elle doit être protégée. Le ""seuil de viabilité"" démographique de l’espèce annoncé à "" NOMBRE loups"" est parfaitement arbitraire et sans aucun fondement scientifique pour cette espèce dont la survie dépend de la stabilité des groupes familiaux qui fondent sa vie sociale et non pas d’un ""nombre d’individus"". Il est absurde de vouloir comptabiliser dans un même total des adultes reproducteurs, des jeunes au sein d’une meute et des subadultes isolés en phase de dispersion qui auront un impact sur le milieu très différent et un poids démographique très inégal. Cette approche simpliste purement administrative par seuil d’effectif et par quotas de tir est infondée biologiquement. On ne peut pas d’autre part à la fois déplorer la prolifération des sangliers ou des chevreuils et se priver de leur principal prédateur, le loup, qui assure à lui seul une véritable régulation au sein de nos écosystèmes. Les déprédations sur les troupeaux du fait des loups existent naturellement, mais elles sont à ce jour beaucoup moins importantes que celles dues aux chiens en divagation. On n’a pourtant jamais imaginé instaurer des protocoles de tirs létaux sur les chiens responsables. Pourquoi le faire sur une espèce protégée autochtone dont l’impact est numériquement bien moindre ? De plus, il a été particulièrement bien documenté que les déprédations occasionnées par les loups augmentaient dans le cas de : - troupeaux mal protégés - zones de nouvelle occupation territoriale par de jeunes loups subadultes isolés - meutes déstructurées par des prélèvements (tirs létaux ) ou des mortalités parmi leurs membres. Les loups survivants choisissent alors de se rabattre sur le cheptel domestique, faute de disposer de l’expertise et de l’effectif suffisants pour mener des chasses collectives sur des proies sauvages. La réponse la plus rationnelle et la plus efficace au problème des déprédations sur troupeaux est une meilleure protection des troupeaux (les méthodes les plus performantes sont aujourd’hui bien connues ) et le respect de la stabilité démographique des meutes qui peuvent ainsi continuer à chasser les proies sauvages qui forment l’essentiel de leur régime alimentaire. L’approche proposée dans la modification du PIN sera non seulement inefficace, mais elle se révélera probablement contraire à terme à l’intérêt des éleveurs qu’elle est censée préserver. Elle doit être entièrement revue sur des bases scientifiques et non sur des ressentis appelant une approche simpliste et avant tout politique.";Défavorable
CONTRE, le 16 novembre 2023 à 17h35;CONTRE. Et vous vous prétendez concernés par l’écologie ?;Défavorable
Défavorable, le 16 novembre 2023 à 18h04;Défavorable. Il faut savoir cohabiter avec eux comme on le faisait avant. En Italie il y a plein d’endroits où le loup est protégé… Un prétexte de plus pour les chasseurs…;Défavorable
Aberration !, le 16 novembre 2023 à 16h42;"Aberration !. ""espèce strictement protégée"" et ""dérogation"" ne vont pas de paire..que fait notre gouvernement face à de telles aberrations !! Encore une preuve de l’inaction écologique de notre gouvernement.. Quel monde souhaitez vous laisser derrière vous pour les générations futures ? Il serait temps de penser global et pas seulement à l’échelle de son petit mandat !";Défavorable
Contre l’abattage des loups, le 16 novembre 2023 à 16h52;Contre l’abattage des loups. Jusqu’à quand allez vous décimer toutes espèces animales,pour les loups pourquoi ne pas prendre exemple sur certaines régions d’Italie où les éleveurs arrivent à cohabiter avec eux . Quel est le but de cette loi,a part vouloir être toujours Supérieur à l’espèce animale. HONTEUX.;Défavorable
Défavorable, le 16 novembre 2023 à 11h10;Défavorable. Tuer des loups est un moyen simple de calmer les éleveurs qui souffrent de problèmes bien plus graves : concurrence des viandes importées, prix des énergies, baisse de la consommation de viande, maladies…etc. Ces tueries lupines ne servent à rien, bien au contraire : elles désorganisent des meutes localisées et lancent dans les campagnes des loups esseulés beaucoup plus dangereux pour les animaux domestiques. Depuis septembre NOMBRE l’Espagne ne chasse plus les loups alors que ce pays abrite la plus forte population d’Europe de l’ouest.;Favorable
Favorable, le 16 novembre 2023 à 11h04;"Favorable. C’est juste une affaire de bon sens ; les éleveurs doivent pouvoir exercer leurs activités pastorales sereinement : cela passe par le cantonnement du loup aux zones totalement sauvages et par sa régulation drastique ailleurs. Faudra-il attendre des victimes humaines la férocité de ces fauves n’est pas qu’une légende pour que les ""écologistes"" de salon prennent conscience de leur absence totale de discernement? Le militantisme n’a en aucun cas valeur d’expertise !";Favorable
CONTRE, le 16 novembre 2023 à 11h02;CONTRE. Apaisons les conflits homme – loup Ce grand prédateur n’a pas d’autre prédateur à part l’homme (autre grand prédateur ). Mais comme à son accoutumé l’Homme veut maitriser la nature et la biodiversité, pour un point de vue économique. Le loup est un grand amateur d’ongulés sauvages comme les chevreuils, les chamois et les mouflons. Alors, il serait sans doute nécessaire de revoir le quota de chasse aux gros gibiers dans les endroits où le loup est le plus présent (évidemment il faudrait que nos amis les chasseurs soient favorables, et ça, ça n’est pas gagné ). Aider et faciliter les éleveurs à protéger leurs troupeaux, en créant des postes jeunesses ou de réinsertion (dans la fonction publique ) pour une durée par ex d’une année. Après des stages et formations de découverte du pastoralisme et de sensibilisation, ils participeraient à la surveillance des ovins ou caprins et aux diverses tâches propres à la protection du cheptel comme le regroupement des animaux la nuit et dans les interventions d’urgences (activités de surveillance, d’effarouchement, de recherche et de tri des animaux entre autres ) et prendre part aux chantiers d’aménagement pastoraux. De plus, l’État doit prendre part à des chantiers de création ou rénovation d’ouvrages et équipements pastoraux. Ces chantiers ont pour objectif de rendre plus efficaces les pratiques de pâturage et de rendre le bétail moins vulnérable. Certaines de ces opérations peuvent être menées en collaboration avec d’autres acteurs institutionnels ou associatifs impliqués autour de cette thématique. Ensemble, agissons sans destruction systématique.;Défavorable
Avis défavorable , le 16 novembre 2023 à 10h53;Avis défavorable . Tuer les loups ne fera que le bonheur des agités de la gâchette ,mais sûrement pas celui des éleveurs car le malaise agricole est réel en France et le loup n’est pas le responsable. Mais comme en France le gouvernement est dirigé par les lobbies les problèmes ne sont pas prêts d’être résolus !;Défavorable
Nécessité de réguler les especes nuisibles, le 16 novembre 2023 à 09h45;Nécessité de réguler les espèces nuisibles. Avis favorable : ce projet de règlement est un progrès même si on peut se demander si ce sera suffisant pour limiter les dégâts du loup. Le loup est un prédateur dont l’intérêt sur le plan de la régulation de la biodiversité reste à prouver puisque sangliers et autres espèces problématiques continent de proliférer. Il faut arrêter de protéger des espèces qui ne le justifient pas, juste pour l’amusement intellectuel de citadins qui ne sont pas confrontés aux vrais problèmes ruraux.;Favorable
Utilite, le 16 novembre 2023 à 07h08;"Utilité. Avis favorable. Que quelqu un nous prouve quel est l apport biodiversité des loups ? Je ne vois que massacre abandon de territoire espaces qui se referment… et niveau faune sauvage il y a toujours autant de chamois avec conjonctivite et de cerf avec benoitement… animaux que les loups étaient sensés réguler. Catastrophe écologique depuis NOMBRE ans… hélas cette page sera alimentée par les citadins beaucoup plus nombreux qui ne savent rien et ne sont pas impactés… c est comme si vous demandiez aux berger d estive :"" faut il rajouter un parking à Paris ? Un feu rouge à Marseille ?""… pas concernés donc….";Favorable
Avis favorable , le 16 novembre 2023 à 00h34;Avis favorable . J’émets un avis favorable au projet d’arrêté. La population des loups dépasse toutes les prévisions d’expansion. Il est temps de réagir et d’appliquer des mesures adéquates à cette situation qui devient intenable pour les éleveurs.;Favorable
Contre ce projet , le 16 novembre 2023 à 23h49;Contre ce projet . Les loups (comme les renards qui limitent la propagation de la maladie de Lyme par exemple ) font partie de la biodiversité. Pourquoi ne pas investir pour protéger les troupeaux plutôt que de tuer cet animal ?;Défavorable
CONTRE, le 16 novembre 2023 à 23h33;CONTRE. On se tire une balle dans le pied en tuant le loup : celui ci est primordial à l’équilibre de plus en plus menacé de la nature… On va droit dans le mur de la fin du vivant et le pire, c’est qu’on accélère. En tuant le loup, le renard, le blaireau et tout animal que vous considérez ESOD, on tue un peu de nous. Les inondations, la sécheresse, les tempêtes et les cataclysmes de toute sorte sont des mises en garde que vous ne voulez pas entendre. Vous pensez que les catastrophes naturelles n’ont rien à voir avec le loup, le renard ou le blaireau ? Vous avez tout faux : c’est un tout dont nous faisons partie. Arrêtez le tir des loups, vérifiez la protection des troupeaux et surtout, anticipez l’arrivée du loup sur les nouveaux territoires.;Défavorable
