titre;date;heure;sujet;raw_text;checked_text;lemma;opinion
AVIS DEFAVORABLE Le loup contribue aux services écosystémiques naturels;1er juin 2025;09h58;AVIS DEFAVORABLE Le loup contribue aux services écosystémiques naturels, le 1er juin 2025 à 09h58;"AVIS DEFAVORABLE Le loup contribue aux services écosystémiques naturels. - NOMBRE - Ce n’est pas parce que la France avait réussi à éliminer le loup de sont territoire qu’elle doit s’imaginer être capable de recommencer. - NOMBRE - La dynamique démographique du loup ne signifie pas qu’il a déjà atteint un niveau suffisant assurant sa survie en France : voir l’étude scientifique collective MNHN-ONCFS NOMBRE . - NOMBRE - Prédateur opportuniste, le loup choisit les proies les plus faciles à chasser. Il faut donc rendre le bétail moins accessible que ses proies sauvages. Les moyens existent : l’étude de parangonnage du IGEDD CGAAER NOMBRE en a montré l’efficacité. - NOMBRE - Le loup a une capacité d’adaptation importante qui s’appuie sur sa grande aptitude à l’apprentissage. La jeunesse des louveteaux est une période d’apprentissage de la chasse importante. Il est important que les adultes apprennent aux jeunes à chasser les cerf, chevreuil, chamois, sanglier ou autres. Tuer un loup adulte interdit cette transmission. En outre, aucune étude scientifique consacrée au tir n’a encore réussi à apporter la garantie d’efficacité en terme de réduction d’une prédation domestique. - NOMBRE - Le loup constitue un service écosystémique aux forestiers : prédateurs des herbivores sauvages, il protège les jeunes plantations et autres semis, limite les abroutissements subis par les forestiers. Ces effets positifs se sont déjà fait sentir dans les forêts où le loup est revenu. Il en est de même pour les agriculteurs car le loup prédate aussi des sangliers dont la régulation en France est actuellement un échec. - NOMBRE - L’article NOMBRE -V du projet d’arrêté prévoit des mesures de réduction de la vulnérabilité des troupeaux. Plusieurs d’entre elles ne peuvent être considérées comme telles : en quoi, par exemple, une visite quotidienne protège concrètement un troupeau, les rythmes d’activité du loup n’étant pas synchrone de celui de l’éleveur ? Dès lors, ces mesures en sauraient constituer un critère d’autorisation de tir. De même, on ne peut pas considérer que des mesures de protection en cours d’installation réduise déjà le risque de prédation lupine ; dans ces cas, les tirs létaux ne doivent absolument pas pouvoir être autorisés. - NOMBRE - La réduction de vulnérabilité d’un troupeau doit aussi passer par une adaptation des pratiques d’élevage ; ce serait conforme à la récente décision de la CJUE (CJUE C- NOMBRE NOMBRE - NOMBRE juillet NOMBRE ) ; la présence de cornes chez les bovins - NOMBRE - On ne peut pas considérer qu’une unique prédation au cours des NOMBRE derniers mois puisse être considérée comme le ""dommage important"" prévu par le cadre juridique correspondant. - NOMBRE - Il est indispensable de réaliser enfin le bilan du dernier PNA afin de mieux organiser les mesures de protection des troupeaux. De même il est important de développer les recherches scientifiques concernant l’espèce lupine afin d’élaborer les meilleures mesures de réduction des vulnérabilité. En conclusion, le loup est actuellement présent dans tout le territoire français métropolitain ; chacun est donc averti et peut prendre les dispositions nécessaires. Des moyens efficaces de protection de troupeaux existent ; ils peuvent être mis en œuvre. Il n’y a donc pas de situation d’urgence qui puisse justifier une autorisation de tir létal.";"AVIS DÉFAVORABLE Le loup contribue aux services écosystémiques naturels. - NOMBRE - Ce n’est pas parce que la France avait réussi à éliminer le loup de sont territoire qu’elle doit s’imaginer être capable de recommencer. - NOMBRE - La dynamique démographique du loup ne signifie pas qu’il a déjà atteint un niveau suffisant assurant sa survie en France : voir l’étude scientifique collective MNHN-ONCFS NOMBRE . - NOMBRE - Prédateur opportuniste, le loup choisit les proies les plus faciles à chasser. Il faut donc rendre le bétail moins accessible que ses proies sauvages. Les moyens existent : l’étude de parangonnage du IGEDD CGAAER NOMBRE en a montré l’efficacité. - NOMBRE - Le loup a une capacité d’adaptation importante qui s’appuie sur sa grande aptitude à l’apprentissage. La jeunesse des louveteaux est une période d’apprentissage de la chasse importante. Il est important que les adultes apprennent aux jeunes à chasser les cerf, chevreuil, chamois, sanglier ou autres. Tuer un loup adulte interdit cette transmission. En outre, aucune étude scientifique consacrée au tir n’a encore réussi à apporter la garantie d’efficacité en terme de réduction d’une prédation domestique. - NOMBRE - Le loup constitue un service écosystémique aux forestiers : prédateurs des herbivores sauvages, il protège les jeunes plantations et autres semis, limite les abroutissements subis par les forestiers. Ces effets positifs se sont déjà fait sentir dans les forêts où le loup est revenu. Il en est de même pour les agriculteurs car le loup prédaté aussi des sangliers dont la régulation en France est actuellement un échec. - NOMBRE - L’article NOMBRE - du projet d’arrêté prévoit des mesures de réduction de la vulnérabilité des troupeaux. Plusieurs d’entre elles ne peuvent être considérées comme telles : en quoi, par exemple, une visite quotidienne protège concrètement un troupeau, les rythmes d’activité du loup n’étant pas synchrone de celui de l’éleveur ? Dès lors, ces mesures en sauraient constituer un critère d’autorisation de tir. De même, on ne peut pas considérer que des mesures de protection en cours d’installation réduise déjà le risque de prédation lupine ; dans ces cas, les tirs létaux ne doivent absolument pas pouvoir être autorisés. - NOMBRE - La réduction de vulnérabilité d’un troupeau doit aussi passer par une adaptation des pratiques d’élevage ; ce serait conforme à la récente décision de la CJUE (CJUE - NOMBRE NOMBRE - NOMBRE juillet NOMBRE ) ; la présence de cornes chez les bovins - NOMBRE - On ne peut pas considérer qu’une unique prédation au cours des NOMBRE derniers mois puisse être considérée comme le ""dommage important"" prévu par le cadre juridique correspondant. - NOMBRE - Il est indispensable de réaliser enfin le bilan du dernier PNA afin de mieux organiser les mesures de protection des troupeaux. De même il est important de développer les recherches scientifiques concernant l’espèce lupine afin d’élaborer les meilleures mesures de réduction des vulnérabilité. En conclusion, le loup est actuellement présent dans tout le territoire français métropolitain ; chacun est donc averti et peut prendre les dispositions nécessaires. Des moyens efficaces de protection de troupeaux existent ; ils peuvent être mis en œuvre. Il n’y a donc pas de situation d’urgence qui puisse justifier une autorisation de tir létal.";avis défavorable loup contribuer service écosystémiques naturel nombre réussir éliminer loup territoire imaginer capable recommencer nombre dynamique démographique loup signifier atteint niveau assurer survie voir étude scientifique collectif mnhn oncfs nombre nombre prédateur opportuniste loup choisir proie facile chasser falloir bétail accessible proie sauvage moyen exister étude parangonnage igedd cgaaer nombre montrer efficacité nombre loup capacité adaptation important appuyer grand aptitude apprentissage jeunesse louveteau période apprentissage chasse important important adulte apprendre jeune chasser cerf chevreuil chamois sanglier tuer loup adulte interdire transmission aucun étude scientifique consacrer tir réussir apporter garantie efficacité terme réduction prédation domestique nombre loup constituer service écosystémique forestier prédateur herbivore sauvage protéger jeune plantation semis limite abroutissements subir forestier effet positif sentir forêt loup revenu pour agriculteur loup prédaté sanglier régulation actuellement échec nombre article nombre projet arrêté prévoir mesure réduction vulnérabilité troupeau considérer exemple visiter quotidien protéger concrètement troupeau rythme activité loup synchrone éleveur mesure savoir constituer critère autorisation tir considérer mesure protection cours installation réduire risque prédation lupine cas tir létal absolument pouvoir autoriser nombre réduction vulnérabilité troupeau passer adaptation pratique élevage conforme récent décision cjue cjue nombre nombre nombre juillet nombre présence corner bovin nombre considérer unique prédation cours nombre dernier mois pouvoir considérer dommage important prévoir cadre juridique correspondant nombre indispensable réaliser bilan dernier pna mieux organiser mesure protection troupeau important développer rechercher scientifique espèce lupine élaborer meilleur mesure réduction vulnérabilité conclusion loup actuellement présent territoire français métropolitain averti prendre disposition nécessaire moyen efficace protection troupeau exister mis œuvre situation urgence pouvoir justifier autorisation tir létal;Défavorable
Avis défavorable - l’État persiste dans sa quête de non-sens;1er juin 2025;10h13;Avis défavorable - l’État persiste dans sa quête de non-sens, le 1er juin 2025 à 10h13;Avis défavorable - l’État persiste dans sa quête de non-sens. Affirmer qu’il n’existe pas de moyens de protection efficaces pour les troupeaux bovins et équins est tout simplement faux. Ils existent ailleurs en Europe et fonctionnent très bien, comme le montre l’étude « Parangonnage sur la politique publique du loup ».;Avis défavorable - l’État persiste dans sa quête de non-sens. Affirmer qu’il n’existe pas de moyens de protection efficaces pour les troupeaux bovins et équins est tout simplement faux. Ils existent ailleurs en Europe et fonctionnent très bien, comme le montre l’étude « Parangonnage sur la politique publique du loup ».;avis défavorable état persister quête non-sens affirmer exister moyen protection efficace pour troupeau bovin équin simplement faux exister ailleurs europe fonctionner bien montre étude parangonnage politique public loup;Défavorable
Avis défavorable;1er juin 2025;10h27;Avis défavorable, le 1er juin 2025 à 10h27;Avis défavorable. De nombreuses études attestent de l’utilité du loup dans un écosystème. Plutôt que de l’éliminer, cherchons honnêtement ensemble comment le pastoralisme peut subsister en sa présence, et mettons y les moyens !;Avis défavorable. De nombreuses études attestent de l’utilité du loup dans un écosystème. Plutôt que de l’éliminer, cherchons honnêtement ensemble comment le pastoralisme peut subsister en sa présence, et mettons y les moyens !;avis défavorable étude attester utilité loup écosystème éliminer chercher honnêtement ensemble pastoralisme subsister présence mettre moyen;Défavorable
Avis défavorable ;1er juin 2025;19h00;Avis défavorable , le 1er juin 2025 à 19h00;"Avis défavorable . Tuer le loup n’est pas LA solutions ; d’autres pays européens sont parvenus à une cohabitation harmonieuse avec les grands prédateurs ; pourquoi la France n’y arriverait elle pas ? Le loup a sa place dans la chaîne de prédation en limitant la prolifération et la contamination par les cervidés malades .";"Avis défavorable . Tuer le loup n’est pas LA solutions ; d’autres pays européens sont parvenus à une cohabitation harmonieuse avec les grands prédateurs ; pourquoi la France n’y arriverait elle pas ? Le loup a sa place dans la chaîne de prédation en limitant la prolifération et la contamination par les cervidés malades .";avis défavorable tuer loup solution pays européen parvenir cohabitation harmonieux grand prédateur arriver loup place chaîne prédation limiter prolifération contamination cervidé malade;Défavorable
Avis défavorable ;1er juin 2025;18h55;Avis défavorable , le 1er juin 2025 à 18h55;"Avis défavorable . Les moyens accordés à la protection des troupeaux ne sont pas assez importants. Une politique pédagogique d’acceptation de "" vivre"" avec les loups et autres grands prédateurs devrait être mise en place…au lieu de cela, ""on "" fait la part belle aux paroles d’anti loups.";"Avis défavorable . Les moyens accordés à la protection des troupeaux ne sont pas assez importants. Une politique pédagogique d’acceptation de "" vivre"" avec les loups et autres grands prédateurs devrait être mise en place…au lieu de cela, ""on "" fait la part belle aux paroles d’anti loups.";avis défavorable moyen accorder protection troupeau important politique pédagogique acceptation vivre loup grand prédateur devoir mise place lieu part beau parole anti loup;Défavorable
Aucun sens aux mesures hasardeuses ;1er juin 2025;18h46;Aucun sens aux mesures hasardeuses , le 1er juin 2025 à 18h46;Aucun sens aux mesures hasardeuses . Canis Lupus loup seule espèce efficace pour réguler la faune sauvage herbivore qui perturbe la biodiversité, la régénération et l’équilibre forestier français . le loup est le régulateur par définition pour parvenir à un équilibre dans les espaces forestiers et naturels. Équilibre à trouver entre herbivores sauvages, intérêts forestiers, préservation de la biodiversité, protection des espaces agricoles face aux sangliers…pour autant qu’on laisse aux populations de loup circulant en France la possibilité de vivre. La population lupine à l’échelle de la France reste menacée dans de très nombreuses régions. Les tirs létaux n’ont apporté aucune amélioration et efficacité, au contraire semble-t-il. Les études scientifiques sur l’espèce lupus doivent être utilisées et suivies. Le lobbying agricole ne devrait pas être le fil conducteur pour mener ces abattages inefficaces. Avis défavorable !;Aucun sens aux mesures hasardeuses . Canis Lupus loup seule espèce efficace pour réguler la faune sauvage herbivore qui perturbe la biodiversité, la régénération et l’équilibre forestier français . le loup est le régulateur par définition pour parvenir à un équilibre dans les espaces forestiers et naturels. Équilibre à trouver entre herbivores sauvages, intérêts forestiers, préservation de la biodiversité, protection des espaces agricoles face aux sangliers…pour autant qu’on laisse aux populations de loup circulant en France la possibilité de vivre. La population lupine à l’échelle de la France reste menacée dans de très nombreuses régions. Les tirs létaux n’ont apporté aucune amélioration et efficacité, au contraire semble-il. Les études scientifiques sur l’espèce lupus doivent être utilisées et suivies. Le lobbying agricole ne devrait pas être le fil conducteur pour mener ces abattages inefficaces. Avis défavorable !;aucun sens mesure hasardeux canis lupus loup espèce efficace pour réguler faune sauvage herbivore perturber biodiversité régénération équilibre forestier français loup régulateur définition pour parvenir équilibre espace forestier naturel équilibre trouver herbivore sauvage intérêt forestier préservation biodiversité protection espace agricole face sanglier pour autant laisse population loup circulant possibilité vivre population lupine échelle menacer région tir létal apporter aucun amélioration efficacité contraire -il étude scientifique espèce lupus utiliser suivre lobbying agricole devoir fil conducteur pour mener abattage inefficace avis défavorable;Défavorable
100% DÉFAVORABLE;1er juin 2025;18h37;100% DÉFAVORABLE, le 1er juin 2025 à 18h37;NOMBRE DÉFAVORABLE. Il faut protéger les troupeaux d’élevage de moutons et chèvres, investir dans la protection : surveillance, chiens, parcs électrifiés… C’est un comble de souhaiter la mort du loup, qui ne fait que se nourrir de manière on ne peut plus naturelle, quand celui qui souhaite leur mort élève des animaux eux-mêmes destinés à l’abattoir… La présence du loup ne pose aucun problème dans la majorité des pays voisins. Est-ce que tuer des êtres intelligents, ESSENTIELS à la biodiversité, c’est vraiment la seule solution qu’on peut trouver ???;NOMBRE DÉFAVORABLE. Il faut protéger les troupeaux d’élevage de moutons et chèvres, investir dans la protection : surveillance, chiens, parcs électrifiés… C’est un comble de souhaiter la mort du loup, qui ne fait que se nourrir de manière on ne peut plus naturelle, quand celui qui souhaite leur mort élève des animaux eux-mêmes destinés à l’abattoir… La présence du loup ne pose aucun problème dans la majorité des pays voisins. Estce que tuer des êtres intelligents, ESSENTIELS à la biodiversité, c’est vraiment la seule solution qu’on peut trouver ???;nombre défavorable falloir protéger troupeau élevage mouton chèvre investir protection surveillance chien parc électrifier comble souhaiter mort loup nourrir manière naturel souhaiter mort élève animal destiner abattoir présence loup pose aucun problème majorité pays voisin estce tuer être intelligent essentiel biodiversité vraiment solution trouver;Défavorable
FAVORABLE;1er juin 2025;09h55;FAVORABLE, le 1er juin 2025 à 09h55;FAVORABLE. Je suis favorable au texte pour le tir des loups;FAVORABLE. Je suis favorable au texte pour le tir des loups;favorable favorable texte pour tir loup;Favorable
Laissez les loups faire leur vie;1er juin 2025;14h22;Laissez les loups faire leur vie, le 1er juin 2025 à 14h22;Laissez les loups faire leur vie. Aucune dérogation ne devrait être accordée. A quoi sert de voter des lois pour protéger les animaux en voie de disparition, si c’est pour les contourner par le biais des préfets. On marche vraiment sur la tête en France !!!!;Laissez les loups faire leur vie. Aucune dérogation ne devrait être accordée. A quoi sert de voter des lois pour protéger les animaux en voie de disparition, si c’est pour les contourner par le biais des préfets. On marche vraiment sur la tête en France !!!!;laisser loup faire vie aucun dérogation devoir accorder servir voter loi pour protéger animal voie disparition pour contourner biais préfet marche vraiment tête;Défavorable
DEFAVORABLE à 1000/100;1er juin 2025;14h35;DEFAVORABLE à 1000/100, le 1er juin 2025 à 14h35;DEFAVORABLE à NOMBRE NOMBRE . Les loups sont des animaux utiles, la biodiversité est restaurée sur les territoires où ils vivent (contrairement aux humains qui la détruisent en toute impunité );DÉFAVORABLE à NOMBRE NOMBRE . Les loups sont des animaux utiles, la biodiversité est restaurée sur les territoires où ils vivent (contrairement aux humains qui la détruisent en toute impunité );défavorable nombre nombre loup animal utile biodiversité restaurer territoire vivre contrairement humain détruire impunité;Défavorable
Dérogation loup;1er juin 2025;14h35;Dérogation loup, le 1er juin 2025 à 14h35;Dérogation loup. Je suis défavorable à toutes les dérogations qui autorisent l abattage des loups quelque soit la raison Priorité à la préservation de la faune sauvage et leur milieu naturel;Dérogation loup. Je suis défavorable à toutes les dérogations qui autorisent l abattage des loups quelque soit la raison Priorité à la préservation de la faune sauvage et leur milieu naturel;dérogation loup défavorable dérogation autoriser l abattage loup raison priorité préservation faune sauvage milieu naturel;Défavorable
Avis defavorable;1er juin 2025;22h07;Avis defavorable, le 1er juin 2025 à 22h07;Avis defavorable. Le loup est une espèce protégée et encore vulnérable ( NOMBRE individus tout au plus ). Si les éleveurs ne savent ou ne veulent pas gérer, qu’ils changent d’emploi. La reconversion est possible dans tous les corps de métier.;Avis défavorable. Le loup est une espèce protégée et encore vulnérable ( NOMBRE individus tout au plus ). Si les éleveurs ne savent ou ne veulent pas gérer, qu’ils changent d’emploi. La reconversion est possible dans tous les corps de métier.;avis défavorable loup espèce protéger vulnérable nombre individu éleveur savoir vouloir gérer changer emploi reconversion corps métier;Défavorable
Défense ;1er juin 2025;22h07;Défense , le 1er juin 2025 à 22h07;Défense . Les animaux sauvages doivent manger des aliments sauvages. L’agriculture, notre garde manger n’est pas à partager et doit être défendu par ses femmes et ses hommes qui nourrissent les autres Hommes.;Défense . Les animaux sauvages doivent manger des aliments sauvages. L’agriculture, notre garde manger n’est pas à partager et doit être défendu par ses femmes et ses hommes qui nourrissent les autres Hommes.;défense animal sauvage manger aliment sauvage agriculture garde manger partager défendu femme homme nourrir homme;Favorable
