titre;date;heure;sujet;raw_text;checked_text;lemma;Opinion_estimée
le loup pour réguler la faune sauvage;1er juin 2025;15h38;le loup pour réguler la faune sauvage, le 1er juin 2025 à 15h38;le loup pour réguler la faune sauvage. le loup est le régulateur idéal pour parvenir à un équilibre satisfaisant, dans les espaces forestiers, entre herbivores sauvages, intérêts forestiers, préservation de la biodiversité, protection des espaces agricoles contre les dommages dus aux sangliers…pour autant qu’on laisse aux populations de loup circulant en France la possibilité de survivre. Avis défavorable !!!;le loup pour réguler la faune sauvage. le loup est le régulateur idéal pour parvenir à un équilibre satisfaisant, dans les espaces forestiers, entre herbivores sauvages, intérêts forestiers, préservation de la biodiversité, protection des espaces agricoles contre les dommages dus aux sangliers…pour autant qu’on laisse aux populations de loup circulant en France la possibilité de survivre. Avis défavorable !!!;loup pour réguler faune sauvage loup régulateur idéal pour parvenir équilibre satisfaisant espace forestier herbivore sauvage intérêt forestier préservation biodiversité protection espace agricole contre dommage devoir sanglier pour autant laisse population loup circulant possibilité survivre avis défavorable;Défavorable
Avis défavorable (même si cela ne sert à rien, la décision déjà prise, seul les tueurs d’animaux étant écoutés par nos politiques);1er juin 2025;15h57;Avis défavorable (même si cela ne sert à rien, la décision déjà prise, seul les tueurs d’animaux étant écoutés par nos politiques), le 1er juin 2025 à 15h57;"Avis défavorable (même si cela ne sert à rien, la décision déjà prise, seul les tueurs d’animaux étant écoutés par nos politiques ). Arrêtons de détruire la faune sauvage. J’ai échangé récemment avec des chasseurs qui essaient de faire peur aux gens en leur faisant croire que le loup va les attaquer, tuer les enfants et les femmes. Pourtant, entre NOMBRE et NOMBRE , environ NOMBRE personnes ont été tuées lors d’accidents de chasse en France, soit une moyenne d’environ NOMBRE morts par an sur cette période. Saison NOMBRE - NOMBRE : NOMBRE morts Saison NOMBRE - NOMBRE : NOMBRE morts Saison NOMBRE - NOMBRE : NOMBRE morts En moyenne, sur la période NOMBRE - NOMBRE , environ NOMBRE morts par an Entre NOMBRE et NOMBRE , la moyenne était de NOMBRE morts par an Quand les loups tueront autant de gens que les chasseurs, on pourra peut-être s’inquiéter ; d’ici là ce sont les chasseurs qui sont un danger pour la population.";"Avis défavorable (même si cela ne sert à rien, la décision déjà prise, seul les tueurs d’animaux étant écoutés par nos politiques ). Arrêtons de détruire la faune sauvage. J’ai échangé récemment avec des chasseurs qui essaient de faire peur aux gens en leur faisant croire que le loup va les attaquer, tuer les enfants et les femmes. Pourtant, entre NOMBRE et NOMBRE , environ NOMBRE personnes ont été tuées lors d’accidents de chasse en France, soit une moyenne d’environ NOMBRE morts par an sur cette période. Saison NOMBRE - NOMBRE : NOMBRE morts Saison NOMBRE - NOMBRE : NOMBRE morts Saison NOMBRE - NOMBRE : NOMBRE morts En moyenne, sur la période NOMBRE - NOMBRE , environ NOMBRE morts par an Entre NOMBRE et NOMBRE , la moyenne était de NOMBRE morts par an Quand les loups tueront autant de gens que les chasseurs, on pourra peut-être s’inquiéter ; d’ici là ce sont les chasseurs qui sont un danger pour la population.";avis défavorable servir rien décision prise tueur animal écouter politique arrêter détruire faune sauvage échanger récemment chasseur essayer faire peur croire loup attaquer tuer enfant femme pourtant nombre nombre nombre personne été tuer accident chasse moyenne nombre mort an période saison nombre nombre nombre mort saison nombre nombre nombre mort saison nombre nombre nombre mort moyenne période nombre nombre nombre mort an nombre nombre moyenne nombre mort an loup tuer autant chasseur pouvoir peut-être inquiéter ici chasseur danger pour population;Défavorable
Défavorable ;1er juin 2025;16h00;Défavorable , le 1er juin 2025 à 16h00;Défavorable . Défavorable. La biodiversité n’est pas à la carte. Des solutions existent et sont mises en place dans de nombreux pays voisins.;Défavorable . Défavorable. La biodiversité n’est pas à la carte. Des solutions existent et sont mises en place dans de nombreux pays voisins.;défavorable défavorable biodiversité carte solution exister mises place pays voisin;Défavorable
Défavorable;1er juin 2025;16h01;Défavorable, le 1er juin 2025 à 16h01;"Défavorable. Ce projet d’arrêté ne prévoit pas de mesures d’effarouchement comme préalable aux tirs létaux. L’énoncé des ""limites"" est vague. Il serait nécessaire de se fonder sur des études scientifiques au lieu de laisser un flou hélas pas artistique sur le devenir du loup.";"Défavorable. Ce projet d’arrêté ne prévoit pas de mesures d’effarouchement comme préalable aux tirs létaux. L’énoncé des ""limites"" est vague. Il serait nécessaire de se fonder sur des études scientifiques au lieu de laisser un flou hélas pas artistique sur le devenir du loup.";défavorable projet arrêté prévoir mesure effarouchement tir létal énoncé limite vague nécessaire fonder étude scientifique lieu flou héler artistique devenir loup;Défavorable
DEFAVORABLE;1er juin 2025;16h20;DEFAVORABLE, le 1er juin 2025 à 16h20;DEFAVORABLE. Je m’oppose avec force à ce projet d’arrêté, qui camoufle mal son objectif : offrir un passe-droit à quelques intérêts privés réfractaires au moindre effort de cohabitation avec la faune sauvage. On prétend que les bovins ne sont pas protégeables. Faux : les rapports officiels (IGEDD CGAAER, NOMBRE ) et les pratiques européennes prouvent le contraire. Mais visiblement, quand les faits dérangent, on les range. Et hop, on sort les fusils. On prévoit aussi des « analyses technico-économiques » sans aucun cadre sérieux, histoire de faire dire aux chiffres ce qu’on veut, surtout quand ça arrange les maniaques du plomb. La CJUE ( NOMBRE ) rappelle pourtant qu’un peu d’adaptation, même coûteuse, ne justifie pas de zigouiller une espèce protégée.;DÉFAVORABLE. Je m’oppose avec force à ce projet d’arrêté, qui camoufle mal son objectif : offrir un passe-droit à quelques intérêts privés réfractaires au moindre effort de cohabitation avec la faune sauvage. On prétend que les bovins ne sont pas protégeable. Faux : les rapports officiels (IGEDD CGAAER, NOMBRE ) et les pratiques européennes prouvent le contraire. Mais visiblement, quand les faits dérangent, on les range. Et hop, on sort les fusils. On prévoit aussi des « analyses technico-économiques » sans aucun cadre sérieux, histoire de faire dire aux chiffres ce qu’on veut, surtout quand ça arrange les maniaques du plomb. La CJUE ( NOMBRE ) rappelle pourtant qu’un peu d’adaptation, même coûteuse, ne justifie pas de zigouiller une espèce protégée.;défavorable opposer forcer projet arrêté camoufle mal objectif offrir passe-droit intérêt privé réfractaire moindre effort cohabitation faune sauvage prétendre bovin protégeable faux rapport officiel igedd cgaaer nombre pratique européen prouver contraire visiblement fait déranger range hop sort fusil prévoir analyse technico économique aucun cadre sérieux histoire faire chiffre vouloir arranger maniaque plomb cjue nombre rappeler pourtant adaptation coûteux justifier zigouiller espèce protéger;Défavorable
AVIS FAVORABLE AUX DÉROGATIONS (Destruction du loup).;1er juin 2025;16h22;AVIS FAVORABLE AUX DÉROGATIONS (Destruction du loup)., le 1er juin 2025 à 16h22;"AVIS FAVORABLE AUX DÉROGATIONS (Destruction du loup ).. Arrivé par expansion du ""canis lupus"" de l’Italie en France, longtemps sous évalué puis toujours avec des comptages variables d’une année sur l’autre, le loup est présent actuellement sur une grande partie de la France (jusqu’en Bretagne, Nord de la France, Aquitaine, Massif central… ). Animal prédateur disparu de France depuis la fin du 19éme siècle ! C’est un prédateur important des moutons, chèvres, bovins, équidés… Les élevages sont ""visités"" par le loup qui tue chaque fois plusieurs animaux et blesse bon nombre d’animaux dans le même champs. Il serait intelligent de faire participer les écologistes et leurs ONG représentantes à l’indemnisation des pertes (Les associations de défense reçoivent des aides diverses et variées… Et même du Gouvernement ) ! AVIS FAVORABLE aux tirs directs sur le loup et l’effarouchement.";"AVIS FAVORABLE AUX DÉROGATIONS (Destruction du loup ).. Arrivé par expansion du ""canis lupus"" de l’Italie en France, longtemps sous évalué puis toujours avec des comptages variables d’une année sur l’autre, le loup est présent actuellement sur une grande partie de la France (jusqu’en Bretagne, Nord de la France, Aquitaine, Massif central… ). Animal prédateur disparu de France depuis la fin du émeu siècle ! C’est un prédateur important des moutons, chèvres, bovins, équidés… Les élevages sont ""visités"" par le loup qui tue chaque fois plusieurs animaux et blesse bon nombre d’animaux dans le même champs. Il serait intelligent de faire participer les écologistes et leurs ONG représentantes à l’indemnisation des pertes (Les associations de défense reçoivent des aides diverses et variées… Et même du Gouvernement ) ! AVIS FAVORABLE aux tirs directs sur le loup et l’effarouchement.";avis favorable dérogation destruction loup arrivé expansion canis lupus italie évaluer comptage variable année loup présent actuellement grand partie jusqu’ bretagne nord aquitaine massif central animal prédateur disparu fin émeu siècle prédateur important mouton chèvre bovin équidé élevage visiter loup tue fois animal blesser bon nombre animal champ intelligent faire participer écologiste ong représentant indemnisation perte association défense recevoir aider varier gouvernement avis favorable tir direct loup effarouchement;Favorable
Avis défavorable ;1er juin 2025;16h30;Avis défavorable , le 1er juin 2025 à 16h30;Avis défavorable . Je m oppose a ce projet d arrête qui n est autre qu un permis de tuer sans étude des autres pratiques des pays frontaliers. Il existe des solutions protégeant la biodiversité et les troupeaux. Un petit effort svp et un peu d ouverture d esprit. Tuer sans réfléchir n est pas LA solution. Non a ce projet de dérogation.;Avis défavorable . Je m oppose a ce projet d arrête qui n est autre qu un permis de tuer sans étude des autres pratiques des pays frontaliers. Il existe des solutions protégeant la biodiversité et les troupeaux. Un petit effort SVP et un peu d ouverture d esprit. Tuer sans réfléchir n est pas LA solution. Non a ce projet de dérogation.;avis défavorable m opposer projet d arrêter ne qu permis tuer étude pratique pays frontalier exister solution protéger biodiversité troupeau petit effort svp d ouverture d esprit tuer réfléchir ne solution non projet dérogation;Défavorable
Avis defavorable;1er juin 2025;16h36;Avis defavorable, le 1er juin 2025 à 16h36;Avis defavorable. Avis défavorable. Ce texte donne la possibilité de tuer le loup sans obliger à utiliser au préalable des méthodes non létales et dissuasives. Respectons la biodiversité. Nous pouvons vivre avec le loup comme le font plusieurs pays européens. AVIS DEFAVORABLE.;Avis défavorable. Avis défavorable. Ce texte donne la possibilité de tuer le loup sans obliger à utiliser au préalable des méthodes non létales et dissuasives. Respectons la biodiversité. Nous pouvons vivre avec le loup comme le font plusieurs pays européens. AVIS DÉFAVORABLE.;avis défavorable avis défavorable texte donne possibilité tuer loup obliger utiliser méthode non létal dissuasif respecter biodiversité pouvoir vivre loup pays européen avis défavorable;Défavorable
Avis défavorable;1er juin 2025;19h10;Avis défavorable, le 1er juin 2025 à 19h10;Avis défavorable. Nous devons utiliser tous les moyens possibles pour co-exister avec la faune sauvage, en particulier les grands prédateurs. L’être humain fait partie du vivant au même titre que les grands prédateurs alors pourquoi s’arroger le droit de décider qui doit vivre et qui doit disparaître ? Des méthodes d’effarouchement existent et ont prouvé leur efficacité. Alors osons mettre des moyens pour les offrir aux éleveurs qui ne doivent pas se retrouver seuls à assumer la charge financière. Que serait la France sans biodiversité ? Qu’aurions nous à proposer à nos descendants? Avec l’espoir d’un autre monde. Simone Henri;Avis défavorable. Nous devons utiliser tous les moyens possibles pour quo-exister avec la faune sauvage, en particulier les grands prédateurs. L’être humain fait partie du vivant au même titre que les grands prédateurs alors pourquoi s’arroger le droit de décider qui doit vivre et qui doit disparaître ? Des méthodes d’effarouchement existent et ont prouvé leur efficacité. Alors osons mettre des moyens pour les offrir aux éleveurs qui ne doivent pas se retrouver seuls à assumer la charge financière. Que serait la France sans biodiversité ? Qu’aurions nous à proposer à nos descendants? Avec l’espoir d’un autre monde. Simone Henri;avis défavorable devoir utiliser moyen pour quo exister faune sauvage particulier grand prédateur humain partie vivant titre grand prédateur arroger droit décider vivre disparaître méthode effarouchement exister prouver efficacité oser mettre moyen pour offrir éleveur retrouver assumer charge financière biodiversité avoir proposer descendant espoir monde simone henri;Défavorable
Favorable !;1er juin 2025;19h21;Favorable !, le 1er juin 2025 à 19h21;Favorable !. Nous devons préserver les NOMBRE millions d’hectares de prairie en France pour, le climat (puits de carbone ), pour nos paysages, pour maintenir une présence humaine dans nos campagnes. Une prairie doit être pâturée par des herbivores (bovins, équins, ovins ). La présence du superprédateur qu’est le loup n’est pas compatible avec l’élevage extensif de plein air si vertueux sur le plan environnemental ! Qui peut accepter que son travail d’une année soit anéantit en une nuit. Je suis très favorable à la régulation.;Favorable !. Nous devons préserver les NOMBRE millions d’hectares de prairie en France pour, le climat (puits de carbone ), pour nos paysages, pour maintenir une présence humaine dans nos campagnes. Une prairie doit être pâturée par des herbivores (bovins, équins, ovins ). La présence du superprédateur qu’est le loup n’est pas compatible avec l’élevage extensif de plein air si vertueux sur le plan environnemental ! Qui peut accepter que son travail d’une année soit anéantit en une nuit. Je suis très favorable à la régulation.;favorable devoir préserver nombre million hectare prairie pour climat puits carbone pour paysage pour maintenir présence humain campagne prairie pâturée herbivore bovin équin ovin présence superprédateur loup compatible élevage extensif plein air vertueux plan environnemental accepter travail année anéantir nuit favorable régulation;Favorable
Avis défavorable;1er juin 2025;19h29;Avis défavorable, le 1er juin 2025 à 19h29;Avis défavorable. Aucune dérogation ne devrait être accordée. Laissez-les vivre et protégez les troupeaux. Les deux démarches ne sont pas incompatibles.;Avis défavorable. Aucune dérogation ne devrait être accordée. Laissez-les vivre et protégez les troupeaux. Les deux démarches ne sont pas incompatibles.;avis défavorable aucun dérogation devoir accorder laisser vivre protéger troupeau démarcher incompatible;Défavorable
Avis défavorable;1er juin 2025;19h47;Avis défavorable, le 1er juin 2025 à 19h47;Avis défavorable. Il existe des méthodes de protection viables pour les troupeaux bovins et équins, testées et validées par plusieurs éleveurs dans des contextes variés, et depuis des années. Céder aux pressions de certains éleveurs par clientélisme, c’est faire honte à celles et ceux qui donnent de leur temps et de leur énergie pour protéger leurs troupeaux et adapter leurs méthodes de travail à la présence des grands prédateurs en France.;Avis défavorable. Il existe des méthodes de protection viables pour les troupeaux bovins et équins, testées et validées par plusieurs éleveurs dans des contextes variés, et depuis des années. Céder aux pressions de certains éleveurs par clientélisme, c’est faire honte à celles et ceux qui donnent de leur temps et de leur énergie pour protéger leurs troupeaux et adapter leurs méthodes de travail à la présence des grands prédateurs en France.;avis défavorable exister méthode protection viable pour troupeau bovin équin tester valider éleveur contexte varier année céder pression éleveur clientélisme faire honte donner temps énergie pour protéger troupeau adapter méthode travail présence grand prédateur;Défavorable
defavorable;1er juin 2025;19h47;defavorable, le 1er juin 2025 à 19h47;defavorable. Le respect de la vie animal est le mot d’ordre pour notre survie.;défavorable. Le respect de la vie animal est le mot d’ordre pour notre survie.;défavorable respect vie animal mot ordre pour survie;Défavorable
Avis défavorable;1er juin 2025;19h53;Avis défavorable, le 1er juin 2025 à 19h53;Avis défavorable. NOMBRE Français sur NOMBRE considèrent que les loups ont toute leur place dans la nature;Avis défavorable. NOMBRE Français sur NOMBRE considèrent que les loups ont toute leur place dans la nature;avis défavorable nombre français nombre considérer loup place nature;Défavorable
Projet d’arrêté modifiant l’arrêté du 21 février 2024 fixant les conditions et limites dans lesquelles des dérogations aux interdictions de destruction peuvent être accordées par les préfets concernant le loup (Canis lupus);1er juin 2025;19h54;Projet d’arrêté modifiant l’arrêté du 21 février 2024 fixant les conditions et limites dans lesquelles des dérogations aux interdictions de destruction peuvent être accordées par les préfets concernant le loup (Canis lupus), le 1er juin 2025 à 19h54;Projet d’arrêté modifiant l’arrêté du NOMBRE février NOMBRE fixant les conditions et limites dans lesquelles des dérogations aux interdictions de destruction peuvent être accordées par les préfets concernant le loup (Canis lupus ). Avis défavorable pour insuffisance des mesures proposées. Le but de ce projet est tout simplement l’extermination des loups afin de contenter les éleveurs qui ne prennent aucune mesure de prévention et préfèrent rejeter la faute sur les loups. Ce qu’ils oublient est que ce sont eux qui sont sur le territoire des loups et non l’inverse. L’humain s’approprie le moindre recoin de la planète en oubliant qu’il est arrivé bien après les animaux qui y étaient déjà présents et vivaient de façon équilibrée. Ce sont toujours les solutions qui détruisent qui sont retenues alors qu’il est tout à fait possible de trouver d’autres solutions plus pacifiques : la SURVEILLANCE des troupeaux, tout simplement, comme elle se faisait avant depuis toujours. La mort des loups est devenue obsessionnelle chez les politiques et les éleveurs et les obligations de protection des troupeaux sont totalement inexistantes. La mise à mort des loups ne résoudra rien puisque l’équilibre des meutes fera que d’autres prendront la place de ceux qui ont été sacrifiés. Laissons ces êtres vivre en paix, comme la majorité des Français le souhaitent ( NOMBRE personnes sur NOMBRE ), en considérant que les loups ont toute leur place dans la nature.;Projet d’arrêté modifiant l’arrêté du NOMBRE février NOMBRE fixant les conditions et limites dans lesquelles des dérogations aux interdictions de destruction peuvent être accordées par les préfets concernant le loup (Canis lupus ). Avis défavorable pour insuffisance des mesures proposées. Le but de ce projet est tout simplement l’extermination des loups afin de contenter les éleveurs qui ne prennent aucune mesure de prévention et préfèrent rejeter la faute sur les loups. Ce qu’ils oublient est que ce sont eux qui sont sur le territoire des loups et non l’inverse. L’humain s’approprie le moindre recoin de la planète en oubliant qu’il est arrivé bien après les animaux qui y étaient déjà présents et vivaient de façon équilibrée. Ce sont toujours les solutions qui détruisent qui sont retenues alors qu’il est tout à fait possible de trouver d’autres solutions plus pacifiques : la SURVEILLANCE des troupeaux, tout simplement, comme elle se faisait avant depuis toujours. La mort des loups est devenue obsessionnelle chez les politiques et les éleveurs et les obligations de protection des troupeaux sont totalement inexistantes. La mise à mort des loups ne résoudra rien puisque l’équilibre des meutes fera que d’autres prendront la place de ceux qui ont été sacrifiés. Laissons ces êtres vivre en paix, comme la majorité des Français le souhaitent ( NOMBRE personnes sur NOMBRE ), en considérant que les loups ont toute leur place dans la nature.;projet arrêté modifier arrêté nombre février nombre fixer condition limite dérogation interdiction destruction accorder préfet loup canis lupus avis défavorable pour insuffisance mesure proposer but projet simplement extermination loup contenter éleveur prendre aucun mesure prévention préférer rejeter faute loup oublier territoire loup non inverse humain approprier moindre recoin planète oublier arrivé bien animal présent vivre équilibrer solution détruire retenir trouver solution pacifique surveillance troupeau simplement faire mort loup devenir obsessionnel politique éleveur obligation protection troupeau totalement inexistant mise mort loup résoudre rien équilibre meute faire prendre place été sacrifier laisser être vivre paix majorité français souhaiter nombre personne nombre considérant loup place nature;Défavorable
